neale_trait	Phenotype.Description	rat_trait	z_size_d1d2	mean_high_z_rand	stdev_highz	obs_exp_temp	ptemp	nhgenes	nrgenes	yerr_lower	yerr_upper	rg	rg.SE	h2_observed	h2_observed_se	h2_liability	h2_liability_se	n	variable_type	NHumanGenes
20003_1141191044	Treatment/medication code: levothyroxine sodium	rat_BMI	217	276.844	14.07762991	0.78383494	0.999989359	21909	295	0.0710418084867757	0.0867704497908124	0.1774	0.0355	0.0383172713312139	0.00417834291744483	0.195948415899106	0.0213673794430556	361141	binary	354
20015_irnt	Sitting height	rat_BMI	200	243.563	13.92896374	0.821142784	0.999118537	21909	295	0.08276422274107	0.103660400591366	-0.05848	0.01563	0.348691056688317	0.016679143935635	0.348691056688317	0.016679143935635	360066	continuous_irnt	3265
20016_irnt	Fluid intelligence score	rat_BMI	224	225.63	13.09385734	0.992775783	0.5495347	21909	295	0.101389457377338	0.127414427461944	-0.199	0.01986	0.222534890712837	0.0115468415066385	0.222534890712837	0.0115468415066385	117131	continuous_irnt	183
20116_0	Smoking status: Never	rat_BMI	199	229.046	12.83066187	0.86882111	0.990402811	21909	295	0.0859547801324584	0.107157540740854	-0.2448	0.01874	0.0957217151436664	0.00378930228139404	0.150977295380756	0.00597668573913821	359706	binary	209
20116_2	Smoking status: Current	rat_BMI	230	205.821	12.87831352	1.117475865	0.030224977	21909	295	0.12207416426749	0.156201340849814	0.34	0.02097	0.0529613080099469	0.00309473016435323	0.152085675622033	0.00888694304576371	359706	binary	41
20150_irnt	Forced expiratory volume in 1-second (FEV1), Best measure	rat_BMI	305	328.593	15.73535354	0.928199931	0.9331102	21909	295	0.0796442812132084	0.0961434825438909	-0.2344	0.01706	0.212896220107478	0.00855236659770613	0.212896220107478	0.00855236659770613	272338	continuous_irnt	1237
20151_irnt	Forced vital capacity (FVC), Best measure	rat_BMI	309	341.912	15.81569651	0.903741314	0.981281703	21909	295	0.0751248489651201	0.0901050887065876	-0.2836	0.01607	0.236934097362501	0.00930162916664827	0.236934097362501	0.00930162916664827	272338	continuous_irnt	1461
20153_irnt	Forced expiratory volume in 1-second (FEV1), predicted	rat_BMI	270	334.208	15.89863944	0.807880123	0.999973113	21909	295	0.0689018470741085	0.0830717655070722	-0.1686	0.01964	0.433269611091373	0.0237085318359266	0.433269611091373	0.0237085318359266	117241	continuous_irnt	1285
20154_irnt	Forced expiratory volume in 1-second (FEV1), predicted percentage	rat_BMI	200	259.777	14.30368033	0.769891099	0.999985369	21909	295	0.0749935558942814	0.0931384088617031	-0.1658	0.0239	0.205501064565634	0.011780843702235	0.205501064565634	0.011780843702235	117241	continuous_irnt	373
21001_irnt	Body mass index (BMI)	rat_BMI	371	366.191	16.11150269	1.013132491	0.382667503	21909	295	0.0804316233507878	0.095612849343121	1	7.713e-05	0.248198328871121	0.00839573244004104	0.248198328871121	0.00839573244004104	359983	continuous_irnt	1534
21002_irnt	Weight	rat_BMI	360	326.376	15.57609142	1.103022281	0.015436995	21909	295	0.094350898951866	0.113823485103721	0.8184	0.009907	0.265414908023904	0.00981492324079024	0.265414908023904	0.00981492324079024	360116	continuous_irnt	2018
2139_irnt	Age first had sexual intercourse	rat_BMI	283	258.251	14.09602777	1.095833124	0.039566163	21909	295	0.105904560760272	0.131278929562116	-0.3916	0.01708	0.161396883632034	0.00586426718509415	0.161396883632034	0.00586426718509415	317694	continuous_irnt	450
22126	Doctor diagnosed hayfever or allergic rhinitis	rat_BMI	208	224.262	13.67111393	0.9274866	0.882881535	21909	295	0.0989907507099138	0.125856002810439	-0.01348	0.02711	0.0914302522404401	0.0127981304231119	0.176344460590137	0.0246841647126908	91787	binary	44
22506_114	Tobacco smoking: Never smoked	rat_BMI	219	235.933	13.80298921	0.928229625	0.890044208	21909	295	0.0954883961936633	0.120223556088147	-0.227	0.03269	0.0980080927216617	0.0113349835905004	0.157353477095796	0.018198487811148	91353	binary	10
23098_irnt	Weight	rat_BMI	358	329.509	15.67558353	1.086465013	0.034567235	21909	295	0.0926641752862531	0.111721549919608	0.8188	0.009843	0.265598812912527	0.00980517094164439	0.265598812912527	0.00980517094164439	354838	continuous_irnt	1989
23099_irnt	Body fat percentage	rat_BMI	351	369.046	15.86366553	0.951100947	0.872349565	21909	295	0.0739052997640486	0.0875043505324844	0.8581	0.006012	0.229998635388704	0.00682052654529915	0.229998635388704	0.00682052654529915	354628	continuous_irnt	1435
23100_irnt	Whole body fat mass	rat_BMI	351	366.592	15.87065014	0.957467703	0.837059033	21909	295	0.0748895119712344	0.0887771364482736	0.8973	0.005456	0.239131077705531	0.00799742935602605	0.239131077705531	0.00799742935602605	354244	continuous_irnt	1447
23101_irnt	Whole body fat-free mass	rat_BMI	290	286.638	14.69513375	1.01172908	0.409518705	21909	295	0.0923796787741751	0.113018898568851	0.5423	0.01814	0.302502619524593	0.0115528116842879	0.302502619524593	0.0115528116842879	354808	continuous_irnt	2640
23102_irnt	Whole body water mass	rat_BMI	266	290.902	14.97479202	0.914397288	0.951836569	21909	295	0.0838029185978297	0.102611193809853	0.5461	0.01808	0.302087414892014	0.0115570699343412	0.302087414892014	0.0115570699343412	354834	continuous_irnt	2634
23104_irnt	Body mass index (BMI)	rat_BMI	399	370.759	16.49311732	1.076170774	0.043421619	21909	295	0.0863063651993342	0.102794046835466	1	7.713e-05	0.248879757764706	0.00837579037064374	0.248879757764706	0.00837579037064374	354831	continuous_irnt	1518
23105_irnt	Basal metabolic rate	rat_BMI	282	291.42	15.25154418	0.96767552	0.731594448	21909	295	0.0900266957667436	0.110607137907425	0.6274	0.01643	0.296320666428705	0.0113219842117602	0.296320666428705	0.0113219842117602	354825	continuous_irnt	2508
23106_irnt	Impedance of whole body	rat_BMI	330	325.76	15.4659109	1.013015717	0.391984165	21909	295	0.0862399485223664	0.103936585926571	-0.683	0.01211	0.268544226152272	0.00961710449300569	0.268544226152272	0.00961710449300569	354795	continuous_irnt	2104
23107_irnt	Impedance of leg (right)	rat_BMI	335	331.636	15.61183858	1.010143651	0.414697525	21909	295	0.0853301688891103	0.102677120496542	-0.6531	0.0126	0.251010209297298	0.00948886883918453	0.251010209297298	0.00948886883918453	354817	continuous_irnt	1821
23108_irnt	Impedance of leg (left)	rat_BMI	345	335.617	16.21531101	1.027957463	0.281412466	21909	295	0.0889239027441634	0.107527293125824	-0.6543	0.01279	0.252191598660345	0.00954441250338999	0.252191598660345	0.00954441250338999	354811	continuous_irnt	1792
23109_irnt	Impedance of arm (right)	rat_BMI	344	352.37	15.84137305	0.976246559	0.701376395	21909	295	0.0790559706463804	0.0943342546207016	-0.6263	0.01347	0.24819115673857	0.00804390632304665	0.24819115673857	0.00804390632304665	354792	continuous_irnt	1856
23110_irnt	Impedance of arm (left)	rat_BMI	355	349.679	15.90810985	1.015216813	0.369007376	21909	295	0.0831130749088199	0.099386006185531	-0.6327	0.01356	0.244366688069897	0.0081378611687215	0.244366688069897	0.0081378611687215	354807	continuous_irnt	1808
23111_irnt	Leg fat percentage (right)	rat_BMI	346	359.227	15.50591729	0.963179271	0.80317844	21909	295	0.0751313136509358	0.0890188736589339	0.8805	0.004994	0.221416424494916	0.00642216157569015	0.221416424494916	0.00642216157569015	354811	continuous_irnt	1308
23112_irnt	Leg fat mass (right)	rat_BMI	369	363.065	16.10784824	1.016346935	0.356267395	21909	295	0.0813089701390839	0.0967966689069513	0.9375	0.003328	0.232269605731381	0.007632380947695	0.232269605731381	0.007632380947695	354807	continuous_irnt	1367
23113_irnt	Leg fat-free mass (right)	rat_BMI	307	307.528	15.205368	0.998283083	0.513850319	21909	295	0.0881964450192769	0.107125039491758	0.624	0.01612	0.282355931184284	0.0108806550339357	0.282355931184284	0.0108806550339357	354798	continuous_irnt	2341
23114_irnt	Leg predicted mass (right)	rat_BMI	313	302.64	14.82809496	1.034232091	0.242377986	21909	295	0.090617057048953	0.109870211641943	0.6239	0.01614	0.282211665171267	0.0108555248348085	0.282211665171267	0.0108555248348085	354798	continuous_irnt	2331
23115_irnt	Leg fat percentage (left)	rat_BMI	364	366.189	16.15237688	0.994022213	0.553900355	21909	295	0.0790991462077841	0.094070420298793	0.8923	0.004672	0.221023742503849	0.00639844512377077	0.221023742503849	0.00639844512377077	354791	continuous_irnt	1325
23116_irnt	Leg fat mass (left)	rat_BMI	371	364.633	16.18907999	1.017461393	0.347052726	21909	295	0.0814521252126061	0.0969793452222134	0.9407	0.003185	0.233842994491748	0.00760261623211164	0.233842994491748	0.00760261623211164	354788	continuous_irnt	1369
23117_irnt	Leg fat-free mass (left)	rat_BMI	315	312.347	15.33840249	1.008493759	0.431339643	21909	295	0.0885447135757055	0.107404768877041	0.6569	0.01539	0.281975762576714	0.0108925601003925	0.281975762576714	0.0108925601003925	354771	continuous_irnt	2306
23118_irnt	Leg predicted mass (left)	rat_BMI	316	310.684	15.67361298	1.017110633	0.367241298	21909	295	0.0915217719979893	0.11160705094225	0.6566	0.01539	0.281241680372144	0.0108507922446922	0.281241680372144	0.0108507922446922	354766	continuous_irnt	2294
23119_irnt	Arm fat percentage (right)	rat_BMI	364	369.651	15.77482802	0.984712607	0.639914006	21909	295	0.0760067470821374	0.0898821693268105	0.9174	0.003475	0.222240749501795	0.00691090284927653	0.222240749501795	0.00691090284927653	354760	continuous_irnt	1328
23120_irnt	Arm fat mass (right)	rat_BMI	377	365.737	16.11508086	1.030795353	0.242303967	21909	295	0.0819441187863167	0.0974356020765577	0.9483	0.002782	0.231785593867527	0.00810035949344412	0.231785593867527	0.00810035949344412	354736	continuous_irnt	1411
23121_irnt	Arm fat-free mass (right)	rat_BMI	355	345.731	15.64840692	1.026809861	0.276815262	18138	295	0.0836689757891034	0.0999592053429226	0.5808	0.01729	0.274689575524893	0.010120363349497	0.274689575524893	0.010120363349497	354732	continuous_irnt	1816
23122_irnt	Arm predicted mass (right)	rat_BMI	318	313.912	14.92595913	1.013022758	0.392086405	21909	295	0.0863599049371259	0.10411072484588	0.5819	0.01736	0.274810528366716	0.0101100755623489	0.274810528366716	0.0101100755623489	354726	continuous_irnt	2290
23123_irnt	Arm fat percentage (left)	rat_BMI	351	364.093	15.81816522	0.964039408	0.796085245	21909	295	0.0756490837188015	0.0897317538478645	0.9199	0.003356	0.224838982726868	0.00679203128034474	0.224838982726868	0.00679203128034474	354707	continuous_irnt	1328
23124_irnt	Arm fat mass (left)	rat_BMI	359	366.323	15.94147644	0.980009445	0.677014945	21909	295	0.0770199320576753	0.0913838270123152	0.9481	0.002785	0.232182760226927	0.00801085877259521	0.232182760226927	0.00801085877259521	354673	continuous_irnt	1408
23125_irnt	Arm fat-free mass (left)	rat_BMI	309	310.293	15.24943117	0.995832971	0.533785847	21909	295	0.087495362384118	0.106148004217516	0.6115	0.01683	0.269921501313635	0.0100185572810149	0.269921501313635	0.0100185572810149	354668	continuous_irnt	2219
23126_irnt	Arm predicted mass (left)	rat_BMI	325	308.546	15.06751088	1.053327543	0.137412494	21909	295	0.0920118374367183	0.111489900872825	0.612	0.0168	0.269056086084635	0.0100151182274597	0.269056086084635	0.0100151182274597	354653	continuous_irnt	2253
23127_irnt	Trunk fat percentage	rat_BMI	346	369.314	15.83620548	0.936872147	0.929516035	21909	295	0.0726347559955769	0.0859641899741669	0.8045	0.008216	0.220585393734409	0.00676875209288855	0.220585393734409	0.00676875209288855	354619	continuous_irnt	1376
23128_irnt	Trunk fat mass	rat_BMI	345	362.863	15.77181762	0.950772054	0.871306726	21909	295	0.074638902028362	0.0885403520849144	0.8444	0.007757	0.238672205910475	0.00796105286482392	0.238672205910475	0.00796105286482392	354597	continuous_irnt	1513
23129_irnt	Trunk fat-free mass	rat_BMI	276	286.449	14.96694354	0.963522302	0.757454719	21909	295	0.0895077318026869	0.109932370694928	0.4415	0.01966	0.298052407100003	0.0114756654821568	0.298052407100003	0.0114756654821568	354530	continuous_irnt	2678
23130_irnt	Trunk predicted mass	rat_BMI	285	284.974	14.69773193	1.000091236	0.499294279	21909	295	0.0918160495285313	0.112466653991567	0.4411	0.01963	0.296296420479671	0.011429780722084	0.296296420479671	0.011429780722084	354494	continuous_irnt	2659
2443	Diabetes diagnosed by doctor	rat_BMI	205	238.083	13.83524886	0.861044258	0.991603552	21909	295	0.0880430055223179	0.110676707860251	0.5902	0.02868	0.0448210081294474	0.00340279024011859	0.205637460053117	0.0156119010096918	360192	binary	203
2754_irnt	Age at first live birth	rat_BMI	201	217.274	12.76992263	0.925099184	0.898739301	21909	295	0.0955594759164298	0.120441925297673	-0.4485	0.01771	0.184933313774235	0.00884535072682934	0.184933313774235	0.00884535072682934	131987	continuous_irnt	68
30000_irnt	White blood cell (leukocyte) count	rat_BMI	300	335.768	16.21265481	0.893474065	0.986314225	21909	295	0.0772470439612034	0.0933966186993899	0.2524	0.0223	0.190974573264983	0.00851420696075883	0.190974573264983	0.00851420696075883	350470	continuous_irnt	1965
30010_irnt	Red blood cell (erythrocyte) count	rat_BMI	273	339.465	15.99602372	0.804206619	0.999983742	21909	295	0.0679948272570549	0.0818325385794884	0.1289	0.02016	0.233745199119621	0.0232731699517793	0.233745199119621	0.0232731699517793	350475	continuous_irnt	2247
30020_irnt	Haemoglobin concentration	rat_BMI	295	343.732	16.25546603	0.858226758	0.998640694	21909	295	0.0728015102235239	0.0876762882016985	0.07989	0.0194	0.173933361488836	0.0112083261542965	0.173933361488836	0.0112083261542965	350474	continuous_irnt	1767
30030_irnt	Haematocrit percentage	rat_BMI	285	339.72	16.04660712	0.838926174	0.999675265	21909	295	0.0710867380241382	0.085592099131509	0.09146	0.02013	0.16307672499388	0.0113122398485818	0.16307672499388	0.0113122398485818	350475	continuous_irnt	1689
30040_irnt	Mean corpuscular volume	rat_BMI	284	332.539	16.11143938	0.854035166	0.998705344	21909	295	0.0740669923380705	0.0896100154321691	-0.09592	0.01692	0.266673954456952	0.0355330362860205	0.266673954456952	0.0355330362860205	350473	continuous_irnt	2415
30050_irnt	Mean corpuscular haemoglobin	rat_BMI	312	352.802	16.68348872	0.884348728	0.992770467	21909	295	0.0750136452576131	0.0903394871839726	-0.09462	0.01678	0.253000672743853	0.0332011143788628	0.253000672743853	0.0332011143788628	350472	continuous_irnt	2245
30070_irnt	Red blood cell (erythrocyte) distribution width	rat_BMI	289	327.441	15.38286446	0.882601751	0.993771895	21909	295	0.0744167990986548	0.0895111040369697	0.1863	0.01914	0.217173323818916	0.0178335130335516	0.217173323818916	0.0178335130335516	350473	continuous_irnt	2263
30080_irnt	Platelet count	rat_BMI	249	282.037	14.99225237	0.882862887	0.986223927	21909	295	0.0833042552975825	0.102681725053637	0.02174	0.0164	0.307883508403322	0.0327639030395656	0.307883508403322	0.0327639030395656	350474	continuous_irnt	2885
30090_irnt	Platelet crit	rat_BMI	269	316.224	15.60569845	0.850662821	0.998761242	21909	295	0.0750245945694255	0.0910924807321262	0.06367	0.01793	0.255683540573494	0.0343624426926911	0.255683540573494	0.0343624426926911	350471	continuous_irnt	2460
30100_irnt	Mean platelet (thrombocyte) volume	rat_BMI	257	279.885	14.65604909	0.918234275	0.940793705	21909	295	0.0854703108580844	0.105021323535694	0.04768	0.01373	0.406219800794535	0.057866431049174	0.406219800794535	0.057866431049174	350470	continuous_irnt	2694
30110_irnt	Platelet distribution width	rat_BMI	296	325.762	15.50114047	0.908638822	0.972570277	21909	295	0.0775148821921775	0.0934609674756751	0.02496	0.02283	0.203398952500208	0.0433333237594964	0.203398952500208	0.0433333237594964	350470	continuous_irnt	2071
30120_irnt	Lymphocyte count	rat_BMI	345	347.193	16.57231882	0.993683628	0.552638004	21909	295	0.0850111270083993	0.102559338831116	0.2308	0.02038	0.210252413809192	0.0160440453029817	0.210252413809192	0.0160440453029817	349856	continuous_irnt	1920
30130_irnt	Monocyte count	rat_BMI	323	338.773	15.89513985	0.9534408	0.839478275	21909	295	0.0802966768699437	0.0965609808137479	0.1514	0.01838	0.230464373312797	0.0325418849835687	0.230464373312797	0.0325418849835687	349856	continuous_irnt	1990
30140_irnt	Neutrophill count	rat_BMI	352	354.106	16.34389072	0.994052628	0.551264	21909	295	0.0824662177061667	0.0988707810814001	0.2012	0.02381	0.16410841837731	0.00826643277870457	0.16410841837731	0.00826643277870457	349856	continuous_irnt	1675
30150	Eosinophill count	rat_BMI	294	344.283	16.06950251	0.853948641	0.999123272	21909	295	0.0715743624248529	0.0859887969700965	0.1391	0.02168	NA	NA	NA	NA	NA	NA	1681
30180_irnt	Lymphocyte percentage	rat_BMI	331	359.545	16.96360737	0.920607991	0.953785338	21909	295	0.0779263876410707	0.0938073426067791	0.03823	0.0175	0.163167876420496	0.0126605122923288	0.163167876420496	0.0126605122923288	349861	continuous_irnt	1564
30190_irnt	Monocyte percentage	rat_BMI	338	343.864	16.80998227	0.982946746	0.636395413	21909	295	0.0859466770757152	0.104162078822681	-0.03942	0.01781	0.213031054542263	0.0388506270432452	0.213031054542263	0.0388506270432452	349861	continuous_irnt	1748
30200_irnt	Neutrophill percentage	rat_BMI	331	361.355	17.17244814	0.915996735	0.961440878	21909	295	0.0780496259708648	0.0940826930625493	-0.02897	0.01847	0.152658077293194	0.0102401819805565	0.152658077293194	0.0102401819805565	349861	continuous_irnt	1408
30210_irnt	Eosinophill percentage	rat_BMI	278	343.977	15.71153942	0.808193571	0.999986611	21909	295	0.0664084752392339	0.0794681089790829	0.0447	0.01898	0.2152654179768	0.0158417168988512	0.2152654179768	0.0158417168988512	349861	continuous_irnt	1929
30240_irnt	Reticulocyte percentage	rat_BMI	310	345.187	16.16459189	0.898063948	0.98525206	21909	295	0.0754982650313443	0.0907578998057501	0.3681	0.02229	0.225019952669182	0.0286743351417171	0.225019952669182	0.0286743351417171	344728	continuous_irnt	1941
30250_irnt	Reticulocyte count	rat_BMI	293	343.625	15.90227578	0.8526737	0.999272486	21909	295	0.0709097930561507	0.0850567136308743	0.3826	0.02271	0.227442225561237	0.0276396953879341	0.227442225561237	0.0276396953879341	344729	continuous_irnt	1997
30260_irnt	Mean reticulocyte volume	rat_BMI	322	338.809	16.45686844	0.950387977	0.846466864	21909	295	0.082614226474602	0.0999995091479341	0.01332	0.0172	0.199967220688833	0.0273033293737339	0.199967220688833	0.0273033293737339	344728	continuous_irnt	2165
30270_irnt	Mean sphered cell volume	rat_BMI	298	343.215	16.65655352	0.86826042	0.996681677	21909	295	0.0754159106566301	0.0912713127472909	-0.08978	0.01778	0.200086302870285	0.0250193714057012	0.200086302870285	0.0250193714057012	344729	continuous_irnt	2183
30280_irnt	Immature reticulocyte fraction	rat_BMI	325	365.234	16.22477254	0.889840486	0.993426978	21909	295	0.0712719342714585	0.084866772892942	0.4001	0.02375	0.164054647072231	0.0214271747185609	0.164054647072231	0.0214271747185609	344728	continuous_irnt	1371
30290_irnt	High light scatter reticulocyte percentage	rat_BMI	285	336.862	16.28050847	0.846043781	0.999277547	21909	295	0.0732081069416424	0.0885289055507917	0.4046	0.02199	0.247590526433366	0.0318313711835716	0.247590526433366	0.0318313711835716	344729	continuous_irnt	2089
30300_irnt	High light scatter reticulocyte count	rat_BMI	274	345.19	15.98217445	0.793765752	0.999995792	21909	295	0.0660392206859282	0.0792212139155971	0.4172	0.02233	0.247877286065932	0.0311829741738164	0.247877286065932	0.0311829741738164	344729	continuous_irnt	2064
30610_irnt	Alkaline phosphatase (quantile)	rat_BMI	211	213.563	12.85013739	0.987998857	0.579045844	2048	295	0.104226518628337	0.132097023199531	NA	NA	NA	NA	NA	NA	NA	NA	126
3062_irnt	Forced vital capacity (FVC)	rat_BMI	291	335.231	15.54945784	0.868058145	0.997776195	21909	295	0.0723412073376672	0.0868101756558719	-0.2727	0.0164	0.209992221721983	0.00815323043124715	0.209992221721983	0.00815323043124715	329404	continuous_irnt	1603
3063_irnt	Forced expiratory volume in 1-second (FEV1)	rat_BMI	310	333.763	15.57532764	0.928802773	0.936455484	21909	295	0.0778338923566398	0.0935054506283625	-0.2304	0.01698	0.191973116339244	0.00759459094270963	0.191973116339244	0.00759459094270963	329404	continuous_irnt	1335
30660_irnt	Direct bilirubin (quantile)	rat_BMI	182	223.498	13.71203836	0.81432496	0.998762543	21909	295	0.0874112458558035	0.111307091809138	NA	NA	NA	NA	NA	NA	NA	NA	306
30700_irnt	Creatinine (quantile)	rat_BMI	295	249.701	14.2165959	1.18141297	0.00072041	6065	295	0.118600875991477	0.1483954122399	NA	NA	NA	NA	NA	NA	NA	NA	443
30710_irnt	C-reactive protein (quantile)	rat_BMI	188	198.738	12.58123031	0.945969065	0.803307192	3457	295	0.104418721486606	0.134001685716769	NA	NA	NA	NA	NA	NA	NA	NA	160
3143_irnt	Ankle spacing width	rat_BMI	337	354.663	15.94250391	0.950197793	0.86605156	21909	295	0.0769378843951108	0.0918048308228115	0.5145	0.01842	0.301831424939588	0.0155353798684768	0.301831424939588	0.0155353798684768	206589	continuous_irnt	1296
3144_irnt	Heel Broadband ultrasound attenuation, direct entry	rat_BMI	262	223.95	13.71552041	1.169903996	0.002766632	8606	295	0.125381920280124	0.159589165710243	0.1726	0.02089	0.288307207809406	0.0282920536081895	0.288307207809406	0.0282920536081895	206576	continuous_irnt	269
3147_irnt	Heel quantitative ultrasound index (QUI), direct entry	rat_BMI	350	324.162	15.77173916	1.07970706	0.050685118	21909	295	0.0939987289295614	0.113816304234083	0.1102	0.01926	0.315203458139254	0.0310786547364483	0.315203458139254	0.0310786547364483	206589	continuous_irnt	992
3148_irnt	Heel bone mineral density (BMD)	rat_BMI	359	321.144	15.78528631	1.117878584	0.008238323	21909	295	0.098233114987901	0.119178666473107	0.1107	0.01919	0.317506406650995	0.0311446034473267	0.317506406650995	0.0311446034473267	206496	continuous_irnt	994
4080_irnt	Systolic blood pressure, automated reading	rat_BMI	356	323.345	15.52237015	1.100991201	0.017700654	21909	295	0.094684386438971	0.114352909603346	0.1835	0.01981	0.151248203009127	0.00634135750249136	0.151248203009127	0.00634135750249136	340159	continuous_irnt	911
4100_irnt	Ankle spacing width (left)	rat_BMI	233	260.476	14.00626374	0.894516193	0.975100925	21909	295	0.0852868860211569	0.105382001616035	0.5142	0.01868	0.317640513829881	0.0176578966189638	0.317640513829881	0.0176578966189638	114630	continuous_irnt	518
4101_irnt	Heel broadband ultrasound attenuation (left)	rat_BMI	283	239.068	13.82090359	1.183763615	0.000739779	21909	295	0.120481301190919	0.151274107286177	0.1631	0.02473	0.29840777607898	0.0317277562927312	0.29840777607898	0.0317277562927312	114625	continuous_irnt	339
4104_irnt	Heel quantitative ultrasound index (QUI), direct entry (left)	rat_BMI	279	245.737	13.89697201	1.135360161	0.008343263	21909	295	0.113288786615241	0.141533935432344	0.1061	0.02286	0.332008076867246	0.033338671872772	0.332008076867246	0.033338671872772	114630	continuous_irnt	411
4105_irnt	Heel bone mineral density (BMD) (left)	rat_BMI	275	250.791	13.81322985	1.096530577	0.03983576	21909	295	0.10684109189939	0.132700614978292	0.1075	0.02287	0.334855788869077	0.0334720744847153	0.334855788869077	0.0334720744847153	114561	continuous_irnt	409
4106_irnt	Heel bone mineral density (BMD) T-score, automated (left)	rat_BMI	279	245.737	13.89697201	1.135360161	0.008343263	21909	295	0.113288786615241	0.141533935432344	0.1061	0.02286	0.33200853251468	0.0333389585992307	0.33200853251468	0.0333389585992307	114630	continuous_irnt	411
4119_irnt	Ankle spacing width (right)	rat_BMI	244	257.994	14.36739239	0.945758428	0.834974492	21909	295	0.093070979846732	0.115877772802422	0.5094	0.01962	0.312396977004806	0.0169954030440047	0.312396977004806	0.0169954030440047	114614	continuous_irnt	531
4120_irnt	Heel broadband ultrasound attenuation (right)	rat_BMI	270	245.476	13.7379556	1.09990386	0.037120333	21909	295	0.108723139998805	0.13551359819909	0.1561	0.02399	0.294529036386153	0.0318837334211903	0.294529036386153	0.0318837334211903	114609	continuous_irnt	326
4123_irnt	Heel quantitative ultrasound index (QUI), direct entry (right)	rat_BMI	287	264.492	13.98384554	1.085098982	0.053745711	21909	295	0.101886688737256	0.125444151513186	0.09663	0.0223	0.331454047268343	0.0342075296501299	0.331454047268343	0.0342075296501299	114614	continuous_irnt	441
4124_irnt	Heel bone mineral density (BMD) (right)	rat_BMI	285	263.016	14.18286798	1.083584269	0.060566065	21909	295	0.10357784846553	0.12805986705228	0.09805	0.0224	0.332595066912237	0.0344202717750769	0.332595066912237	0.0344202717750769	114552	continuous_irnt	454
4125_irnt	Heel bone mineral density (BMD) T-score, automated (right)	rat_BMI	287	264.492	13.98384554	1.085098982	0.053745711	21909	295	0.101886688737256	0.125444151513186	0.09663	0.0223	0.33144600561819	0.0342060272107279	0.33144600561819	0.0342060272107279	114614	continuous_irnt	440
48_irnt	Waist circumference	rat_BMI	375	368.069	16.27686207	1.018830708	0.335119806	21909	295	0.0812642571743034	0.0966884378562107	0.9023	0.005494	0.205680908371037	0.00732421302631128	0.205680908371037	0.00732421302631128	360564	continuous_irnt	1152
