	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Negative Log	HumanGene
152	Acot7	chr5	"169357581-169450215,169364305-169450215,169378804-169450215"	55	0.486913	169409440	0.31254863	ACOT7
153	Acot8	chr3	161260836-161272495	12	0.187972	161258606	0.725906838	ACOT8
154	Acox1	chr10	104724533-104748003	22	0.897891	104726499	0.046776382	ACOX1
155	Acox2	chr15	"18449303-18481472,18449303-18481472,18449389-18481470,18449406-18481472"	99	0.194854	18484062	0.710290674	ACOX2
156	Acox3	chr14	"80313201-80358115,80314430-80355420"	36	0.83823	80335094	0.0766368	ACOX3
157	Acoxl	chr3	"120414310-120724808,120414310-120724808,120414394-120724809,120441062-120724808"	375	0.0747563	120710323	1.126352202	ACOXL
158	Acp1	chr6	"49836063-49851714,49836067-49851677,49836685-49851660,49836801-49851648"	62	0.00199393	49845660	2.700290092	ACP1
159	Acp2	chr3	"80020345-80030365,80021439-80030365"	28	0.225153	80016936	0.647522262	ACP2
160	Acp5	chr8	"23142732-23146689,23142732-23148396,23142744-23148380,23142744-23149067,23142744-23149067,23142744-23149067"	25	0.0053818	23149711	2.269072446	ACP5
161	Acp6	chr2	199284176-199305793	42	0.00236345	199287870	2.626453581	ACP6
162	Acp7	chr1	85141382-85162449	33	0.0273188	85172009	1.563538381	ACP7
163	Acpp	chr8	"112838573-112881173,112838573-112883989,112838573-112883993,112838628-112884022,112847498-112884062"	295	0.0501048	112858678	1.300120667	ACPP
164	Acpt	chr1	"100226310-100234509,100226310-100234514,100226765-100232751,100226765-100234534,100226765-100234535,100226765-100234536,100226773-100234536,100227577-100231460"	20	0.00927725	100242866	2.03258074	
165	Acr	chr7	"130541319-130547779,130542202-130548356,130542224-130548356,130542230-130548356"	26	0.360766	130556123	0.442774399	ACR
166	Acrbp	chr4	"157563989-157568024,157563990-157577045"	63	0.00879982	157581941	2.055526211	ACRBP
167	Acrv1	chr8	39164990-39170568	28	0.468889	39179575	0.328929956	ACRV1
168	Acsbg1	chr8	"59184110-59230116,59184110-59230116,59184110-59230116,59184110-59230116,59184110-59239954,59184110-59240133"	164	0.011639	59235570	1.934084332	ACSBG1
169	Acsbg2	chr9	"10172316-10203550,10172319-10203550,10172831-10203461"	92	0.257381	10163412	0.589423516	ACSBG2
170	Acsf2	chr10	82284718-82326771	68	0.152056	82328812	0.817996438	ACSF2
171	Acsl1	chr16	"48937455-48981980,48937463-48983717,48937463-48983798,48937463-48986597,48937463-48986715,48937463-48996935,48937463-49003551,48937463-49003898"	164	0.302832	48958451	0.518798235	ACSL1
172	Acsl3	chr9	84569600-84593565	114	0.563012	84575185	0.249482349	ACSL3
173	Acsl5	chr1	"276240702-276290006,276263912-276290012"	6	2.37E-05	276291061	4.626146819	ACSL5
174	Acsl6	chr10	"39654770-39717426,39655292-39717592,39655294-39717592,39655296-39717592,39655297-39717592,39666673-39717592,39666990-39715982"	93	0.774443	39711005	0.111010541	ACSL6
175	Acsm1	chr1	"189359373-189395277,189359373-189395277,189359373-189395277,189359852-189395277,189359863-189395277"	58	0.0612993	189388700	1.212544485	ACSM1
176	Acsm2a	chr1	189289956-189329007	101	0.273446	189290634	0.563128425	
177	Acsm3	chr1	"189514503-189541233,189514533-189541233,189514552-189541233"	20	0.0759725	189522555	1.119343582	ACSM3
178	Acsm4	chr1	"189432603-189457052,189435822-189458799"	103	0.0769183	189445640	1.113970323	ACSM4
179	Acsm5	chr1	"189240954-189268013,189240975-189268013,189241363-189270422,189241592-189267915"	214	0.40757	189234856	0.389797791	ACSM5
180	Acss1	chr3	"146420345-146451446,146420345-146470293"	113	0.0017752	146433994	2.750752711	ACSS1
181	Acss2	chr3	"151032924-151075854,151032951-151075856"	72	0.0103679	151041221	1.9843092	ACSS2
182	Acss3	chr7	"49047021-49244691,49047021-49246218,49047021-49250948,49074594-49250953"	244	0.0429148	49237608	1.367392907	ACSS3
183	Acta1	chr19	56674071-56677084	12	0.0182211	56677803	1.739425408	ACTA1
184	Actb	chr12	13715842-13718813	22	0.0134019	13713278	1.872833627	ACTB
185	Actbl2	chr2	42829412-42832160	9	0.00381692	42833065	2.418286942	ACTBL2
186	Actc1	chr3	105507402-105512939	15	0.699029	105511729	0.155504807	ACTC1
187	Actg1	chr10	"109518428-109520852,109518428-109520871,109518432-109521288"	31	0.172229	109509201	0.76389372	ACTG1
188	Actg2	chr4	"115215159-115229684,115215159-115239746"	96	0.00737359	115244498	2.132321015	ACTG2
189	Actl10	chr3	150054084-150056869	6	0.553391	150047446	0.256967908	ACTL10
190	Actl11	chr8	116708026-116711716	29	0.0353873	116703791	1.451152572	
191	Actl6a	chr2	"119112775-119128870,119113202-119128870"	38	0.0416735	119117633	1.380140023	ACTL6A
192	Actl6b	chr12	"22194594-22211107,22194598-22211080"	59	0.644464	22221030	0.190801337	ACTL6B
193	Actl7a	chr5	"73494581-73498012,73496074-73497550"	43	0.119545	73484875	0.922468584	ACTL7A
194	Actl7b	chr5	73492641-73494030	48	0.119545	73484875	0.922468584	ACTL7B
195	Actl9	chr7	18310623-18312001	13	0.424792	18308706	0.371823671	ACTL9
196	Actl9b	chr8	4085835-4087173	77	0.369734	4084952	0.432110611	
197	Actn1	chr6	103376556-103470497	347	0.0153735	103367683	1.813227248	ACTN1
198	Actn2	chr17	66304529-66397647	355	0.00494161	66329557	2.306131533	ACTN2
199	Actn3	chr1	220120531-220136460	20	0.000311388	220144228	3.506698128	ACTN3
200	Actn4	chr1	"87078011-87147308,87078011-87147347,87078419-87105755,87078419-87147347,87079045-87147200,87079045-87147347"	54	0.00791042	87076563	2.101800457	ACTN4
201	Actr10	chr6	93385456-93411605	67	0.0249158	93405243	1.603525164	ACTR10
202	Actr1a	chr1	"266123863-266142621,266123869-266142538"	43	0.041596	266116961	1.38094843	ACTR1A
203	Actr2	chr14	"104338485-104375840,104340782-104375648"	28	0.514177	104337934	0.288887354	ACTR2
204	Actr3	chr13	41695519-41738622	24	0.73602	41692540	0.133110384	ACTR3
205	Actr3b	chr4	5644286-5672708	84	0.00394256	5675539	2.404221689	ACTR3B
206	Actr5	chr3	"155118566-155131832,155118566-155131832,155118587-155132073"	19	0.643245	155122264	0.191623581	ACTR5
207	Actr6	chr7	"30377368-30397922,30377371-30397792"	41	0.180308	30386448	0.743985004	ACTR6
208	Actr8	chr16	"6047976-6062583,6048019-6062586"	44	0.5917	6053501	0.227898431	ACTR8
209	Actrt2	chr5	172077289-172078690	8	0.312762	172076993	0.504786018	ACTRT2
210	Actrt3	chr2	116416560-116418521	5	0.128625	116406997	0.890674612	ACTRT3
211	Acvr1	chr3	"44432475-44478216,44432475-44510332,44432475-44529465,44432475-44539680,44433522-44500986"	132	0.237922	44429327	0.623565398	ACVR1
212	Acvr1b	chr7	"142817173-142858365,142836752-142858231,142837458-142858231"	6	0.379243	142808599	0.421082427	ACVR1B
213	Acvr1c	chr3	44272858-44342501	95	0.408076	44278069	0.389258946	ACVR1C
214	Acvr2a	chr3	"32947900-33034598,32947972-33032649"	128	0.280683	33004545	0.55178389	ACVR2A
215	Acvr2b	chr8	"128087307-128126776,128087307-128126776,128087344-128118763"	70	0.00208316	128104053	2.681277372	ACVR2B
216	Acvrl1	chr7	"142769941-142787336,142770349-142787336,142770349-142787336,142774328-142787336,142774328-142787336,142775136-142787336,142776251-142787336"	28	0.308618	142775750	0.510578748	ACVRL1
217	Acy1	chr8	"115134791-115140171,115134791-115140171,115134795-115139479"	14	0.552625	115133705	0.257569472	ABHD14A-ACY1
218	Acy3	chr1	"219233711-219236825,219233711-219237103,219233719-219237103,219233729-219237103,219233773-219237103"	4	0.0937719	219224578	1.027927284	ACY3
219	Acyp1	chr6	"109097064-109103999,109097064-109104010,109097064-109104050,109097064-109104063,109097064-109110266"	2	0.0132948	109089937	1.876318192	ACYP1
220	Acyp2	chr14	"114891244-115052450,114891244-115052497"	191	0.799216	115004839	0.09733583	ACYP2
221	Ada	chr3	160115839-160139947	30	0.291829	160148399	0.534871553	ADA
222	Adad1	chr2	"123790797-123848598,123790980-123824819,123791035-123848596"	76	0.620352	123781283	0.207361813	ADAD1
223	Adad2	chr19	52258907-52263031	8	0.0991138	52271589	1.003865873	ADAD2
224	Adal	chr3	"113091695-113109841,113091698-113109841,113091706-113109243,113091908-113109243,113093701-113109841,113093703-113109841,113102089-113108675"	30	0.0444085	113087718	1.352533896	ADAL
225	Adam10	chr8	"77107354-77237386,77107535-77237483,77164067-77237386"	138	0.00418738	77210880	2.378057626	ADAM10
226	Adam11	chr10	"90731259-90749221,90731260-90747250,90731260-90747594,90731260-90747594,90731864-90746936,90740423-90747594,90740423-90747594"	39	0.171557	90727957	0.765591557	ADAM11
227	Adam12	chr1	"205951839-206286285,205951839-206286294"	417	0.0554979	206141713	1.25572345	ADAM12
228	Adam15	chr2	"188661830-188672337,188661830-188672337,188661830-188672337,188661830-188672337,188661830-188672337,188661832-188672297,188662679-188672337"	12	0.707361	188653469	0.150358888	ADAM15
229	Adam17	chr6	43400524-43448280	42	0.393433	43401919	0.405129216	ADAM17
230	Adam18	chr16	"72139099-72196562,72139099-72201203,72139099-72202237,72139099-72210896,72139099-72210902"	523	0.192669	72187135	0.715188157	ADAM18
231	Adam19	chr10	31146106-31240582	155	0.118586	31175471	0.92596658	ADAM19
232	Adam1a	chr12	40533730-40536632	20	0.0786479	40525307	1.104312869	
233	Adam2	chr15	42708535-42751281	83	0.0580598	42718637	1.236124465	ADAM2
234	Adam22	chr4	"22864484-22996769,22864485-22996769,22864485-22996769,22864485-22996769,22864485-22996769,22864486-22996769,22864486-22996769,22864486-23002969,22865837-22993083,22865839-23002969,22865840-22996769,22865842-22996769,22865843-22996769"	73	0.0282497	22961267	1.54898616	ADAM22
235	Adam24	chr16	54625788-54631824	32	0.13631	54636108	0.865472282	
236	Adam26a	chr16	51792059-51828519	90	0.650391	51835958	0.186825477	
