	Gene	Chrom	Start-End	nSNPS	TopSNP P-Value	TopSNP Position	Binarized Heat	Negative Log	Size Adjusted Heat	HumanGene	
10843	LOC103693472	chr10	98943408-98945711	20.0	7.46E-09	98943802.0	1.0	8.127250693698423	4.861444387636156		
8249	LOC102550782	chr10	97553590-97556928	70.0	7.70E-09	97544848.0	1.0	8.113450056890208	4.861444387636156		
8475	LOC102551705	chr10	"98849879-98864177	98849879-98864177"	125.0	8.87E-09	98866106.0	1.0	8.052156685557538	4.861444387636156		
37	Abca6	chr10	"98477715-98544309	98477715-98545123	98477715-98546071	98477715-98546072	98477715-98546072	98477715-98546697	98477715-98546699"	167.0	1.29E-08	98530060.0	1.0	7.89070162458252	4.861444387636156	ABCA6	
2057	Cep112	chr10	"96660293-97146426	96663739-97146424"	641.0	1.39E-08	97067835.0	1.0	7.857864050606383	4.861444387636156	CEP112	
21474	Swap70	chr1	"174862682-174924101	174862724-174924100"	251.0	1.43E-08	174870438.0	1.0	7.8439417515740395	4.861444387636156	SWAP70	
8075	LOC102550112	chr10	97346156-97349831	44.0	1.90E-08	97343838.0	1.0	7.722083794167856	4.861444387636156		
8122	LOC102550334	chr10	"97376020-97412597	97406571-97414751"	134.0	2.08E-08	97376192.0	1.0	7.681408733623162	4.861444387636156		
20070	Sbf2	chr1	"174948360-175364128	174948360-175420161	174948360-175420161	174948360-175420161	174948360-175420161	174948360-175420161	174948360-175420161	174948912-175420106"	78.0	2.14E-08	175020686.0	1.0	7.670364188383141	4.861444387636156	SBF2	
8153	LOC102550454	chr10	97472890-97484170	55.0	2.31E-08	97476361.0	1.0	7.636023441015799	4.861444387636156		
14602	Map2k6	chr10	98707159-98823054	173.0	2.87E-08	98804855.0	1.0	7.541434665324	4.861444387636156	MAP2K6	
36	Abca5	chr10	"98573225-98645028	98576038-98644800"	7.0	3.17E-08	98585604.0	1.0	7.499524756309433	4.861444387636156	ABCA5	
328	Adm	chr1	"175443188-175447260	175445087-175447259"	27.0	3.91E-08	175439066.0	1.0	7.407878782534115	4.861444387636156	ADM	
8262	LOC102550846	chr10	97625899-97627377	22.0	3.98E-08	97623344.0	1.0	7.400037278202561	4.861444387636156		
731	Apoh	chr10	96640012-96653939	66.0	4.40E-08	96649003.0	1.0	7.35620693059075	4.861444387636156	APOH	
11699	LOC108349612	chr1	175528427-175559800	50.0	8.11E-08	175522585.0	1.0	7.090751615814847	4.861444387636156		
22489	Trim66	chr1	"174062175-174106268	174062175-174106268	174062175-174106382	174062175-174106382	174062175-174107299	174062175-174107299	174062175-174110839	174062175-174131577	174062175-174132726	174062175-174132732	174067108-174119748"	98.0	8.23E-08	174090214.0	1.0	7.08482238199015	4.861444387636156	TRIM66	
8108	LOC102550291	chr1	"282479754-282513134	282479754-282513134	282479754-282513138	282479754-282513138	282492367-282513134"	30.0	9.42E-08	282520805.0	1.0	7.026131705247207	4.861444387636156		
8232	LOC102550729	chr1	282541757-282552098	14.0	9.48E-08	282542505.0	1.0	7.023409780900195	4.861444387636156		
5134	Grk5	chr1	"282265370-282467842	282265370-282467842	282265421-282462612	282384532-282467842"	136.0	1.44E-07	282458198.0	1.0	6.842358914940739	4.861444387636156	GRK5	
19651	Ric3	chr1	"173629217-173661794	173630754-173682226	173630754-173682226"	92.0	1.47E-07	173680609.0	1.0	6.833395256141775	4.861444387636156	RIC3	
23591	Zfp277	chr6	60246208-60374388	383.0	1.66E-07	60265552.0	1.0	6.781167889462058	4.861444387636156	ZNF277	
7238	LOC102546998	chr1	281928065-281931253	19.0	2.07E-07	281926491.0	1.0	6.683337852311369	4.861444387636156		
20784	Slc5a11	chr1	"193151215-193226652	193165828-193226652	193165828-193226652	193177672-193226652	193188044-193226652"	156.0	2.13E-07	193146185.0	1.0	6.671096704538029	4.861444387636156	SLC5A11	
22302	Tnrc6a	chr1	"192991583-193146403	192991583-193146403	192991583-193146403	192991584-193144035	193076126-193146403	193076429-193146394"	298.0	2.13E-07	193146185.0	1.0	6.671096704538029	4.861444387636156	TNRC6A	
2107	Ces2i	chr1	282569925-282575202	25.0	2.16E-07	282562648.0	1.0	6.665415578040109	4.861444387636156		
16907	Olr251	chr1	172368570-172369515	64.0	2.27E-07	172362612.0	1.0	6.643253467872852	4.861444387636156		
21348	Stk33	chr1	"173872743-173949901	173872743-173990293	173872743-174051569	173872743-174051569	173872743-174051768"	25.0	2.30E-07	174060649.0	1.0	6.637645721358425	4.861444387636156	STK33	
3673	Eif3a	chr1	282139808-282170017	39.0	2.47E-07	282166224.0	1.0	6.607063986841722	4.861444387636156	EIF3A	
16925	Olr281	chr1	173468718-173469663	33.0	2.54E-07	173475511.0	1.0	6.5945785029613715	4.861444387636156		
1475	Cacng1	chr10	95921478-95934170	111.0	2.65E-07	95934209.0	1.0	6.576244743458057	4.861444387636156	CACNG1	
22676	Tub	chr1	"173550928-173629550	173607118-173625409"	158.0	2.66E-07	173575692.0	1.0	6.574411985093653	4.861444387636156	TUB	
3678	Eif3f	chr1	173532825-173541806	111.0	2.69E-07	173550950.0	1.0	6.569733006766428	4.861444387636156	EIF3F	
10039	LOC103691204	chr1	"175563356-175586915	175574001-175586915"	60.0	2.79E-07	175553802.0	1.0	6.554128142120827	4.861444387636156		
16906	Olr250	chr1	172348582-172349530	18.0	2.81E-07	172341633.0	1.0	6.552025332672715	4.861444387636156		
16080	Nlrp10	chr1	173521411-173528969	95.0	2.87E-07	173531042.0	1.0	6.542845057513416	4.861444387636156	NLRP10	
22616	Ttbk2	chr3	"112677931-112789171	112677931-112789555	112677931-112789555	112677931-112789615	112684151-112789289	112689594-112789556"	242.0	3.56E-07	112751667.0	1.0	6.448284139046938	4.861444387636156	TTBK2	
547	Ampd3	chr1	"175585300-175630479	175586096-175630467	175586435-175630479	175586575-175630479	175586908-175630472	175587166-175630479	175590171-175630479	175590171-175630479	175591106-175630479"	124.0	3.61E-07	175627969.0	1.0	6.442392957931489	4.861444387636156	AMPD3	
23881	rnf141	chr1	"175631655-175657414	175634550-175657485"	77.0	3.61E-07	175627969.0	1.0	6.442392957931489	4.861444387636156	RNF141	
21311	Stard9	chr3	"112428360-112499333	112428361-112507586	112428361-112659133	112428361-112659558	112477254-112659133	112486222-112659133"	168.0	4.14E-07	112490615.0	1.0	6.382712322339787	4.861444387636156	STARD9	
14281	Lmo1	chr1	"173728182-173758969	173728182-173764246	173728182-173764288"	54.0	4.17E-07	173769604.0	1.0	6.379995190526489	4.861444387636156	LMO1	
16914	Olr263	chr1	172625351-172626296	99.0	4.30E-07	172630142.0	1.0	6.366974144255067	4.861444387636156		
1914	Cdan1	chr3	112660838-112676596	42.0	4.33E-07	112658758.0	1.0	6.363059990765405	4.861444387636156	CDAN1	
16910	Olr257	chr1	172551154-172552099	45.0	4.34E-07	172544699.0	1.0	6.362696436589606	4.861444387636156		
5536	Hs3st4	chr1	193834006-194240806	1089.0	4.39E-07	194175529.0	1.0	6.357699731506741	4.861444387636156	HS3ST4	
16916	Olr267	chr1	172728263-172729208	150.0	4.56E-07	172728009.0	1.0	6.340811400944931	4.861444387636156		
9530	LOC102555781	chr1	280796425-280803034	54.0	4.79E-07	280790903.0	1.0	6.319512192888074	4.861444387636156		
14069	LOC691716	chr1	196095192-196095633	64.0	4.91E-07	196088652.0	1.0	6.308691248240509	4.861444387636156		
16919	Olr270	chr1	172792873-172793818	70.0	5.23E-07	172784328.0	1.0	6.28125590463051	4.861444387636156		
18359	Prdx3	chr1	282238773-282251193	21.0	5.26E-07	282254616.0	1.0	6.279420668162077	4.861444387636156	PRDX3	
20361	Sfxn4	chr1	"282213609-282235891	282213610-282235788	282213610-282236851"	33.0	5.45E-07	282244609.0	1.0	6.263349370364887	4.861444387636156	SFXN4	
1518	Camk4	chr18	"25746877-25965926	25749091-25975962	25750923-25975962	25750995-25975962"	456.0	5.47E-07	25774019.0	1.0	6.261868197525606	4.861444387636156	CAMK4	
10105	LOC103691392	chr1	"280573646-280634146	280578591-280634146	280609162-280616324	280609162-280634146"	182.0	5.56E-07	280604868.0	1.0	6.255031451717183	4.861444387636156		
14076	LOC691918	chr3	112371708-112377939	11.0	5.64E-07	112364892.0	1.0	6.248751698136029	4.861444387636156		
14394	Lrrc57	chr3	"112365935-112371561	112365935-112371631	112365935-112371680	112365935-112371688	112365935-112371787"	14.0	5.64E-07	112364892.0	1.0	6.248751698136029	4.861444387636156	LRRC57	
20949	Snap23	chr3	112333971-112362960	37.0	5.64E-07	112364892.0	1.0	6.248751698136029	4.861444387636156	SNAP23	
16901	Olr244	chr1	"172214785-172215730	172214785-172255770"	150.0	5.74E-07	172260003.0	1.0	6.241105509994383	4.861444387636156		
16903	Olr246	chr1	172264472-172265411	74.0	5.74E-07	172260003.0	1.0	6.241105509994383	4.861444387636156		
3366	Dock4	chr6	60374838-60782648	1007.0	5.83E-07	60368335.0	1.0	6.234547528833561	4.861444387636156	DOCK4	
16904	Olr247	chr1	172283254-172284199	48.0	5.98E-07	172278470.0	1.0	6.223031640068433	4.861444387636156		
16908	Olr252	chr1	172394900-172395872	140.0	5.99E-07	172387491.0	1.0	6.222247759955873	4.861444387636156		
16913	Olr262	chr1	172615676-172616633	121.0	6.39E-07	172626559.0	1.0	6.1944678792013255	4.861444387636156		
14518	Lyve1	chr1	175663265-175676699	38.0	6.43E-07	175661385.0	1.0	6.191714737328982	4.861444387636156	LYVE1	
18226	Ppfibp2	chr1	"171816230-171969117	171820277-171969117	171820277-171969117	171820277-171969117	171820279-171969117	171820280-171969117	171820422-171966179	171888665-171969117	171888930-171969117	171888931-171969117	171915704-171969117	171918702-171969117"	436.0	6.61E-07	171891126.0	1.0	6.18000752519889	4.861444387636156	PPFIBP2	
16894	Olr235	chr1	172051214-172052153	26.0	6.63E-07	172050229.0	1.0	6.178525120938522	4.861444387636156		
16895	Olr237	chr1	172058207-172059152	21.0	6.63E-07	172050229.0	1.0	6.178525120938522	4.861444387636156		
4157	Fam45a	chr1	"282188079-282211588	282188085-282211586	282190916-282211588"	31.0	6.82E-07	282195344.0	1.0	6.165901798612428	4.861444387636156	FAM45A	
2103	Ces2c	chr1	282640751-282648319	5.0	6.83E-07	282637245.0	1.0	6.165379045623388	4.861444387636156		
16917	Olr268	chr1	172752415-172753360	247.0	7.01E-07	172754151.0	1.0	6.154287557889873	4.861444387636156		
16912	Olr260	chr1	172599609-172600542	81.0	7.07E-07	172603745.0	1.0	6.150509949988183	4.861444387636156		
17406	Ovch2	chr1	172009554-172030164	26.0	7.29E-07	172037176.0	1.0	6.137279620621225	4.861444387636156	OVCH2	
13667	LOC499235	chr1	171996405-171997611	7.0	7.35E-07	172001163.0	1.0	6.133575599117887	4.861444387636156		
21530	Syt9	chr1	"171592702-171720464	171592796-171769780"	366.0	7.39E-07	171747485.0	1.0	6.131168132583593	4.861444387636156	SYT9	
16902	Olr245	chr1	172242503-172243487	50.0	7.40E-07	172249953.0	1.0	6.131043616330025	4.861444387636156		
16915	Olr264	chr1	172664299-172665244	4.0	7.63E-07	172669275.0	1.0	6.1173582240525874	4.861444387636156		
16899	Olr241	chr1	172129513-172130446	35.0	7.79E-07	172120167.0	1.0	6.108245727967261	4.861444387636156		
750	Aqp8	chr1	"193424817-193430395	193424867-193430665"	86.0	7.80E-07	193436510.0	1.0	6.108124827126423	4.861444387636156	AQP8	
23808	Zkscan2	chr1	"193440748-193459755	193440748-193459755"	102.0	7.80E-07	193436510.0	1.0	6.108124827126423	4.861444387636156	ZKSCAN2	
11651	LOC108349532	chr1	173648639-173649453	19.0	8.04E-07	173639046.0	1.0	6.094570592163976	4.861444387636156		
16900	Olr242	chr1	172157738-172158671	16.0	8.25E-07	172164947.0	1.0	6.083774050088485	4.861444387636156		
16896	Olr239	chr1	172075199-172076138	19.0	8.56E-07	172075221.0	1.0	6.067657659728375	4.861444387636156		
21107	Spats1	chr9	17911949-17947101	178.0	8.58E-07	17905823.0	1.0	6.066546626914053	4.861444387636156	SPATS1	
16898	Olr240	chr1	172094586-172100921	39.0	8.59E-07	172110374.0	1.0	6.065822338127563	4.861444387636156		
19031	RGD1562400	chr1	172321823-172322795	80.0	8.66E-07	172322760.0	1.0	6.062380817849353	4.861444387636156		
16873	Olr203	chr1	173179797-173180745	17.0	8.74E-07	173185315.0	1.0	6.0583951593763965	4.861444387636156		
16911	Olr259	chr1	172566904-172567846	56.0	9.13E-07	172576811.0	1.0	6.0393594384289395	4.861444387636156		
12079	LOC108350447	chr3	112789601-112798854	61.0	9.30E-07	112786084.0	1.0	6.031543670310703	4.861444387636156		
4676	Ganc	chr3	"112173906-112226023	112174965-112223993	112174965-112223993	112174965-112226886"	157.0	9.34E-07	112201843.0	1.0	6.029654983707431	4.861444387636156	GANC	
12078	LOC108350445	chr3	"112203064-112221301	112203300-112221301	112203300-112221301"	70.0	9.34E-07	112201843.0	1.0	6.029654983707431	4.861444387636156		
11769	LOC108349711	chr1	"280653841-280661257	280655221-280661257"	128.0	9.83E-07	280667223.0	1.0	6.007291877880458	4.861444387636156		
22812	Ubr2	chr9	16003057-16080152	52.0	1.00E-06	15993437.0	1.0	6.00013117674222	4.861444387636156	UBR2	
3757	Emx2	chr1	"280633937-280640946	280634756-280639542"	84.0	1.02E-06	280624490.0	1.0	5.993439835156771	4.861444387636156	EMX2	
16920	Olr271	chr1	172807388-172808333	59.0	1.03E-06	172815916.0	1.0	5.985777773616514	4.861444387636156		
16921	Olr272	chr1	172813393-172814338	56.0	1.03E-06	172815916.0	1.0	5.985777773616514	4.861444387636156		
7172	LOC102546724	chr18	"25246285-25250240	25246351-25250240	25247628-25249814"	49.0	1.09E-06	25258385.0	1.0	5.962135444225626	4.861444387636156		
1478	Cacng4	chr10	95954159-96015484	156.0	1.13E-06	95950336.0	1.0	5.94845775253482	4.861444387636156	CACNG4	
14138	Lcmt1	chr1	"193335628-193391620	193335668-193391615"	104.0	1.14E-06	193396651.0	1.0	5.943167537109716	4.861444387636156	LCMT1	
16854	Olr1875	chr1	172877047-172878013	77.0	1.14E-06	172877036.0	1.0	5.941813207088846	4.861444387636156		
16427	Olfml1	chr1	171793781-171818074	118.0	1.14E-06	171794785.0	1.0	5.941573975542995	4.861444387636156	OLFML1	
779	Arhgap17	chr1	"193239035-193328371	193239035-193328371	193239035-193328371	193239035-193328371	193239035-193328424	193239035-193328424	193239035-193328425	193239035-193328425	193239784-193328424	193239784-193328425"	101.0	1.17E-06	193235814.0	1.0	5.929969525701659	4.861444387636156	ARHGAP17	
1544	Capn3	chr3	"112227485-112278406	112227486-112278406	112228617-112278408	112242242-112278406	112242245-112278406	112242246-112278406"	137.0	1.18E-06	112223305.0	1.0	5.928331511952487	4.861444387636156	CAPN3	
13907	LOC687119	chr1	173047639-173048604	61.0	1.25E-06	173051067.0	1.0	5.903156004770671	4.861444387636156		
5235	Gypc	chr18	"25312385-25344614	25313781-25321293"	98.0	1.31E-06	25302488.0	1.0	5.882861333596115	4.861444387636156	GYPC	
1253	Bin1	chr18	"25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163574-25222139	25163647-25222136"	48.0	1.41E-06	25230320.0	1.0	5.851965260280877	4.861444387636156	BIN1	
10047	LOC103691223	chr1	"194071951-194078064	194072467-194078064"	89.0	1.42E-06	194068003.0	1.0	5.848427914307558	4.861444387636156		
40	Abca8a	chr10	"98319479-98390384	98319494-98390484"	249.0	1.43E-06	98332790.0	1.0	5.8446001897061155	4.861444387636156		
16909	Olr255	chr1	172485302-172486268	4.0	1.43E-06	172494822.0	1.0	5.843747748312338	4.861444387636156		
17973	Pla2g4d	chr3	112040826-112061847	63.0	1.45E-06	112044752.0	1.0	5.838389459619139	4.861444387636156	PLA2G4D	
11601	LOC108349440	chr1	171518754-171566736	25.0	1.47E-06	171558882.0	1.0	5.832570413159209	4.861444387636156		
6649	LOC100363500	chr18	25362877-25364589	10.0	1.49E-06	25369166.0	1.0	5.826965323901071	4.861444387636156		
13661	LOC498836	chr18	25369939-25370669	6.0	1.49E-06	25369166.0	1.0	5.826965323901071	4.861444387636156		
23559	Zfp106	chr3	112279781-112330288	59.0	1.54E-06	112317168.0	1.0	5.811119305316215	4.861444387636156	ZNF106	
6984	LOC100912217	chr1	173012287-173015511	44.0	1.58E-06	173018432.0	1.0	5.800675492233906	4.861444387636156		
20566	Slc17a6	chr1	"106980462-107038704	106980479-107038717	106998703-107038704	107001328-107037073"	272.0	1.59E-06	107016203.0	1.0	5.799086604869973	4.861444387636156	SLC17A6	
39	Abca8	chr10	98236918-98308288	336.0	1.70E-06	98285760.0	1.0	5.769336539053727	4.861444387636156	ABCA8	
16892	Olr227	chr1	171095324-171096278	55.0	1.71E-06	171103318.0	1.0	5.766460726375238	4.861444387636156	OR10A5	
22202	Tmem87a	chr3	"112128137-112174097	112128137-112174097	112158417-112174097"	103.0	1.74E-06	112139055.0	1.0	5.758226968424783	4.861444387636156	TMEM87A	
8242	LOC102550756	chr1	107164234-107183111	211.0	1.81E-06	107154500.0	1.0	5.74119994720463	4.861444387636156		
7011	LOC100912427	chr1	186635407-186641503	52.0	1.82E-06	186626013.0	1.0	5.739888047941282	4.861444387636156		
2865	Cyb5r2	chr1	"171971423-171979985	171971423-171979985	171971423-171979985	171971423-171981586	171971423-171981586	171971698-171979933"	54.0	1.85E-06	171975637.0	1.0	5.733817711234879	4.861444387636156	CYB5R2	
11575	LOC108349098	chr1	194387355-194390428	40.0	1.93E-06	194399515.0	1.0	5.7140670649910446	4.861444387636156		
17974	Pla2g4e	chr3	"111952395-111992925	111952395-111993575	111952395-111994135	111952395-111994373	111952395-111994373	111952395-111994375	111952395-112018470"	263.0	2.10E-06	112025481.0	1.0	5.6782980304992625	4.861444387636156	PLA2G4E	
5348	Helz	chr10	"95767753-95906992	95768687-95899380	95768687-95911025	95768687-95911025	95768687-95911025	95768687-95911025	95768687-95911025	95770153-95906927"	220.0	2.22E-06	95764616.0	1.0	5.652945287752107	4.861444387636156	HELZ	
4689	Gas2	chr1	"107234388-107363624	107234388-107363624	107234388-107363624	107262215-107363624	107262789-107363624	107263129-107363608"	224.0	2.24E-06	107304841.0	1.0	5.6503883789189775	4.861444387636156	GAS2	
16887	Olr220	chr1	170962222-170962831	38.0	2.30E-06	170966565.0	1.0	5.637364870427315	4.861444387636156		
5564	Hsp90ab1	chr9	17817790-17823163	13.0	2.32E-06	17811368.0	1.0	5.634220087646231	4.861444387636156	HSP90AB1	
11712	LOC108349632	chr1	193844387-193845415	52.0	2.35E-06	193837254.0	1.0	5.628319014266794	4.861444387636156		
2442	Cnpy3	chr9	16543714-16558441	65.0	2.38E-06	16553392.0	1.0	5.623550795402683	4.861444387636156	CNPY3	
16923	Olr278	chr1	172942908-172943853	13.0	2.38E-06	172951251.0	1.0	5.623324516716953	4.861444387636156	OR5P2	
6268	Klhdc3	chr9	"16612428-16618761	16612432-16618761"	26.0	2.41E-06	16628162.0	1.0	5.617858633648012	4.861444387636156	KLHDC3	
13778	LOC680835	chr9	16629490-16643527	42.0	2.41E-06	16628162.0	1.0	5.617858633648012	4.861444387636156		
19934	Rrp36	chr9	"16618852-16626676	16618852-16626676	16619042-16627128"	18.0	2.41E-06	16628162.0	1.0	5.617858633648012	4.861444387636156	RRP36	
23181	Vps18	chr3	111097351-111108206	79.0	2.52E-06	111108968.0	1.0	5.598058651368825	4.861444387636156	VPS18	
1691	Ccdc179	chr1	"107381354-107385237	107381356-107385257"	48.0	2.88E-06	107386515.0	1.0	5.540978630631781	4.861444387636156	CCDC179	
14768	Mea1	chr9	"16610311-16612034	16610311-16612136	16610311-16612146	16610311-16612181	16610311-16612456	16610311-16614153"	24.0	2.91E-06	16619050.0	1.0	5.535984649739387	4.861444387636156	MEA1	
18305	Ppp2r5d	chr9	"16580994-16610425	16581002-16610425	16581002-16610425"	74.0	2.91E-06	16619050.0	1.0	5.535984649739387	4.861444387636156	PPP2R5D	
10038	LOC103691201	chr1	170736460-170794532	119.0	2.93E-06	170784653.0	1.0	5.53288491712944	4.861444387636156		
21470	Svip	chr1	107368116-107373807	48.0	3.16E-06	107377447.0	1.0	5.500057363554195	4.861444387636156	SVIP	
16883	Olr215	chr1	170887362-170888310	73.0	3.23E-06	170896540.0	1.0	5.4902250703830715	4.861444387636156		
16926	Olr282	chr1	173455507-173456488	9.0	3.25E-06	173459732.0	1.0	5.487905556393544	4.861444387636156	OR10A3	
16878	Olr209	chr1	170762426-170763377	25.0	3.27E-06	170767264.0	1.0	5.485888088562895	4.861444387636156		
18628	Ptk7	chr9	"16662587-16729867	16662633-16729888"	112.0	3.40E-06	16672807.0	1.0	5.4685389660398895	4.861444387636156	PTK7	
23411	Xylt1	chr1	186939697-187264758	627.0	3.46E-06	187239370.0	1.0	5.460846086624281	4.861444387636156	XYLT1	
18595	Ptcra	chr9	"16528969-16539383	16529842-16539383"	67.0	3.48E-06	16534358.0	1.0	5.458203663081189	4.861444387636156	PTCRA	
13797	LOC681367	chr9	16518373-16519474	48.0	3.48E-06	16526788.0	1.0	5.458161255286626	4.861444387636156	C6orf226	
21052	Sox6	chr1	"185631701-186186139	185673176-186182830	185817878-186186192	185836252-186186192	185851619-186186192	185851620-186186192	185851620-186186192	185851620-186186192	185863325-186186192"	433.0	3.49E-06	186023522.0	1.0	5.456616197986274	4.861444387636156	SOX6	
1939	Cdc5l	chr9	17949763-17988514	167.0	3.53E-06	17988085.0	1.0	5.452263435462406	4.861444387636156	CDC5L	
12851	LOC108351893	chr9	17988340-17993346	67.0	3.53E-06	17988085.0	1.0	5.452263435462406	4.861444387636156		
16927	Olr283	chr1	173442161-173443106	5.0	3.55E-06	173453101.0	1.0	5.449967429426257	4.861444387636156		
1539	Capn11	chr9	17728844-17750357	88.0	3.55E-06	17742768.0	1.0	5.449308239033753	4.861444387636156	CAPN11	
15443	Mrpl17	chr1	"170652292-170653982	170652292-170653982	170652292-170653982"	12.0	3.58E-06	170659621.0	1.0	5.446590345345649	4.861444387636156	MRPL17	
13928	LOC688542	chr1	282714616-282733287	11.0	3.67E-06	282736277.0	1.0	5.4349920782183805	4.861444387636156		
6250	Klc4	chr9	"16647576-16661463	16647719-16661463	16647921-16661456"	79.0	3.74E-06	16661218.0	1.0	5.427695440836359	4.861444387636156	KLC4	
16882	Olr214	chr1	170863881-170864832	89.0	3.78E-06	170860763.0	1.0	5.422604720772552	4.861444387636156		
19646	Rhov	chr3	111078641-111087347	85.0	3.85E-06	111093984.0	1.0	5.414170558751907	4.861444387636156	RHOV	
10989	LOC103693990	chr16	72348595-72354309	30.0	3.95E-06	72362856.0	1.0	5.40377248676485	4.861444387636156		
15446	Mrpl2	chr9	16643620-16647394	44.0	3.98E-06	16646942.0	1.0	5.4000470972420915	4.861444387636156	MRPL2	
4208	Fancf	chr1	107229515-107232321	60.0	4.01E-06	107227915.0	1.0	5.396335002789797	4.861444387636156	FANCF	
3015	Dchs1	chr1	"170594980-170629062	170594981-170614859"	39.0	4.13E-06	170596114.0	1.0	5.383527636989722	4.861444387636156	DCHS1	
21560	Taf10	chr1	170585159-170586428	10.0	4.13E-06	170596114.0	1.0	5.383527636989722	4.861444387636156	TAF10	
22373	Tpp1	chr1	170588035-170594159	12.0	4.13E-06	170596114.0	1.0	5.383527636989722	4.861444387636156	TPP1	
19857	Rpl7l1	chr9	16508476-16516502	65.0	4.16E-06	16521954.0	1.0	5.380762624421453	4.861444387636156	RPL7L1	
18460	Prph2	chr9	16085932-16386176	35.0	4.21E-06	16385217.0	1.0	5.375834488163727	4.861444387636156	PRPH2	
4890	Gltscr1l	chr9	"16406576-16495751	16406596-16495751	16455051-16495751	16463772-16495751	16464422-16494054"	171.0	4.21E-06	16396807.0	1.0	5.375216846243803	4.861444387636156		
21670	Tbcc	chr9	16405186-16406338	27.0	4.21E-06	16396807.0	1.0	5.375216846243803	4.861444387636156	TBCC	
4948	Gnmt	chr9	16565273-16568626	47.0	4.29E-06	16578510.0	1.0	5.367202694222993	4.861444387636156	GNMT	
17767	Pex6	chr9	16568742-16580900	51.0	4.29E-06	16578510.0	1.0	5.367202694222993	4.861444387636156	PEX6	
