ID	Pop.total	Pop.term	Study.total	Study.term	marg	name
MP:0002795	18820	83	9	2	0.015656138424631046	"dilated cardiomyopathy"
MP:0010503	18820	62	9	1	0.015254097198058366	"myocardial trabeculae hypoplasia"
MP:0009399	18820	38	9	3	0.0148326681966002	"increased skeletal muscle fiber size"
MP:0006065	18820	61	9	1	0.014583688350702399	"abnormal heart position or orientation"
MP:0002253	18820	19	9	1	0.014156136894017238	"abnormal pharyngeal muscle morphology"
MP:0004564	18820	63	9	3	0.013770422214716546	"enlarged myocardial fiber"
MP:0000737	18820	20	9	1	0.01360205469597418	"abnormal myotome development"
MP:0008416	18820	1	9	1	0.012074502116838895	"increased somatotroph cell size"
MP:0004232	18820	35	9	2	0.011900012142869534	"decreased muscle weight"
MP:0010237	18820	29	9	2	0.011522460737204834	"abnormal skeletal muscle weight"
MP:0003222	18820	53	9	1	0.011381644266983945	"increased cardiomyocyte apoptosis"
MP:0003852	18820	38	9	2	0.011303072758237508	"skeletal muscle necrosis"
MP:0009403	18820	46	9	3	0.011272460482102533	"increased variability of skeletal muscle fiber size"
MP:0009419	18820	32	9	2	0.011134705239495142	"skeletal muscle fibrosis"
MP:0010509	18820	3	9	1	0.010827562068940887	"decreased P wave amplitude"
MP:0004510	18820	23	9	2	0.0099316427873906	"myositis"
MP:0011639	18820	23	9	1	0.009651030256153322	"decreased mitochondrial DNA content"
MP:0013239	18820	36	9	2	0.00950409133070544	"impaired skeletal muscle regeneration"
MP:0013467	18820	2	9	1	0.00949286682945595	"diaphragmitis"
MP:0009123	18820	29	9	1	0.0093030707174191	"abnormal brown fat cell lipid droplet size"
MP:0002823	18820	23	9	1	0.009260213530830133	"abnormal rib development"
MP:0002899	18820	78	9	2	0.009071437827997783	"fatigue"
MP:0006320	18820	27	9	1	0.009010213275727832	"abnormal interscapular fat pad morphology"
MP:0010502	18820	71	9	1	0.008627559824040636	"ventricle myocardium hypoplasia"
MP:0004067	18820	77	9	1	0.008562253634952688	"abnormal trabecula carnea morphology"
MP:0020309	18820	3	9	1	0.008286743149737907	"increased creatine kinase activity"
MP:0000752	18820	37	9	2	0.008064293943157086	"dystrophic muscle"
MP:0010578	18820	143	9	4	0.007989804071228644	"abnormal heart left ventricle size"
MP:0011168	18820	27	9	1	0.007962253022707167	"abnormal fat cell differentiation"
MP:0000153	18820	32	9	1	0.007712252767604865	"rib bifurcation"
MP:0011698	18820	26	9	1	0.007709191539991367	"abnormal brown adipose tissue physiology"
MP:0009402	18820	42	9	2	0.007700007857150875	"decreased skeletal muscle fiber diameter"
MP:0002952	18820	6	9	1	0.007624497576017935	"ventricular cardiomyopathy"
MP:0010563	18820	97	9	2	0.007578579161815471	"increased heart right ventricle size"
MP:0030427	18820	4	9	1	0.007548987294884995	"abnormal neck muscle morphology"
MP:0004672	18820	28	9	1	0.0074877627426150435	"short ribs"
MP:0014143	18820	36	9	2	0.0074714361953430565	"decreased body fat mass"
MP:0009405	18820	8	9	1	0.007442864737617079	"increased skeletal muscle fiber number"
MP:0006190	18820	3	9	1	0.007396946323414616	"retinal ischemia"
MP:0010500	18820	88	9	1	0.007351027909212152	"myocardium hypoplasia"
MP:0002234	18820	35	9	1	0.007218374712627258	"abnormal pharynx morphology"
MP:0004248	18820	5	9	1	0.007212252257400262	"abnormal epaxial muscle morphology"
MP:0003221	18820	61	9	1	0.0071602113879708044	"abnormal cardiomyocyte apoptosis"
MP:0010581	18820	3	9	1	0.007079599060815368	"abnormal atrium myocardial trabeculae morphology"
MP:0010226	18820	9	9	1	0.00706531333195238	"increased quadriceps weight"
MP:0004089	18820	8	9	1	0.007012252053318422	"dilated sarcoplasmic reticulum"
MP:0010499	18820	105	9	1	0.0069714356851384544	"abnormal ventricle myocardium morphology"
MP:0002753	18820	112	9	3	0.006559190366520782	"dilated heart left ventricle"
MP:0020039	18820	35	9	1	0.006501027041864328	"increased bone ossification"
MP:0002837	18820	15	9	1	0.006500006632659829	"dystrophic cardiac calcinosis"
MP:0031318	18820	12	9	1	0.006485720903796841	"enhanced skeletal muscle regeneration"
MP:0013160	18820	37	9	2	0.006476537220956348	"impaired muscle regeneration"
MP:0020938	18820	7	9	1	0.006434700443571881	"decreased susceptibility to Picornaviridae infection"
MP:0009417	18820	53	9	3	0.0062898023365329965	"skeletal muscle atrophy"
MP:0010252	18820	6	9	1	0.006287761518123998	"anterior subcapsular cataract"
MP:0030428	18820	1	9	1	0.006252047195966526	"abnormal scalene muscle morphology"
MP:0020330	18820	2	9	1	0.006224496147445049	"increased capillary density"
MP:0011638	18820	34	9	1	0.006178577733242585	"abnormal mitochondrial chromosome morphology"
MP:0011631	18820	11	9	1	0.0061377613650626175	"decreased mitochondrial size"
MP:0008327	18820	7	9	1	0.006128577682222125	"abnormal corticotroph morphology"
MP:0009400	18820	91	9	4	0.006120414408586131	"decreased skeletal muscle fiber size"
MP:0010251	18820	10	9	1	0.006093883769269152	"subcapsular cataract"
MP:0010493	18820	11	9	1	0.006093883769269152	"abnormal atrium myocardium morphology"
MP:0020328	18820	9	9	1	0.005997965304046228	"abnormal capillary density"
MP:0010238	18820	7	9	1	0.005968373437115752	"increased skeletal muscle weight"
MP:0004122	18820	62	9	1	0.005950006071434767	"abnormal sinus arrhythmia"
MP:0004233	18820	43	9	2	0.005853067197007344	"abnormal muscle weight"
MP:0002332	18820	81	9	2	0.005834699831326359	"abnormal exercise endurance"
MP:0020307	18820	4	9	1	0.005696944588718968	"abnormal creatine kinase activity"
MP:0030957	18820	10	9	1	0.005692862951900971	"abnormal myotube morphology"
MP:0010106	18820	2	9	1	0.005679597632242482	"abnormal circulating pyruvate kinase level"
MP:0002280	18820	13	9	1	0.005610209806336537	"abnormal intercostal muscle morphology"
MP:0000730	18820	10	9	1	0.005540821980430592	"increased satellite cell number"
MP:0008837	18820	9	9	1	0.005526536251567604	"increased transforming growth factor beta level"
MP:0031131	18820	16	9	1	0.005441842287594171	"myocardial fiber disarray"
MP:0001780	18820	41	9	1	0.005427556558731182	"decreased brown adipose tissue amount"
MP:0030021	18820	38	9	1	0.0054061279654366995	"increased muscle cell glucose uptake"
MP:0003141	18820	169	9	4	0.005386740190551215	"cardiac fibrosis"
MP:0008838	18820	8	9	1	0.005369393234074728	"decreased transforming growth factor beta level"
MP:0013161	18820	13	9	1	0.005368372824870229	"enhanced muscle regeneration"
MP:0012719	18820	10	9	1	0.005354087096007241	"abnormal neck morphology"
MP:0003950	18820	14	9	1	0.005325515638281263	"abnormal plasma membrane morphology"
MP:0009413	18820	29	9	2	0.005236740037489834	"skeletal muscle fiber atrophy"
MP:0004565	18820	14	9	1	0.005060209245111475	"small myocardial fiber"
MP:0004321	18820	36	9	1	0.00504082147022599	"short sternum"
MP:0009412	18820	22	9	2	0.005014290830909011	"skeletal muscle fiber degeneration"
MP:0009420	18820	10	9	1	0.004997964283637024	"skeletal muscle endomysial fibrosis"
MP:0009461	18820	10	9	1	0.004981637736365037	"skeletal muscle hypertrophy"
MP:0000348	18820	17	9	1	0.004969392825911047	"abnormal aerobic fitness"
MP:0003061	18820	13	9	1	0.004958168324661556	"decreased aerobic running capacity"
MP:0009416	18820	4	9	1	0.004942862186594068	"cardiac muscle degeneration"
MP:0000727	18820	12	9	1	0.00486531108705213	"absent CD8-positive, alpha-beta T cells"
MP:0003397	18820	11	9	1	0.004860209041029634	"increased muscle weight"
MP:0011636	18820	17	9	1	0.004780617123078697	"disorganized mitochondrial cristae"
MP:0001856	18820	14	9	1	0.004760208938988713	"myocarditis"
MP:0004071	18820	15	9	1	0.004685719067060273	"prolonged P wave"
MP:0008836	18820	15	9	1	0.004647963926493802	"abnormal transforming growth factor beta level"
MP:0011633	18820	22	9	1	0.0044428616763894655	"abnormal mitochondrial shape"
MP:0004597	18820	12	9	1	0.004440820857980468	"increased susceptibility to noise-induced hearing loss"
MP:0011628	18820	13	9	1	0.004388779988551009	"increased mitochondrial number"
MP:0010227	18820	14	9	1	0.004340820755939547	"decreased quadriceps weight"
MP:0003851	18820	10	9	1	0.0043336778915080525	"skeletal muscle interstitial fibrosis"
MP:0004121	18820	19	9	1	0.004220412469808642	"abnormal sarcolemma morphology"
MP:0010520	18820	21	9	1	0.004186738966060169	"sinoatrial block"
MP:0008277	18820	43	9	1	0.004169392009583683	"abnormal sternum ossification"
MP:0004070	18820	25	9	1	0.0041683716003791844	"abnormal P wave"
MP:0010224	18820	96	9	1	0.004105106229700234	"abnormal heart ventricle outflow tract morphology"
MP:0008322	18820	21	9	1	0.004044902086634782	"abnormal somatotroph morphology"
MP:0003398	18820	18	9	1	0.0039765346699333366	"increased skeletal muscle size"
MP:0030927	18820	17	9	1	0.003793881422327982	"decreased telomere length"
MP:0003199	18820	10	9	1	0.0037857181486919884	"calcified muscle"
MP:0003790	18820	13	9	1	0.0037551058725570127	"absent CD4-positive, alpha beta T cells"
MP:0013237	18820	51	9	2	0.003728575233240034	"abnormal skeletal muscle regeneration"
MP:0020164	18820	21	9	1	0.003723473187217538	"abnormal quadriceps weight"
MP:0011952	18820	24	9	1	0.0035469423948391783	"decreased cardiac stroke volume"
MP:0020279	18820	55	9	2	0.003484697433364728	"abnormal creatine kinase level"
MP:0005137	18820	19	9	1	0.0034785749781377326	"increased growth hormone level"
MP:0010089	18820	54	9	2	0.0034551055664342515	"abnormal circulating creatine kinase level"
MP:0010724	18820	33	9	1	0.0034377586099577652	"thick interventricular septum"
MP:0005330	18820	127	9	3	0.003434697382344268	"cardiomyopathy"
MP:0009414	18820	22	9	1	0.0033897993773463033	"skeletal muscle fiber necrosis"
MP:0001636	18820	68	9	1	0.0033071462317818693	"irregular heartbeat"
MP:0003646	18820	16	9	1	0.003258166589965908	"muscle fatigue"
MP:0006085	18820	23	9	1	0.0032377584058759243	"myocardium necrosis"
MP:0003686	18820	45	9	1	0.003219391040194939	"abnormal eye muscle morphology"
MP:0004818	18820	28	9	1	0.003156125669515989	"increased skeletal muscle mass"
MP:0000480	18820	48	9	1	0.003125513393381014	"increased rib number"
MP:0000280	18820	117	9	1	0.0030704112963380573	"thin ventricular wall"
MP:0010090	18820	53	9	2	0.0029887785599781226	"increased circulating creatine kinase level"
MP:0004620	18820	44	9	1	0.0029836765139556265	"cervical vertebral fusion"
MP:0005547	18820	25	9	1	0.002960207102252145	"abnormal Muller cell morphology"
MP:0000729	18820	61	9	2	0.002920411143276677	"abnormal myogenesis"
MP:0003927	18820	58	9	1	0.002889798867141701	"increased cellular glucose import"
MP:0010225	18820	26	9	1	0.002868370273847218	"abnormal quadriceps morphology"
MP:0009415	18820	31	9	2	0.002726533394421831	"skeletal muscle degeneration"
MP:0010632	18820	30	9	1	0.002687757844650862	"cardiac muscle necrosis"
MP:0020280	18820	54	9	2	0.002613267972722421	"increased creatine kinase level"
MP:0000278	18820	203	9	4	0.002612247563517922	"abnormal myocardial fiber morphology"
MP:0000750	18820	65	9	2	0.002603063880677429	"abnormal muscle regeneration"
MP:0008663	18820	27	9	1	0.0025724516045424538	"increased interleukin-12 secretion"
MP:0010577	18820	117	9	2	0.0025591862848839643	"abnormal heart right ventricle size"
MP:0003157	18820	24	9	1	0.0024959209142050146	"impaired muscle relaxation"
MP:0002740	18820	103	9	1	0.002422451451481073	"heart hypoplasia"
MP:0003155	18820	23	9	1	0.0023714309912561135	"abnormal telomere length"
MP:0004566	18820	33	9	1	0.00232551257705365	"myocardial fiber degeneration"
MP:0002190	18820	44	9	1	0.0023214309402356534	"disorganized myocardium"
MP:0004130	18820	64	9	1	0.0022642880247836987	"abnormal muscle cell glucose uptake"
MP:0020936	18820	25	9	1	0.0022193900197857346	"abnormal susceptibility to Picornaviridae infection"
MP:0003383	18820	56	9	1	0.002206124700127245	"abnormal gluconeogenesis"
MP:0010254	18820	20	9	1	0.002189798152855258	"nuclear cataract"
MP:0009404	18820	86	9	3	0.0019765326291149277	"centrally nucleated skeletal muscle fibers"
MP:0004145	18820	30	9	1	0.0019428591253664545	"abnormal muscle electrophysiology"
MP:0005140	18820	231	9	4	0.0019397978977529569	"decreased cardiac muscle contractility"
MP:0000748	18820	34	9	1	0.0019346958517304608	"progressive muscle weakness"
MP:0010240	18820	80	9	3	0.0019122468492314788	"decreased skeletal muscle size"
MP:0001625	18820	198	9	3	0.001875512117869508	"cardiac hypertrophy"
MP:0009458	18820	93	9	3	0.0018500018877570283	"abnormal skeletal muscle size"
MP:0002841	18820	41	9	2	0.001831634522076043	"impaired skeletal muscle contractility"
MP:0009116	18820	55	9	1	0.0018020426551455665	"abnormal brown fat cell morphology"
MP:0006334	18820	33	9	1	0.00177245078821509	"abnormal susceptibility to hearing loss"
MP:0008805	18820	33	9	1	0.0016642874125381761	"decreased circulating amylase level"
MP:0004322	18820	60	9	1	0.001658164957311181	"abnormal sternebra morphology"
MP:0004484	18820	99	9	2	0.0015724505841332491	"abnormal response of heart to induced stress"
MP:0000761	18820	27	9	1	0.0015683689473152524	"thin diaphragm muscle"
MP:0004613	18820	55	9	1	0.0015071443950453011	"fusion of vertebral arches"
MP:0001853	18820	43	9	1	0.001452042298002345	"heart inflammation"
MP:0004701	18820	57	9	1	0.0014071442930043807	"decreased circulating insulin-like growth factor I level"
MP:0004700	18820	68	9	1	0.0013153074645994537	"abnormal circulating insulin-like growth factor I level"
MP:0004485	18820	52	9	2	0.0012448992294890097	"increased response of heart to induced stress"
MP:0003084	18820	209	9	4	0.0012397971834665138	"abnormal skeletal muscle fiber morphology"
MP:0012320	18820	66	9	2	0.0011673481299470715	"abnormal body fat mass"
MP:0001778	18820	72	9	1	0.001137756263016595	"abnormal brown adipose tissue amount"
MP:0002189	18820	147	9	2	0.0011244909433581055	"abnormal myocardial trabeculae morphology"
MP:0000751	18820	53	9	1	0.00110612357767712	"myopathy"
MP:0011049	18820	65	9	1	0.0010908174396096323	"impaired adaptive thermogenesis"
MP:0000304	18820	44	9	1	0.0010438786162026697	"abnormal cardiac stroke volume"
MP:0008022	18820	154	9	3	9.602050614337361E-4	"dilated heart ventricle"
MP:0011966	18820	40	9	1	9.530621970022418E-4	"abnormal auditory brainstem response waveform shape"
MP:0003968	18820	55	9	1	9.489805601842451E-4	"abnormal growth hormone level"
MP:0000749	18820	59	9	2	9.367356497302548E-4	"muscle degeneration"
MP:0004036	18820	57	9	1	9.061233735952792E-4	"abnormal muscle relaxation"
MP:0030567	18820	50	9	1	9.030621459817816E-4	"abnormal I band morphology"
MP:0008148	18820	71	9	1	8.39796775302832E-4	"abnormal sternocostal joint morphology"
MP:0003140	18820	58	9	1	7.989804071228644E-4	"dilated heart atrium"
MP:0008687	18820	46	9	1	7.724497678058855E-4	"increased interleukin-2 secretion"
MP:0004091	18820	49	9	1	7.561232205338985E-4	"abnormal Z line morphology"
MP:0010207	18820	30	9	1	7.540824021249001E-4	"abnormal telomere morphology"
MP:0010560	18820	57	9	1	6.897966222414513E-4	"intraventricular block"
MP:0010392	18820	55	9	1	6.836741670144561E-4	"prolonged QRS complex duration"
MP:0011634	18820	63	9	1	6.744904841739634E-4	"abnormal mitochondrial inner membrane morphology"
MP:0008831	18820	71	9	1	6.622455737199732E-4	"abnormal insulin-like growth factor I level"
MP:0008662	18820	56	9	1	6.367353436074935E-4	"abnormal interleukin-12 secretion"
MP:0006142	18820	45	9	1	6.346945251984951E-4	"abnormal sinoatrial node conduction"
MP:0008699	18820	53	9	1	5.846944741780349E-4	"increased interleukin-4 secretion"
MP:0011635	18820	61	9	1	5.74490382133043E-4	"abnormal mitochondrial crista morphology"
MP:0010636	18820	57	9	1	5.683679269060479E-4	"bundle branch block"
MP:0000939	18820	75	9	1	5.642862900880511E-4	"decreased motor neuron number"
MP:0000733	18820	96	9	2	4.7449028009212256E-4	"abnormal muscle development"
MP:0009431	18820	76	9	1	4.7040864327412577E-4	"decreased fetal weight"
MP:0002269	18820	104	9	3	4.5000045918414203E-4	"muscular atrophy"
MP:0000755	18820	86	9	1	4.5000045918414203E-4	"hindlimb paralysis"
MP:0020914	18820	52	9	1	4.2857186588965906E-4	"decreased susceptibility to Riboviria infection"
MP:0003898	18820	78	9	1	3.7755140566469964E-4	"abnormal QRS complex"
MP:0003702	18820	70	9	1	3.744901780512021E-4	"abnormal chromosome morphology"
MP:0004819	18820	130	9	3	3.3571462828023294E-4	"decreased skeletal muscle mass"
MP:0004090	18820	82	9	1	2.857145772597727E-4	"abnormal sarcomere morphology"
MP:0004142	18820	79	9	1	2.714288483967841E-4	"abnormal muscle tone"
MP:0003925	18820	95	9	1	2.683676207832865E-4	"abnormal cellular glucose uptake"
MP:0004625	18820	100	9	1	2.0918388692233358E-4	"abnormal rib joint morphology"
MP:0000154	18820	85	9	1	2.0102061328634008E-4	"rib fusion"
MP:0002971	18820	141	9	1	1.89796112036849E-4	"abnormal brown adipose tissue morphology"
MP:0003048	18820	119	9	1	1.8469406601435309E-4	"abnormal cervical vertebrae morphology"
MP:0002626	18820	103	9	1	1.816328384008555E-4	"increased heart rate"
MP:0000747	18820	89	9	2	1.7755120158285877E-4	"muscle weakness"
MP:0001407	18820	67	9	1	1.653062911288685E-4	"short stride length"
MP:0009398	18820	138	9	4	1.5714301749287498E-4	"abnormal skeletal muscle fiber size"
MP:0005568	18820	79	9	1	1.5714301749287498E-4	"increased circulating total protein level"
MP:0001051	18820	100	9	1	1.4693892544788312E-4	"abnormal somatic motor system morphology"
MP:0003658	18820	95	9	1	1.377552426073904E-4	"abnormal capillary morphology"
MP:0005666	18820	121	9	1	1.3469401499389285E-4	"abnormal adipose tissue physiology"
MP:0003047	18820	108	9	1	1.3469401499389285E-4	"abnormal thoracic vertebrae morphology"
MP:0002410	18820	75	9	1	1.2040828613090421E-4	"decreased susceptibility to viral infection"
MP:0008866	18820	103	9	1	1.1632664931290746E-4	"chromosomal instability"
MP:0002279	18820	84	9	1	1.0612255726791558E-4	"abnormal diaphragm morphology"
MP:0004198	18820	225	9	1	1.040817388589172E-4	"abnormal fetal size"
MP:0001053	18820	97	9	1	9.59184652229237E-5	"abnormal neuromuscular synapse morphology"
MP:0008705	18820	89	9	1	9.285723760942614E-5	"increased interleukin-6 secretion"
MP:0000746	18820	98	9	1	9.183682840492694E-5	"weakness"
MP:0010559	18820	100	9	1	8.6734782382431E-5	"heart block"
MP:0005505	18820	97	9	1	7.959191795093669E-5	"thrombocytosis"
MP:0008686	18820	110	9	1	7.857150874643749E-5	"abnormal interleukin-2 secretion"
MP:0011019	18820	95	9	1	7.040823511044399E-5	"abnormal adaptive thermogenesis"
MP:0013147	18820	90	9	1	6.12245522699513E-5	"limb paralysis"
MP:0004163	18820	91	9	1	5.918373386095292E-5	"abnormal adenohypophysis morphology"
MP:0003674	18820	137	9	1	5.5102097042956165E-5	"oxidative stress"
MP:0008566	18820	113	9	1	5.1020460224959416E-5	"increased interferon-gamma secretion"
MP:0030804	18820	132	9	1	4.183677738446672E-5	"abnormal synovial joint morphology"
MP:0003920	18820	179	9	2	3.571432215747159E-5	"abnormal heart right ventricle morphology"
MP:0012690	18820	75	9	1	3.3673503748473214E-5	"abnormal stride length"
MP:0008272	18820	118	9	1	2.7551048521478083E-5	"abnormal endochondral bone ossification"
MP:0004817	18820	150	9	3	1.5306138067487824E-5	"abnormal skeletal muscle mass"
MP:0003973	18820	119	9	1	1.1224501249491071E-5	"increased pituitary hormone level"
MP:0003358	18820	143	9	1	1.0204092044991882E-5	"abnormal hypaxial muscle morphology"
MP:0005562	18820	128	9	1	8.163273635993506E-6	"decreased mean corpuscular hemoglobin"
MP:0010094	18820	105	9	1	6.122455226995129E-6	"abnormal chromosome stability"
MP:0000001	18820	11228	9	8	0.0	"mammalian phenotype"
MP:0000003	18820	1124	9	2	0.0	"abnormal adipose tissue morphology"
MP:0002058	18820	872	9	2	0.0	"neonatal lethality"
MP:0002066	18820	3274	9	3	0.0	"abnormal motor capabilities/coordination/movement"
MP:0003091	18820	507	9	1	0.0	"abnormal cell migration"
MP:0002078	18820	1475	9	1	0.0	"abnormal glucose homeostasis"
MP:0002080	18820	2568	9	1	0.0	"prenatal lethality"
MP:0003105	18820	234	9	4	0.0	"abnormal heart atrium morphology"
MP:0012321	18820	2033	9	4	0.0	"abnormal total tissue mass"
MP:0002081	18820	1210	9	2	0.0	"perinatal lethality"
MP:0002082	18820	1205	9	3	0.0	"postnatal lethality"
MP:0012322	18820	1819	9	4	0.0	"decreased total tissue mass"
MP:0009250	18820	811	9	1	0.0	"abnormal appendicular skeleton morphology"
MP:0002083	18820	1259	9	2	0.0	"premature death"
MP:0012323	18820	330	9	1	0.0	"increased total tissue mass"
MP:0002085	18820	1028	9	1	0.0	"abnormal embryonic tissue morphology"
MP:0003111	18820	174	9	1	0.0	"abnormal cell nucleus morphology"
MP:0002089	18820	3246	9	4	0.0	"abnormal postnatal growth/weight/body size"
MP:0005164	18820	552	9	3	0.0	"abnormal response to injury"
MP:0002092	18820	2127	9	2	0.0	"abnormal eye morphology"
MP:0005165	18820	188	9	3	0.0	"increased susceptibility to injury"
MP:0008246	18820	2036	9	1	0.0	"abnormal leukocyte morphology"
MP:0008247	18820	1659	9	1	0.0	"abnormal mononuclear cell morphology"
MP:0002106	18820	942	9	7	0.0	"abnormal muscle physiology"
MP:0002108	18820	1049	9	8	0.0	"abnormal muscle morphology"
MP:0002109	18820	906	9	1	0.0	"abnormal limb morphology"
MP:0003137	18820	287	9	1	0.0	"abnormal impulse conducting system conduction"
MP:0002113	18820	450	9	1	0.0	"abnormal skeleton development"
MP:0002114	18820	1274	9	2	0.0	"abnormal axial skeleton morphology"
MP:0002118	18820	1338	9	1	0.0	"abnormal lipid homeostasis"
MP:0005193	18820	875	9	1	0.0	"abnormal anterior eye segment morphology"
MP:0005195	18820	1048	9	1	0.0	"abnormal posterior eye segment morphology"
MP:0004174	18820	309	9	1	0.0	"abnormal spine curvature"
MP:0002127	18820	2428	9	5	0.0	"abnormal cardiovascular system morphology"
MP:0008271	18820	394	9	1	0.0	"abnormal bone ossification"
MP:0002128	18820	759	9	2	0.0	"abnormal blood circulation"
MP:0002132	18820	881	9	1	0.0	"abnormal respiratory system morphology"
MP:0002133	18820	871	9	2	0.0	"abnormal respiratory system physiology"
MP:0004196	18820	1275	9	1	0.0	"abnormal prenatal growth/weight/body size"
MP:0004197	18820	297	9	1	0.0	"abnormal fetal growth/weight/body size"
MP:0002152	18820	1721	9	1	0.0	"abnormal brain morphology"
MP:0004200	18820	217	9	1	0.0	"decreased fetal size"
MP:0002161	18820	1517	9	1	0.0	"abnormal fertility/fecundity"
MP:0003186	18820	154	9	1	0.0	"abnormal redox activity"
MP:0002163	18820	2293	9	1	0.0	"abnormal gland morphology"
MP:0003189	18820	169	9	1	0.0	"fused joints"
MP:0002169	18820	1864	9	4	0.0	"no abnormal phenotype detected"
MP:0005253	18820	547	9	1	0.0	"abnormal eye physiology"
MP:0004231	18820	263	9	1	0.0	"abnormal calcium ion homeostasis"
MP:0000137	18820	480	9	1	0.0	"abnormal vertebrae morphology"
MP:0002188	18820	291	9	1	0.0	"small heart"
MP:0005266	18820	809	9	2	0.0	"abnormal metabolism"
