ID	Pop.total	Pop.term	Study.total	Study.term	p	p.adjusted	p.min	name
MP:0003105	11228	234	8	4	1.2053271997420605E-5	2.3654546294937939E-4	0.0	"abnormal heart atrium morphology"
MP:0010240	11228	80	8	3	1.9011401997837418E-5	3.617927410497545E-4	8.975371346918183E-206	"decreased skeletal muscle size"
MP:0009410	11228	10	8	2	1.9934076916693293E-5	3.681941265789232E-4	1.1441423630073825E-34	"abnormal skeletal muscle satellite cell proliferation"
MP:0009404	11228	86	8	3	2.3633337891637456E-5	4.240496055985235E-4	1.5849981007194266E-218	"centrally nucleated skeletal muscle fibers"
MP:0002972	11228	291	8	4	2.84997353616137E-5	4.97162050197039E-4	0.0	"abnormal cardiac muscle contractility"
MP:0009458	11228	93	8	3	2.9896510814785307E-5	5.074326700455451E-4	3.5567388326011875E-233	"abnormal skeletal muscle size"
MP:0005598	11228	97	8	3	3.392281307000666E-5	5.606191212622153E-4	1.924950462724311E-241	"decreased ventricle muscle contractility"
MP:0002269	11228	104	8	3	4.179991607942214E-5	6.73085828150695E-4	9.753335594729207E-256	"muscular atrophy"
MP:0005294	11228	712	8	5	4.8217222628893926E-5	7.570103952736346E-4	0.0	"abnormal heart ventricle morphology"
MP:0002753	11228	112	8	3	5.2176088606057804E-5	7.991849669415684E-4	7.995057804986815E-272	"dilated heart left ventricle"
MP:0009401	11228	18	8	2	6.75828562461018E-5	0.0010105246124417126	8.068983061911315E-58	"increased skeletal muscle fiber diameter"
MP:0005330	11228	127	8	3	7.593343635750801E-5	0.001108981349593373	2.5187732758791668E-301	"cardiomyopathy"
MP:0004819	11228	130	8	3	8.140551040071667E-5	0.0011618786484465925	3.953330983955487E-307	"decreased skeletal muscle mass"
MP:0004215	11228	138	8	3	9.724807414282468E-5	0.0013571509013709756	1.83E-322	"abnormal myocardial fiber physiology"
MP:0004088	11228	22	8	2	1.0189145336694639E-4	0.001361443249243454	8.975412140584567E-69	"abnormal sarcoplasmic reticulum morphology"
MP:0009412	11228	22	8	2	1.0189145336694639E-4	0.001361443249243454	8.975412140584567E-69	"skeletal muscle fiber degeneration"
MP:0004510	11228	23	8	2	1.1155562048085624E-4	0.001459519367957869	1.8421781120176026E-71	"myositis"
MP:0004817	11228	150	8	3	1.246029571871155E-4	0.0015969521859899702	0.0	"abnormal skeletal muscle mass"
MP:0010239	11228	25	8	2	1.3218509731299346E-4	0.0016590124255938781	8.804362335844207E-77	"decreased skeletal muscle weight"
MP:0008022	11228	154	8	3	1.347287160912226E-4	0.0016590124255938781	0.0	"dilated heart ventricle"
MP:0009413	11228	29	8	2	1.786355303935847E-4	0.0021166625110787016	3.187765193999427E-87	"skeletal muscle fiber atrophy"
MP:0010237	11228	29	8	2	1.786355303935847E-4	0.0021166625110787016	3.187765193999427E-87	"abnormal skeletal muscle weight"
MP:0009415	11228	31	8	2	2.044490173626608E-4	0.0023776663500694626	2.3640113926661044E-92	"skeletal muscle degeneration"
MP:0009419	11228	32	8	2	2.180011970174286E-4	0.0024891773041262758	6.75612794180974E-95	"skeletal muscle fibrosis"
MP:0005165	11228	188	8	3	2.4318819389180406E-4	0.0027271818886438026	0.0	"increased susceptibility to injury"
MP:0004232	11228	35	8	2	2.612338965552629E-4	0.0028781559129246507	1.8909780002934345E-102	"decreased muscle weight"
MP:0003393	11228	36	8	2	2.76501967275501E-4	0.0028940539241502435	6.081944787824965E-105	"decreased cardiac output"
MP:0013239	11228	36	8	2	2.76501967275501E-4	0.0028940539241502435	6.081944787824965E-105	"impaired skeletal muscle regeneration"
MP:0014143	11228	36	8	2	2.76501967275501E-4	0.0028940539241502435	6.081944787824965E-105	"decreased body fat mass"
MP:0001625	11228	198	8	3	2.833694085267281E-4	0.0029127023733477872	0.0	"cardiac hypertrophy"
MP:0000752	11228	37	8	2	2.921978495555901E-4	0.0029127023733477872	2.01065008172768E-107	"dystrophic muscle"
MP:0013160	11228	37	8	2	2.921978495555901E-4	0.0029127023733477872	2.01065008172768E-107	"impaired muscle regeneration"
MP:0003852	11228	38	8	2	3.0832107953752383E-4	0.0030254005929619527	6.827334742770717E-110	"skeletal muscle necrosis"
MP:0002841	11228	41	8	2	3.5925022179412395E-4	0.0034709098351801515	3.1173519263334E-117	"impaired skeletal muscle contractility"
MP:0009402	11228	42	8	2	3.770782102420012E-4	0.0035879563035147994	1.1703654322522618E-119	"decreased skeletal muscle fiber diameter"
MP:0005406	11228	1102	8	5	3.9229420232748057E-4	0.0036510001993740747	0.0	"abnormal heart size"
MP:0004233	11228	43	8	2	3.953312317793584E-4	0.0036510001993740747	4.4989910233517023E-122	"abnormal muscle weight"
MP:0004937	11228	234	8	3	4.631767284386797E-4	0.004215579499412911	0.0	"dilated heart"
MP:0013237	11228	51	8	2	5.56601222043241E-4	0.00499350810633079	4.7272985655962435E-141	"abnormal skeletal muscle regeneration"
MP:0002754	11228	52	8	2	5.786587892325458E-4	0.005047190550528316	2.1993336799689695E-143	"dilated heart right ventricle"
MP:0004485	11228	52	8	2	5.786587892325458E-4	0.005047190550528316	2.1993336799689695E-143	"increased response of heart to induced stress"
MP:0010090	11228	53	8	2	6.011367836152045E-4	0.005171423289182855	1.0429910973370596E-145	"increased circulating creatine kinase level"
MP:0020280	11228	54	8	2	6.240347463079539E-4	0.0052252509424186005	5.039956980463106E-148	"increased creatine kinase level"
MP:0010089	11228	54	8	2	6.240347463079539E-4	0.0052252509424186005	5.039956980463106E-148	"abnormal circulating creatine kinase level"
MP:0001627	11228	55	8	2	6.473522187373031E-4	0.005279703809961381	2.480737729767684E-150	"abnormal cardiac output"
MP:0020279	11228	55	8	2	6.473522187373031E-4	0.005279703809961381	2.480737729767684E-150	"abnormal creatine kinase level"
MP:0020136	11228	56	8	2	6.710887426391842E-4	0.005403124748428303	1.243366265694951E-152	"abnormal interventricular septum thickness"
MP:0008416	11228	1	8	1	7.125044531581706E-4	0.0055931599572916395	8.906305664391524E-5	"increased somatotroph cell size"
MP:0030428	11228	1	8	1	7.125044531581706E-4	0.0055931599572916395	8.906305664391524E-5	"abnormal scalene muscle morphology"
MP:0000749	11228	59	8	2	7.448080451794529E-4	0.005774561140403659	1.739713722398456E-159	"muscle degeneration"
MP:0000729	11228	61	8	2	7.960411166431869E-4	0.006096510015267334	5.1046877088434754E-164	"abnormal myogenesis"
MP:0000750	11228	65	8	2	9.034993134751025E-4	0.006836115287498366	5.336813828460008E-173	"abnormal muscle regeneration"
MP:0012320	11228	66	8	2	9.314012155681599E-4	0.006963332897342909	3.1553320136399003E-175	"abnormal body fat mass"
MP:0012106	11228	67	8	2	9.597171486150272E-4	0.0070906161097674955	1.8939907266967333E-177	"impaired exercise endurance"
MP:0002899	11228	78	8	2	0.001298388670261827	0.00948125680144683	1.7654122292431103E-201	"fatigue"
MP:0002332	11228	81	8	2	0.00139935946621335	0.009619640943158174	6.521394681598775E-208	"abnormal exercise endurance"
MP:0020206	11228	2	8	1	0.0014245646619645066	0.009619640943158174	1.5865869180244362E-8	"abnormal heart left atrium weight"
MP:0020330	11228	2	8	1	0.0014245646619645066	0.009619640943158174	1.5865869180244362E-8	"increased capillary density"
MP:0010106	11228	2	8	1	0.0014245646619645066	0.009619640943158174	1.5865869180244362E-8	"abnormal circulating pyruvate kinase level"
MP:0011915	11228	2	8	1	0.0014245646619645066	0.009619640943158174	1.5865869180244362E-8	"increased heart left atrium weight"
MP:0013467	11228	2	8	1	0.0014245646619645066	0.009619640943158174	1.5865869180244362E-8	"diaphragmitis"
MP:0030171	11228	2	8	1	0.0014245646619645066	0.009619640943158174	1.5865869180244362E-8	"absent extraocular muscles"
MP:0002795	11228	83	8	2	0.0014687103049525873	0.009812234803300264	3.572361414673157E-212	"dilated cardiomyopathy"
MP:0002833	11228	361	8	3	0.001636423914006933	0.01081762334733004	0.0	"increased heart weight"
MP:0000747	11228	89	8	2	0.0016865007369017645	0.011032525653899042	7.80994828933821E-225	"muscle weakness"
MP:0000733	11228	96	8	2	0.0019589490717535035	0.012421496134420786	2.2091287165928517E-239	"abnormal muscle development"
MP:0000274	11228	874	8	4	0.001978973833550823	0.012421496134420786	0.0	"enlarged heart"
MP:0010563	11228	97	8	2	0.001999475940357369	0.012421496134420786	1.924950462724311E-241	"increased heart right ventricle size"
MP:0004484	11228	99	8	2	0.002081729478228415	0.012421496134420786	1.5074797290014807E-245	"abnormal response of heart to induced stress"
MP:0000731	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"increased collagen deposition in the muscles"
MP:0003818	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"abnormal eye muscle development"
MP:0020309	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"increased creatine kinase activity"
MP:0006190	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"retinal ischemia"
MP:0010509	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"decreased P wave amplitude"
MP:0010581	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"abnormal atrium myocardial trabeculae morphology"
MP:0011170	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"abnormal brown fat cell differentiation"
MP:0012249	11228	3	8	1	0.0021361808638812817	0.012421496134420786	4.239943661222507E-12	"absent myotome"
MP:0020307	11228	4	8	1	0.002847353296225692	0.01610935018044806	1.5108930641173558E-15	"abnormal creatine kinase activity"
MP:0009416	11228	4	8	1	0.002847353296225692	0.01610935018044806	1.5108930641173558E-15	"cardiac muscle degeneration"
MP:0030427	11228	4	8	1	0.002847353296225692	0.01610935018044806	1.5108930641173558E-15	"abnormal neck muscle morphology"
MP:0010577	11228	117	8	2	0.0028934403506324174	0.016223933394617484	9.479701220998694E-282	"abnormal heart right ventricle size"
MP:0010053	11228	445	8	3	0.002983387433787942	0.01658024166742325	0.0	"decreased grip strength"
MP:0004857	11228	449	8	3	0.0030605658284770083	0.016859959125294397	0.0	"abnormal heart weight"
MP:0001406	11228	470	8	3	0.0034863480249456066	0.018620630160311694	0.0	"abnormal gait"
MP:0001544	11228	1762	8	5	0.0034940046363971973	0.018620630160311694	0.0	"abnormal cardiovascular system physiology"
MP:0000736	11228	5	8	1	0.0035580821962379037	0.018620630160311694	6.73063553161416E-19	"delayed muscle development"
MP:0020520	11228	5	8	1	0.0035580821962379037	0.018620630160311694	6.73063553161416E-19	"whitened brown adipose tissue morphology"
MP:0004248	11228	5	8	1	0.0035580821962379037	0.018620630160311694	6.73063553161416E-19	"abnormal epaxial muscle morphology"
MP:0012688	11228	5	8	1	0.0035580821962379037	0.018620630160311694	6.73063553161416E-19	"abnormal heart ventricles weight"
MP:0000266	11228	1823	8	5	0.004079195191098426	0.021171360165370346	0.0	"abnormal heart morphology"
MP:0002952	11228	6	8	1	0.004268367801007574	0.021274087135180607	3.5983082232491576E-22	"ventricular cardiomyopathy"
MP:0004846	11228	6	8	1	0.004268367801007574	0.021274087135180607	3.5983082232491576E-22	"absent skeletal muscle"
MP:0010252	11228	6	8	1	0.004268367801007574	0.021274087135180607	3.5983082232491576E-22	"anterior subcapsular cataract"
MP:0012185	11228	6	8	1	0.004268367801007574	0.021274087135180607	3.5983082232491576E-22	"abnormal muscle precursor cell morphology"
MP:0013929	11228	6	8	1	0.004268367801007574	0.021274087135180607	3.5983082232491576E-22	"absent eye muscles"
MP:0002189	11228	147	8	2	0.0045267301145026926	0.02238414576305268	0.0	"abnormal myocardial trabeculae morphology"
MP:0003090	11228	7	8	1	0.004978210347544635	0.02350613607712805	2.2445337339601405E-25	"abnormal muscle precursor cell migration"
MP:0020938	11228	7	8	1	0.004978210347544635	0.02350613607712805	2.2445337339601405E-25	"decreased susceptibility to Picornaviridae infection"
MP:0005247	11228	7	8	1	0.004978210347544635	0.02350613607712805	2.2445337339601405E-25	"abnormal extraocular muscle morphology"
MP:0008327	11228	7	8	1	0.004978210347544635	0.02350613607712805	2.2445337339601405E-25	"abnormal corticotroph morphology"
MP:0009137	11228	7	8	1	0.004978210347544635	0.02350613607712805	2.2445337339601405E-25	"decreased brown fat lipid droplet number"
MP:0010238	11228	7	8	1	0.004978210347544635	0.02350613607712805	2.2445337339601405E-25	"increased skeletal muscle weight"
MP:0005164	11228	552	8	3	0.005496818932599263	0.025696540472764196	0.0	"abnormal response to injury"
MP:0006035	11228	165	8	2	0.005670835256528146	0.025696540472764196	0.0	"abnormal mitochondrial morphology"
MP:0004089	11228	8	8	1	0.005687610072793349	0.025696540472764196	1.6002379352831843E-28	"dilated sarcoplasmic reticulum"
MP:0006432	11228	8	8	1	0.005687610072793349	0.025696540472764196	1.6002379352831843E-28	"abnormal costal cartilage morphology"
MP:0008838	11228	8	8	1	0.005687610072793349	0.025696540472764196	1.6002379352831843E-28	"decreased transforming growth factor beta level"
MP:0009405	11228	8	8	1	0.005687610072793349	0.025696540472764196	1.6002379352831843E-28	"increased skeletal muscle fiber number"
MP:0001953	11228	171	8	2	0.006079002365289933	0.027268667752871983	0.0	"respiratory failure"
MP:0003939	11228	9	8	1	0.006396567213554668	0.02751400143912556	1.2836133170756948E-31	"abnormal myotome morphology"
MP:0020328	11228	9	8	1	0.006396567213554668	0.02751400143912556	1.2836133170756948E-31	"abnormal capillary density"
MP:0008837	11228	9	8	1	0.006396567213554668	0.02751400143912556	1.2836133170756948E-31	"increased transforming growth factor beta level"
MP:0009134	11228	9	8	1	0.006396567213554668	0.02751400143912556	1.2836133170756948E-31	"abnormal brown fat lipid droplet number"
MP:0010226	11228	9	8	1	0.006396567213554668	0.02751400143912556	1.2836133170756948E-31	"increased quadriceps weight"
MP:0012186	11228	9	8	1	0.006396567213554668	0.02751400143912556	1.2836133170756948E-31	"abnormal muscle precursor cell physiology"
MP:0003920	11228	179	8	2	0.006643814873248276	0.028383100274829372	0.0	"abnormal heart right ventricle morphology"
MP:0000730	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"increased satellite cell number"
MP:0003199	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"calcified muscle"
MP:0003851	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"skeletal muscle interstitial fibrosis"
MP:0003929	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"decreased heart rate variability"
MP:0009294	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"increased interscapular fat pad weight"
MP:0009420	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"skeletal muscle endomysial fibrosis"
MP:0009461	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"skeletal muscle hypertrophy"
MP:0010251	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"subcapsular cataract"
MP:0012719	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"abnormal neck morphology"
MP:0030957	11228	10	8	1	0.007105082006514363	0.028420328026057456	1.1441423630073825E-34	"abnormal myotube morphology"
MP:0003397	11228	11	8	1	0.00781315468826438	0.030666632151437695	1.1219081826733392E-37	"increased muscle weight"
MP:0010493	11228	11	8	1	0.00781315468826438	0.030666632151437695	1.1219081826733392E-37	"abnormal atrium myocardium morphology"
MP:0011631	11228	11	8	1	0.00781315468826438	0.030666632151437695	1.1219081826733392E-37	"decreased mitochondrial size"
MP:0000727	11228	12	8	1	0.008520785495291137	0.03262837372587094	1.2002227148055553E-40	"absent CD8-positive, alpha-beta T cells"
MP:0004597	11228	12	8	1	0.008520785495291137	0.03262837372587094	1.2002227148055553E-40	"increased susceptibility to noise-induced hearing loss"
MP:0011808	11228	12	8	1	0.008520785495291137	0.03262837372587094	1.2002227148055553E-40	"abnormal myoblast differentiation"
MP:0031318	11228	12	8	1	0.008520785495291137	0.03262837372587094	1.2002227148055553E-40	"enhanced skeletal muscle regeneration"
MP:0002280	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"abnormal intercostal muscle morphology"
MP:0003061	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"decreased aerobic running capacity"
MP:0003790	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"absent CD4-positive, alpha beta T cells"
MP:0004623	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"thoracic vertebral fusion"
MP:0009124	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"increased brown fat cell lipid droplet size"
MP:0011628	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"increased mitochondrial number"
MP:0011699	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"abnormal brown adipose tissue thermogenesis"
MP:0013161	11228	13	8	1	0.009227974663975444	0.03369283772660801	1.3911283249328131E-43	"enhanced muscle regeneration"
MP:0001856	11228	14	8	1	0.009934722430592673	0.03523473967354821	1.7365846232021101E-46	"myocarditis"
MP:0003794	11228	14	8	1	0.009934722430592673	0.03523473967354821	1.7365846232021101E-46	"delayed somite formation"
MP:0003950	11228	14	8	1	0.009934722430592673	0.03523473967354821	1.7365846232021101E-46	"abnormal plasma membrane morphology"
MP:0004565	11228	14	8	1	0.009934722430592673	0.03523473967354821	1.7365846232021101E-46	"small myocardial fiber"
MP:0010227	11228	14	8	1	0.009934722430592673	0.03523473967354821	1.7365846232021101E-46	"decreased quadriceps weight"
MP:0005333	11228	221	8	2	0.009986916659063028	0.03523473967354821	0.0	"decreased heart rate"
MP:0003312	11228	690	8	3	0.01024899007684547	0.03595735066066456	0.0	"abnormal locomotor coordination"
MP:0001515	11228	698	8	3	0.010580871176205967	0.03631829473730764	0.0	"abnormal grip strength"
MP:0001038	11228	15	8	1	0.010641029031313066	0.03631829473730764	2.3228793782494742E-49	"abnormal cholinergic neuron morphology"
MP:0002837	11228	15	8	1	0.010641029031313066	0.03631829473730764	2.3228793782494742E-49	"dystrophic cardiac calcinosis"
MP:0004071	11228	15	8	1	0.010641029031313066	0.03631829473730764	2.3228793782494742E-49	"prolonged P wave"
MP:0008836	11228	15	8	1	0.010641029031313066	0.03631829473730764	2.3228793782494742E-49	"abnormal transforming growth factor beta level"
MP:0000316	11228	234	8	2	0.011147219105233955	0.03784028971938878	0.0	"cellular necrosis"
MP:0003646	11228	16	8	1	0.011346894702201557	0.03810614905338277	3.314551864105148E-52	"muscle fatigue"
MP:0031131	11228	16	8	1	0.011346894702201557	0.03810614905338277	3.314551864105148E-52	"myocardial fiber disarray"
MP:0000348	11228	17	8	1	0.0120523196792179	0.039836088202888635	5.025631617035225E-55	"abnormal aerobic fitness"
MP:0011636	11228	17	8	1	0.0120523196792179	0.039836088202888635	5.025631617035225E-55	"disorganized mitochondrial cristae"
MP:0030927	11228	17	8	1	0.0120523196792179	0.039836088202888635	5.025631617035225E-55	"decreased telomere length"
MP:0003398	11228	18	8	1	0.012757304198216097	0.041727015814998485	8.068983061911315E-58	"increased skeletal muscle size"
MP:0003923	11228	18	8	1	0.012757304198216097	0.041727015814998485	8.068983061911315E-58	"abnormal heart left atrium morphology"
MP:0002253	11228	19	8	1	0.013461848494945769	0.04313286150421399	1.3676242477679008E-60	"abnormal pharyngeal muscle morphology"
MP:0004121	11228	19	8	1	0.013461848494945769	0.04313286150421399	1.3676242477679008E-60	"abnormal sarcolemma morphology"
MP:0005137	11228	19	8	1	0.013461848494945769	0.04313286150421399	1.3676242477679008E-60	"increased growth hormone level"
MP:0011629	11228	19	8	1	0.013461848494945769	0.04313286150421399	1.3676242477679008E-60	"decreased mitochondrial number"
MP:0000737	11228	20	8	1	0.014165952805050725	0.04470461488227063	2.4402252614402194E-63	"abnormal myotome development"
MP:0009732	11228	20	8	1	0.014165952805050725	0.04470461488227063	2.4402252614402194E-63	"ventricular premature beat"
MP:0010254	11228	20	8	1	0.014165952805050725	0.04470461488227063	2.4402252614402194E-63	"nuclear cataract"
MP:0004262	11228	784	8	3	0.014560492553893627	0.04555180343724703	0.0	"abnormal physical strength"
MP:0002127	11228	2428	8	5	0.014618044505809636	0.04555180343724703	0.0	"abnormal cardiovascular system morphology"
MP:0008874	11228	270	8	2	0.01465917238379883	0.04555180343724703	0.0	"decreased physiological sensitivity to xenobiotic"
MP:0020164	11228	21	8	1	0.014869617364069493	0.04555180343724703	4.5721565390451986E-66	"abnormal quadriceps weight"
MP:0008322	11228	21	8	1	0.014869617364069493	0.04555180343724703	4.5721565390451986E-66	"abnormal somatotroph morphology"
MP:0010520	11228	21	8	1	0.014869617364069493	0.04555180343724703	4.5721565390451986E-66	"sinoatrial block"
MP:0008950	11228	22	8	1	0.015572842407436376	0.04701800496091368	8.975412140584567E-69	"ventricular tachycardia"
MP:0009414	11228	22	8	1	0.015572842407436376	0.04701800496091368	8.975412140584567E-69	"skeletal muscle fiber necrosis"
MP:0011633	11228	22	8	1	0.015572842407436376	0.04701800496091368	8.975412140584567E-69	"abnormal mitochondrial shape"
MP:0002823	11228	23	8	1	0.016275628170479506	0.0482127098634959	1.8421781120176026E-71	"abnormal rib development"
MP:0003155	11228	23	8	1	0.016275628170479506	0.0482127098634959	1.8421781120176026E-71	"abnormal telomere length"
MP:0006085	11228	23	8	1	0.016275628170479506	0.0482127098634959	1.8421781120176026E-71	"myocardium necrosis"
MP:0011639	11228	23	8	1	0.016275628170479506	0.0482127098634959	1.8421781120176026E-71	"decreased mitochondrial DNA content"
MP:0003157	11228	24	8	1	0.016977974888423602	0.04982321602771038	3.945763024448121E-74	"impaired muscle relaxation"
MP:0011952	11228	24	8	1	0.016977974888423602	0.04982321602771038	3.945763024448121E-74	"decreased cardiac stroke volume"
MP:0004070	11228	25	8	1	0.017679882796386343	0.05116574376097062	8.804362335844207E-77	"abnormal P wave"
MP:0020936	11228	25	8	1	0.017679882796386343	0.05116574376097062	8.804362335844207E-77	"abnormal susceptibility to Picornaviridae infection"
MP:0005547	11228	25	8	1	0.017679882796386343	0.05116574376097062	8.804362335844207E-77	"abnormal Muller cell morphology"
MP:0010225	11228	26	8	1	0.018381352129382335	0.052709996060511896	2.0433225094297415E-79	"abnormal quadriceps morphology"
MP:0011698	11228	26	8	1	0.018381352129382335	0.052709996060511896	2.0433225094297415E-79	"abnormal brown adipose tissue physiology"
MP:0010024	11228	309	8	2	0.018942179565101813	0.053025383189455544	0.0	"increased total body fat amount"
MP:0000761	11228	27	8	1	0.01908238312231999	0.053025383189455544	4.924987301764611E-82	"thin diaphragm muscle"
MP:0003915	11228	27	8	1	0.01908238312231999	0.053025383189455544	4.924987301764611E-82	"increased left ventricle weight"
MP:0006320	11228	27	8	1	0.01908238312231999	0.053025383189455544	4.924987301764611E-82	"abnormal interscapular fat pad morphology"
MP:0008663	11228	27	8	1	0.01908238312231999	0.053025383189455544	4.924987301764611E-82	"increased interleukin-12 secretion"
MP:0010725	11228	27	8	1	0.01908238312231999	0.053025383189455544	4.924987301764611E-82	"thin interventricular septum"
MP:0011168	11228	27	8	1	0.01908238312231999	0.053025383189455544	4.924987301764611E-82	"abnormal fat cell differentiation"
MP:0004672	11228	28	8	1	0.01978297601000399	0.05448995146615135	1.231136902507443E-84	"short ribs"
MP:0004818	11228	28	8	1	0.01978297601000399	0.05448995146615135	1.231136902507443E-84	"increased skeletal muscle mass"
MP:0009123	11228	29	8	1	0.020483131027132742	0.05617207984733346	3.187765193999427E-87	"abnormal brown fat cell lipid droplet size"
MP:0004145	11228	30	8	1	0.021182848408301282	0.05733977931212589	8.539419217656855E-90	"abnormal muscle electrophysiology"
MP:0010207	11228	30	8	1	0.021182848408301282	0.05733977931212589	8.539419217656855E-90	"abnormal telomere morphology"
MP:0010632	11228	30	8	1	0.021182848408301282	0.05733977931212589	8.539419217656855E-90	"cardiac muscle necrosis"
