"HsOrtho"	"MsOrtho"	"Homology_Score"
"ABLIM3"	"Ablim3"	72.8463
"ABO"	"Abo"	81.488075
"ABR"	"Abr"	72.388916
"ABRA"	"Abra"	74.65942
"ABRACL"	"Abracl"	72.551414
"ABRAXAS1"	"Abraxas1"	73.068436
"ABRAXAS2"	"Abraxas2"	73.38154
"ABT1"	"Abt1"	74.109116
"ABTB1"	"Abtb1"	72.472336
"ABTB2"	"Abtb2"	74.238884
"ACAA2"	"Acaa2"	72.58441
"ACACA"	"Acaca"	73.08235
"ACACB"	"Acacb"	72.75371
"ACAD10"	"Acad10"	75.316895
"ACAD11"	"Acad11"	73.308716
"ACAD8"	"Acad8"	73.322426
"ACAD9"	"Acad9"	72.751945
"ACADL"	"Acadl"	72.54457
"ACADM"	"Acadm"	73.095085
"ACADS"	"Acads"	72.95166
"ACADSB"	"Acadsb"	72.7069
"ACADVL"	"Acadvl"	74.673706
"ACAN"	"Acan"	74.90876
"ACAP1"	"Acap1"	74.408516
"ACAP2"	"Acap2"	73.643166
"ACAP3"	"Acap3"	75.5321
"ACAT1"	"Acat1"	72.23036
"ACBD3"	"Acbd3"	72.990715
"ACBD4"	"Acbd4"	73.23999
"ACBD5"	"Acbd5"	75.45074
"ACBD6"	"Acbd6"	72.622055
"ACBD7"	"Acbd7"	73.345024
"ACCS"	"Accs"	74.28674
"ACCSL"	"Accsl"	81.05655
"ACD"	"Acd"	74.404915
"ACE"	"Ace"	73.859436
"ACE2"	"Ace2"	72.49311
"ACER1"	"Acer1"	72.52514
"ACER2"	"Acer2"	73.453285
"ACER3"	"Acer3"	72.65482
"ACHE"	"Ache"	73.801605
"ACIN1"	"Acin1"	76.40369
"ACKR1"	"Ackr1"	75.52416
"ACKR2"	"Ackr2"	75.58337
"ACKR3"	"Ackr3"	75.002235
"ACKR4"	"Ackr4"	75.24839
"ACLY"	"Acly"	74.454185
"ACMSD"	"Acmsd"	72.4221
"ACO1"	"Aco1"	70.58255
"ACO2"	"Aco2"	72.00144
"ACOD1"	"Acod1"	73.41827
"ACOT1"	"Acot1"	92.27532
"ACOT11"	"Acot11"	74.63465
"ACOT12"	"Acot12"	73.622795
"ACOT13"	"Acot13"	73.19763
"ACOT2"	"Acot2"	93.90892
"ACOT4"	"Acot4"	80.723145
"ACOT6"	"Acot6"	80.12721
"ACOT7"	"Acot7"	72.52505
"ACOT8"	"Acot8"	72.95025
"ACOT9"	"Acot9"	75.88648
"ACOX1"	"Acox1"	72.15093
"ACOX2"	"Acox2"	75.44714
"ACOX3"	"Acox3"	72.33878
"ACOXL"	"Acoxl"	78.70893
"ACP2"	"Acp2"	72.82055
"ACP4"	"Acp4"	77.79324
"ACP5"	"Acp5"	76.32612
"ACP6"	"Acp6"	72.962456
"ACP7"	"Acp7"	73.66125
"ACPP"	"Acpp"	67.92587
"ACR"	"Acr"	78.49075
"ACRBP"	"Acrbp"	77.764
"ACRV1"	"Acrv1"	77.55251
"ACSBG1"	"Acsbg1"	73.64258
"ACSBG2"	"Acsbg2"	73.100555
"ACSF2"	"Acsf2"	72.1215
"ACSF3"	"Acsf3"	72.23549
"ACSL1"	"Acsl1"	75.06686
"ACSL3"	"Acsl3"	74.32589
"ACSL4"	"Acsl4"	74.321556
"ACSL5"	"Acsl5"	73.08235
"ACSL6"	"Acsl6"	72.78598
"ACSM1"	"Acsm1"	82.0293
"ACSM3"	"Acsm3"	76.24908
"ACSM4"	"Acsm4"	82.673065
"ACSM5"	"Acsm5"	80.402214
"ACSS1"	"Acss1"	73.09107
"ACSS2"	"Acss2"	72.606804
"ACSS3"	"Acss3"	72.29619
"ACTA1"	"Acta1"	74.994194
"ACTA2"	"Acta2"	72.85432
"ACTB"	"Actb"	74.41503
"ACTBL2"	"Actbl2"	79.53137
"ACTC1"	"Actc1"	74.95514
"ACTG1"	"Actg1"	75.63496
"ACTG2"	"Actg2"	75.87179
"ACTL10"	"Actl10"	78.55217
"ACTL6A"	"Actl6a"	72.51859
"ACTL6B"	"Actl6b"	75.71286
"ACTL7A"	"Actl7a"	78.30598
"ACTL7B"	"Actl7b"	79.20163
"ACTL9"	"Actl9"	77.33018
"ACTN1"	"Actn1"	72.03074
"ACTN2"	"Actn2"	74.76487
"ACTN3"	"Actn3"	76.67243
"ACTN4"	"Actn4"	74.994194
"ACTR10"	"Actr10"	73.078636
"ACTR1A"	"Actr1a"	74.631134
"ACTR1B"	"Actr1b"	75.002235
"ACTR2"	"Actr2"	72.92391
"ACTR3"	"Actr3"	73.955536
"ACTR3B"	"Actr3b"	73.30881
"ACTR5"	"Actr5"	71.89655
"ACTR6"	"Actr6"	73.5297
"ACTR8"	"Actr8"	72.18269
"ACTRT1"	"Actrt1"	81.42456
"ACTRT2"	"Actrt2"	79.24724
"ACTRT3"	"Actrt3"	77.34282
"ACVR1"	"Acvr1"	74.49742
"ACVR1B"	"Acvr1b"	76.037155
"ACVR1C"	"Acvr1c"	73.60515
"ACVR2A"	"Acvr2a"	75.03923
"ACVR2B"	"Acvr2b"	73.8229
"ACVRL1"	"Acvrl1"	72.8079
"ACY1"	"Acy1"	76.82514
"ACY3"	"Acy3"	77.84306
"ACYP1"	"Acyp1"	72.69412
"ACYP2"	"Acyp2"	74.62928
"ADA"	"Ada"	69.78866
"ADAD1"	"Adad1"	72.018295
"ADAD2"	"Adad2"	74.07656
"ADAL"	"Adal"	72.62215
"ADAM10"	"Adam10"	74.9562
"ADAM11"	"Adam11"	73.49234
"ADAM12"	"Adam12"	73.60506
"ADAM15"	"Adam15"	73.81931
"ADAM17"	"Adam17"	74.454185
"ADAM18"	"Adam18"	81.59947
"ADAM19"	"Adam19"	75.845406
"ADAM1A"	"Adam1a"	93.73423
"ADAM2"	"Adam2"	80.16247
"ADAM20"	"Adam20"	82.63389
"ADAM21"	"Adam21"	83.9695
"ADAM22"	"Adam22"	72.48592
"ADAM28"	"Adam28"	73.82389
"ADAM29"	"Adam29"	81.81478
"ADAM30"	"Adam30"	81.552025
"ADAM32"	"Adam32"	81.5459
"ADAM33"	"Adam33"	76.131905
"ADAM7"	"Adam7"	78.482124
"ADAM8"	"Adam8"	76.82514
"ADAM9"	"Adam9"	73.66485
"ADAMDEC1"	"Adamdec1"	79.01201
"ADAMTS1"	"Adamts1"	72.29619
"ADAMTS10"	"Adamts10"	72.687645
"ADAMTS12"	"Adamts12"	74.02245
"ADAMTS13"	"Adamts13"	72.39251
"ADAMTS14"	"Adamts14"	74.20008
"ADAMTS15"	"Adamts15"	73.42786
"ADAMTS16"	"Adamts16"	76.92862
"ADAMTS17"	"Adamts17"	72.52505
"ADAMTS18"	"Adamts18"	73.41827
"ADAMTS19"	"Adamts19"	75.088745
"ADAMTS2"	"Adamts2"	74.981544
"ADAMTS20"	"Adamts20"	74.969475
"ADAMTS3"	"Adamts3"	72.66027
"ADAMTS4"	"Adamts4"	75.926865
"ADAMTS5"	"Adamts5"	72.606804
"ADAMTS6"	"Adamts6"	72.85458
"ADAMTS7"	"Adamts7"	75.630196
"ADAMTS8"	"Adamts8"	74.28221
"ADAMTS9"	"Adamts9"	72.69412
"ADAMTSL1"	"Adamtsl1"	75.088104
"ADAMTSL2"	"Adamtsl2"	72.304146
"ADAMTSL3"	"Adamtsl3"	73.81682
"ADAMTSL4"	"Adamtsl4"	75.70022
"ADAMTSL5"	"Adamtsl5"	73.89981
"ADAP1"	"Adap1"	74.37122
"ADAP2"	"Adap2"	73.801605
"ADAR"	"Adar"	71.105995
"ADARB1"	"Adarb1"	74.23215
"ADARB2"	"Adarb2"	71.463036
"ADAT1"	"Adat1"	72.57183
"ADAT2"	"Adat2"	72.990715
"ADAT3"	"Adat3"	73.84198
"ADCK1"	"Adck1"	73.177574
"ADCK2"	"Adck2"	71.19405
"ADCK5"	"Adck5"	73.58723
"ADCY1"	"Adcy1"	75.19877
"ADCY10"	"Adcy10"	76.32612
"ADCY2"	"Adcy2"	75.29479
"ADCY4"	"Adcy4"	77.34292
"ADCY5"	"Adcy5"	72.74112
"ADCY6"	"Adcy6"	74.85806
"ADCY7"	"Adcy7"	73.26123
"ADCY8"	"Adcy8"	72.52659
"ADCY9"	"Adcy9"	72.65091
"ADCYAP1"	"Adcyap1"	75.000404
"ADCYAP1R1"	"Adcyap1r1"	74.50333
"ADD1"	"Add1"	73.84198
"ADD2"	"Add2"	73.82073
"ADD3"	"Add3"	74.11754
"ADGB"	"Adgb"	73.58723
"ADGRA1"	"Adgra1"	74.18966
"ADGRA2"	"Adgra2"	73.177574
"ADGRA3"	"Adgra3"	72.76144
"ADGRB1"	"Adgrb1"	76.46225
"ADGRB2"	"Adgrb2"	72.854225
"ADGRB3"	"Adgrb3"	73.58363
"ADGRD1"	"Adgrd1"	73.66065
"ADGRE1"	"Adgre1"	77.78524
"ADGRE5"	"Adgre5"	77.14886
"ADGRF1"	"Adgrf1"	78.49075
"ADGRF2"	"Adgrf2"	78.76804
"ADGRF3"	"Adgrf3"	79.26249
"ADGRF4"	"Adgrf4"	78.270706
"ADGRF5"	"Adgrf5"	74.28674
"ADGRG1"	"Adgrg1"	74.28674
"ADGRG2"	"Adgrg2"	74.06745
"ADGRG3"	"Adgrg3"	75.67422
"ADGRG4"	"Adgrg4"	76.042046
"ADGRG5"	"Adgrg5"	76.42595
"ADGRG6"	"Adgrg6"	72.34201
"ADGRG7"	"Adgrg7"	75.57063
"ADGRL1"	"Adgrl1"	77.00768
"ADGRL2"	"Adgrl2"	75.321815
"ADGRL3"	"Adgrl3"	74.36977
"ADGRL4"	"Adgrl4"	72.2915
"ADGRV1"	"Adgrv1"	73.700356
"ADH4"	"Adh4"	80.12721
"ADH5"	"Adh5"	77.548195
"ADH7"	"Adh7"	81.775635
"ADHFE1"	"Adhfe1"	71.59596
"ADI1"	"Adi1"	72.27614
"ADIG"	"Adig"	77.84306
"ADIPOQ"	"Adipoq"	75.656
"ADIPOR1"	"Adipor1"	75.19877
"ADIPOR2"	"Adipor2"	73.29838
"ADK"	"Adk"	68.4468
"ADM"	"Adm"	75.51945
"ADM2"	"Adm2"	76.28813
"ADNP"	"Adnp"	76.756775
"ADNP2"	"Adnp2"	75.21718
"ADO"	"Ado"	75.68696
"ADORA1"	"Adora1"	74.894775
"ADORA2A"	"Adora2a"	74.76367
"ADORA2B"	"Adora2b"	73.94484
"ADORA3"	"Adora3"	77.402794
"ADPGK"	"Adpgk"	72.48952
"ADPRH"	"Adprh"	72.51816
"ADPRHL1"	"Adprhl1"	74.02605
"ADPRM"	"Adprm"	73.41614
"ADRA1B"	"Adra1b"	73.508156
"ADRA1D"	"Adra1d"	73.09499
"ADRA2A"	"Adra2a"	73.282135
"ADRA2B"	"Adra2b"	73.78303
"ADRA2C"	"Adra2c"	72.78598
"ADRB1"	"Adrb1"	73.308716
"ADRB2"	"Adrb2"	74.5824
"ADRB3"	"Adrb3"	77.41197
"ADRM1"	"Adrm1"	72.951706
"ADSL"	"Adsl"	72.92391
"ADSS"	"Adss"	89.93341
"ADSSL1"	"Adssl1"	91.1696
"ADTRP"	"Adtrp"	75.89922
"AEBP1"	"Aebp1"	74.11745
"AEBP2"	"Aebp2"	72.33534
"AEN"	"Aen"	75.875374
"AFAP1"	"Afap1"	72.91727
"AFAP1L1"	"Afap1l1"	76.03846
"AFAP1L2"	"Afap1l2"	72.05799
"AFDN"	"Afdn"	74.39101
"AFF1"	"Aff1"	72.993996
"AFF2"	"Aff2"	73.506935
"AFF3"	"Aff3"	73.071014
"AFF4"	"Aff4"	73.41836
"AFG1L"	"Afg1l"	75.123886
"AFG3L2"	"Afg3l2"	73.20451
"AFM"	"Afm"	78.14721
"AFMID"	"Afmid"	72.48592
"AFP"	"Afp"	79.62691
"AFTPH"	"Aftph"	75.44714
"AGA"	"Aga"	72.78149
"AGAP1"	"Agap1"	74.36488
"AGAP2"	"Agap2"	72.58441
"AGAP3"	"Agap3"	73.62133
"AGBL1"	"Agbl1"	73.58363
"AGBL2"	"Agbl2"	74.18966
"AGBL3"	"Agbl3"	76.81461
"AGBL4"	"Agbl4"	73.39131
"AGBL5"	"Agbl5"	70.64317
"AGER"	"Ager"	77.07334
"AGFG1"	"Agfg1"	74.415436
"AGFG2"	"Agfg2"	74.62754
"AGGF1"	"Aggf1"	73.32266
"AGK"	"Agk"	73.09499
"AGL"	"Agl"	75.36953
"AGMAT"	"Agmat"	72.863
"AGMO"	"Agmo"	73.02933
"AGO1"	"Ago1"	76.15199
"AGO2"	"Ago2"	72.107956
"AGO3"	"Ago3"	78.22554
"AGO4"	"Ago4"	74.5824
"AGPAT1"	"Agpat1"	75.75933
"AGPAT2"	"Agpat2"	73.49064
"AGPAT3"	"Agpat3"	72.78957
"AGPAT4"	"Agpat4"	72.46125
"AGPAT5"	"Agpat5"	72.55051
"AGPS"	"Agps"	72.888176
"AGR2"	"Agr2"	73.54325
"AGR3"	"Agr3"	76.21312
"AGRN"	"Agrn"	73.166336
"AGRP"	"Agrp"	74.639694
"AGTPBP1"	"Agtpbp1"	71.38396
"AGTR2"	"Agtr2"	74.283676
"AGTRAP"	"Agtrap"	75.44714
"AGXT"	"Agxt"	74.718765
"AGXT2"	"Agxt2"	73.05594
"AHCTF1"	"Ahctf1"	72.863
"AHCY"	"Ahcy"	71.01391
"AHCYL1"	"Ahcyl1"	72.58956
"AHCYL2"	"Ahcyl2"	75.4409
"AHDC1"	"Ahdc1"	73.177574
"AHI1"	"Ahi1"	72.92391
"AHNAK"	"Ahnak"	75.33131
"AHNAK2"	"Ahnak2"	80.163925
"AHR"	"Ahr"	76.447205
"AHRR"	"Ahrr"	75.89922
"AHSA1"	"Ahsa1"	74.22447
"AHSG"	"Ahsg"	75.12557
"AHSP"	"Ahsp"	80.271194
"AICDA"	"Aicda"	72.62215
"AIDA"	"Aida"	72.914925
"AIF1"	"Aif1"	76.911674
"AIF1L"	"Aif1l"	71.58326
"AIFM1"	"Aifm1"	73.66125
"AIFM2"	"Aifm2"	73.52821
"AIFM3"	"Aifm3"	74.50333
"AIG1"	"Aig1"	72.62117
"AIM2"	"Aim2"	82.22972
"AIMP1"	"Aimp1"	74.62754
"AIMP2"	"Aimp2"	72.327446
"AIPL1"	"Aipl1"	74.41398
"AIRE"	"Aire"	73.52979
"AJAP1"	"Ajap1"	72.72054
"AJUBA"	"Ajuba"	74.44884
"AK1"	"Ak1"	72.62844
"AK2"	"Ak2"	72.00144
"AK3"	"Ak3"	72.13706
"AK4"	"Ak4"	73.859436
"AK5"	"Ak5"	73.31595
"AK7"	"Ak7"	74.72462
"AK8"	"Ak8"	72.75555
"AK9"	"Ak9"	72.559746
"AKAP1"	"Akap1"	73.45529
"AKAP10"	"Akap10"	72.98623
"AKAP11"	"Akap11"	72.68441
"AKAP12"	"Akap12"	73.89981
"AKAP13"	"Akap13"	74.56972
"AKAP14"	"Akap14"	76.21847
"AKAP17A"	"Akap17a"	73.49234
"AKAP3"	"Akap3"	75.38093
"AKAP4"	"Akap4"	77.27591
"AKAP5"	"Akap5"	75.57838
"AKAP6"	"Akap6"	73.8765
"AKAP7"	"Akap7"	73.68071
"AKAP8"	"Akap8"	75.80634
"AKAP8L"	"Akap8l"	74.07665
"AKAP9"	"Akap9"	73.04739
"AKIP1"	"Akip1"	73.44255
"AKIRIN1"	"Akirin1"	74.241646
"AKIRIN2"	"Akirin2"	72.106255
"AKNA"	"Akna"	74.49742
"AKNAD1"	"Aknad1"	75.75933
"AKR1A1"	"Akr1a1"	73.42933
"AKR1B10"	"Akr1b10"	82.85026
"AKR1D1"	"Akr1d1"	72.42945
"AKT1"	"Akt1"	72.75381
"AKT1S1"	"Akt1s1"	74.19584
"AKT2"	"Akt2"	73.77742
"AKT3"	"Akt3"	75.167175
"AKTIP"	"Aktip"	74.45243
"ALAD"	"Alad"	72.916374
"ALAS1"	"Alas1"	72.181305
"ALAS2"	"Alas2"	73.548775
"ALCAM"	"Alcam"	74.847336
"ALDH16A1"	"Aldh16a1"	74.49752
"ALDH18A1"	"Aldh18a1"	71.35262
"ALDH1A1"	"Aldh1a1"	74.95261
"ALDH1A2"	"Aldh1a2"	72.64048
"ALDH1A3"	"Aldh1a3"	73.16555
"ALDH1B1"	"Aldh1b1"	79.188896
"ALDH1L1"	"Aldh1l1"	75.763
"ALDH1L2"	"Aldh1l2"	72.854225
"ALDH2"	"Aldh2"	74.62754
"ALDH3A1"	"Aldh3a1"	78.20597
"ALDH3A2"	"Aldh3a2"	75.98063
"ALDH3B1"	"Aldh3b1"	76.46225
"ALDH3B2"	"Aldh3b2"	78.52118
"ALDH4A1"	"Aldh4a1"	72.85458
"ALDH5A1"	"Aldh5a1"	73.020996
"ALDH6A1"	"Aldh6a1"	71.97151
"ALDH7A1"	"Aldh7a1"	72.828964
"ALDH8A1"	"Aldh8a1"	72.68755
"ALDH9A1"	"Aldh9a1"	74.95261
"ALDOA"	"Aldoa"	77.34641
"ALDOA"	"Aldoa"	77.21656
"ALDOB"	"Aldob"	73.06004
"ALDOC"	"Aldoc"	74.73222
"ALG1"	"Alg1"	72.95633
"ALG10B"	"Alg10b"	91.1696
"ALG11"	"Alg11"	72.36326
"ALG12"	"Alg12"	72.0181
"ALG13"	"Alg13"	75.02865
"ALG14"	"Alg14"	72.61567
"ALG2"	"Alg2"	72.27319
"ALG3"	"Alg3"	72.46076
"ALG5"	"Alg5"	72.04843
"ALG6"	"Alg6"	72.91727
"ALG8"	"Alg8"	71.26747
"ALG9"	"Alg9"	72.58956
"ALK"	"Alk"	71.29812
"ALKAL1"	"Alkal1"	73.45529
"ALKAL2"	"Alkal2"	74.6738
"ALKBH1"	"Alkbh1"	73.071014
"ALKBH2"	"Alkbh2"	71.37514
"ALKBH3"	"Alkbh3"	72.36048
"ALKBH4"	"Alkbh4"	73.100555
"ALKBH5"	"Alkbh5"	72.55501
"ALKBH6"	"Alkbh6"	73.224304
"ALKBH7"	"Alkbh7"	73.41836
"ALKBH8"	"Alkbh8"	71.29995
"ALLC"	"Allc"	73.4552
"ALMS1"	"Alms1"	73.60506
"ALOX12"	"Alox12"	76.28813
"ALOX12B"	"Alox12b"	78.46629
"ALOX15"	"Alox15"	79.82899
"ALOX5"	"Alox5"	75.79213
"ALOX5AP"	"Alox5ap"	74.441444
"ALOXE3"	"Aloxe3"	77.5481
"ALPI"	"Alpi"	82.09718
"ALPK1"	"Alpk1"	73.54471
"ALPK2"	"Alpk2"	73.47969
"ALPK3"	"Alpk3"	74.45243
"ALPL"	"Alpl"	72.75381
"ALS2"	"Als2"	75.44714
"ALS2CL"	"Als2cl"	74.368286
"ALX1"	"Alx1"	72.654724
"ALX3"	"Alx3"	73.62133
"ALX4"	"Alx4"	74.45243
"ALYREF"	"Alyref"	73.7004
"AMACR"	"Amacr"	72.76144
"AMBN"	"Ambn"	77.556114
"AMBP"	"Ambp"	74.814896
"AMBRA1"	"Ambra1"	74.70589
"AMD1"	"Amd1"	72.83133
"AMDHD1"	"Amdhd1"	73.05594
"AMDHD2"	"Amdhd2"	73.03588
"AMELX"	"Amelx"	78.50853
"AMER1"	"Amer1"	72.68441
"AMER2"	"Amer2"	72.95886
"AMER3"	"Amer3"	75.930466
"AMFR"	"Amfr"	74.36838
"AMH"	"Amh"	72.92221
"AMHR2"	"Amhr2"	75.98242
"AMIGO1"	"Amigo1"	73.06484
"AMIGO2"	"Amigo2"	75.12557
"AMIGO3"	"Amigo3"	72.89721
"AMMECR1"	"Ammecr1"	73.31449
"AMMECR1L"	"Ammecr1l"	74.6738
"AMN1"	"Amn1"	74.06985
"AMOT"	"Amot"	73.66065
"AMOTL1"	"Amotl1"	75.186966
"AMOTL2"	"Amotl2"	75.43092
"AMPD1"	"Ampd1"	73.83653
"AMPD2"	"Ampd2"	74.44884
"AMPD3"	"Ampd3"	74.3273
"AMPH"	"Amph"	71.30099
"AMT"	"Amt"	71.32532
"AMTN"	"Amtn"	77.966545
"AMY2B"	"Amy2b"	89.21674
"AMZ1"	"Amz1"	76.23111
"AMZ2"	"Amz2"	75.21718
"ANAPC1"	"Anapc1"	72.21425
"ANAPC10"	"Anapc10"	73.04273
"ANAPC11"	"Anapc11"	72.242386
"ANAPC13"	"Anapc13"	73.28573
"ANAPC15"	"Anapc15"	73.26123
"ANAPC16"	"Anapc16"	73.20107
"ANAPC2"	"Anapc2"	73.00701
"ANAPC4"	"Anapc4"	71.9422
"ANAPC5"	"Anapc5"	73.10415
"ANAPC7"	"Anapc7"	73.057396
"ANG"	"Ang"	80.92042
"ANGEL1"	"Angel1"	72.58441
"ANGEL2"	"Angel2"	72.936165
"ANGPT1"	"Angpt1"	72.82019
"ANGPT2"	"Angpt2"	74.71853
"ANGPT4"	"Angpt4"	73.56727
"ANGPTL1"	"Angptl1"	75.686874
"ANGPTL2"	"Angptl2"	74.43831
"ANGPTL3"	"Angptl3"	73.4552
"ANGPTL4"	"Angptl4"	73.13646
"ANGPTL6"	"Angptl6"	75.06831
"ANGPTL7"	"Angptl7"	73.14006
"ANGPTL8"	"Angptl8"	79.282265
"ANK1"	"Ank1"	75.47166
"ANK2"	"Ank2"	75.0413
"ANK3"	"Ank3"	75.03923
"ANKAR"	"Ankar"	75.44714
"ANKDD1A"	"Ankdd1a"	73.025375
"ANKDD1B"	"Ankdd1b"	73.78303
"ANKEF1"	"Ankef1"	76.131905
"ANKFN1"	"Ankfn1"	72.98577
"ANKFY1"	"Ankfy1"	72.79675
"ANKHD1"	"Ankhd1"	79.570526
"ANKIB1"	"Ankib1"	74.15105
"ANKK1"	"Ankk1"	73.09107
"ANKLE1"	"Ankle1"	73.98131
"ANKLE2"	"Ankle2"	72.75371
"ANKMY1"	"Ankmy1"	74.67299
"ANKMY2"	"Ankmy2"	74.241646
"ANKRA2"	"Ankra2"	73.23999
"ANKRD1"	"Ankrd1"	73.68198
"ANKRD10"	"Ankrd10"	75.57692
"ANKRD11"	"Ankrd11"	72.88915
"ANKRD12"	"Ankrd12"	73.75855
"ANKRD13A"	"Ankrd13a"	73.09499
"ANKRD13B"	"Ankrd13b"	72.622055
"ANKRD13C"	"Ankrd13c"	73.2726
"ANKRD13D"	"Ankrd13d"	73.94043
"ANKRD16"	"Ankrd16"	72.33525
"ANKRD17"	"Ankrd17"	74.811295
"ANKRD2"	"Ankrd2"	74.73222
"ANKRD22"	"Ankrd22"	73.35621
"ANKRD23"	"Ankrd23"	77.27799
"ANKRD24"	"Ankrd24"	73.8765
"ANKRD26"	"Ankrd26"	80.93837
"ANKRD27"	"Ankrd27"	73.78473
"ANKRD28"	"Ankrd28"	75.05215
"ANKRD29"	"Ankrd29"	72.993996
"ANKRD31"	"Ankrd31"	75.875374
"ANKRD33"	"Ankrd33"	76.62709
"ANKRD33B"	"Ankrd33b"	75.98601
"ANKRD34A"	"Ankrd34a"	75.96885
"ANKRD34B"	"Ankrd34b"	75.222946
"ANKRD34C"	"Ankrd34c"	74.62928
"ANKRD35"	"Ankrd35"	76.23121
"ANKRD36"	"Ankrd36"	95.82786
"ANKRD37"	"Ankrd37"	75.12557
"ANKRD39"	"Ankrd39"	73.89981
"ANKRD40"	"Ankrd40"	72.741066
"ANKRD42"	"Ankrd42"	76.95535
"ANKRD44"	"Ankrd44"	72.622055
"ANKRD45"	"Ankrd45"	76.079506
"ANKRD46"	"Ankrd46"	74.28368
"ANKRD49"	"Ankrd49"	72.931595
"ANKRD50"	"Ankrd50"	72.57183
"ANKRD52"	"Ankrd52"	75.004
"ANKRD53"	"Ankrd53"	74.62754
"ANKRD54"	"Ankrd54"	73.078636
"ANKRD55"	"Ankrd55"	74.76487
"ANKRD6"	"Ankrd6"	74.35193
