	source	interaction	target
214	TUBA4A	interacts with	SUMO1
215	TUBA4A	interacts with	RAP1A
216	TUBA4A	interacts with	GARS
217	TUBA4A	interacts with	MAPK1
218	TUBA4A	interacts with	HSP90AB1
219	TUBA4A	interacts with	MAP2K3
220	TUBA4A	interacts with	NBR1
221	TUBA4A	interacts with	NYX
222	TUBA4A	interacts with	YWHAB
223	TUBA4A	interacts with	ILK
224	TUBA4A	interacts with	RPL4
225	TUBA4A	interacts with	RIT2
226	TUBA4A	interacts with	DNAJA3
227	TUBA4A	interacts with	PPP3CA
228	TUBA4A	interacts with	CCP110
229	TUBA4A	interacts with	SPTBN1
230	TUBA4A	interacts with	H2AFY
231	TUBA4A	interacts with	HDLBP
232	TUBA4A	interacts with	TBCC
233	TUBA4A	interacts with	EXOSC10
234	TUBA4A	interacts with	STK4
235	TUBA4A	interacts with	TBCD
236	TUBA4A	interacts with	HNRNPA3
237	TUBA4A	interacts with	NDE1
238	TUBA4A	interacts with	STAU1
239	TUBA4A	interacts with	HIST1H4E
240	TUBA4A	interacts with	AGPAT1
241	TUBA4A	interacts with	PSMC3
242	TUBA4A	interacts with	EIF3A
243	TUBA4A	interacts with	TTBK2
244	TUBA4A	interacts with	PPP2R2A
245	TUBA4A	interacts with	HMGCR
246	TUBA4A	interacts with	RPL28
247	TUBA4A	interacts with	STMN4
248	TUBA4A	interacts with	SNU13
249	TUBA4A	interacts with	TUBA4B
250	TUBA4A	interacts with	HHAT
251	TUBA4A	interacts with	PLEC
252	TUBA4A	interacts with	KPNB1
253	TUBA4A	interacts with	RAD51
254	TUBA4A	interacts with	MYO5C
255	BAK1	interacts with	MAP2K1
256	BAK1	interacts with	CANX
257	BAK1	interacts with	MAP2K3
258	BAK1	interacts with	IGF2R
259	BAK1	interacts with	ILK
260	BAK1	interacts with	SNRPC
261	BAK1	interacts with	BCL2
262	BAK1	interacts with	PKP3
263	BAK1	interacts with	SPNS1
264	BAK1	interacts with	GTF3C1
265	BAK1	interacts with	TPBG
266	BAK1	interacts with	CAPN1
267	BAK1	interacts with	SDC1
268	BAK1	interacts with	AGTRAP
269	TMEM214	interacts with	GTF3C1
270	TMEM214	interacts with	HYOU1
271	TMEM214	interacts with	MRPL2
272	TMEM214	interacts with	AGPAT1
273	SPG7	interacts with	VPS4A
274	SPG7	interacts with	MAST3
275	SPG7	interacts with	EXOSC10
276	SPG7	interacts with	VPS39
277	SPG7	interacts with	GTF3C1
278	SPG7	interacts with	SUGP2
279	SPG7	interacts with	PEX6
280	SPG7	interacts with	AGPAT1
281	SPG7	interacts with	TPGS1
282	SPG7	interacts with	KLHDC3
283	SPG7	interacts with	ANKZF1
284	EHMT2	interacts with	NCOA3
285	EHMT2	interacts with	YWHAB
286	EHMT2	interacts with	MAP2K5
287	EHMT2	interacts with	CAMK2G
288	EHMT2	interacts with	ABL1
289	EHMT2	interacts with	EXOSC10
290	EHMT2	interacts with	HIST1H4E
291	EHMT2	interacts with	HIST1H3C
292	EHMT2	interacts with	KDM5A
293	EHMT2	interacts with	SPG7
294	EHMT2	interacts with	EPHB2
295	EHMT2	interacts with	GTF3C1
296	EHMT2	interacts with	NSD2
297	EHMT2	interacts with	KIF22
298	EHMT2	interacts with	DNAJC4
299	EHMT2	interacts with	GFI1B
300	EHMT2	interacts with	TFAP4
301	EHMT2	interacts with	ZBTB40
302	EHMT2	interacts with	PLEC
303	EHMT2	interacts with	TBCD
304	EHMT2	interacts with	THAP7
305	EHMT2	interacts with	RCOR2
306	EHMT2	interacts with	DAPK3
307	EHMT2	interacts with	HIST1H3A
308	EHMT2	interacts with	AGPAT1
309	EHMT2	interacts with	GATAD2A
310	EHMT2	interacts with	KLHDC3
311	EHMT2	interacts with	RD3
312	EHMT2	interacts with	BCL11B
313	EHMT2	interacts with	HCFC1
314	EHMT2	interacts with	ANKRD63
315	ARFGEF2	interacts with	PRKAR1A
316	ARFGEF2	interacts with	CANX
317	ARFGEF2	interacts with	MAPK1
318	ARFGEF2	interacts with	TAF1
319	ARFGEF2	interacts with	NCOA3
320	ARFGEF2	interacts with	IPO4
321	ARFGEF2	interacts with	RPL4
322	ARFGEF2	interacts with	TUBA4A
323	ARFGEF2	interacts with	CCL14
324	ARFGEF2	interacts with	VPS18
325	ARFGEF2	interacts with	AGPAT1
326	ARFGEF2	interacts with	AVL9
327	ARFGEF2	interacts with	PRKCA
328	MRPL2	interacts with	RPL4
329	MRPL2	interacts with	RALYL
330	MRPL2	interacts with	THAP4
331	RABEP2	interacts with	GTF3C1
332	GTF3C1	interacts with	VPS4A
333	GTF3C1	interacts with	PEX6
334	GTF3C1	interacts with	ERC1
335	GTF3C1	interacts with	AGPAT1
336	GTF3C1	interacts with	HCFC1
337	GTF3C1	interacts with	HYOU1
338	GTF3C1	interacts with	KIF22
339	AARS2	interacts with	ARHGEF26
340	PSMC3	interacts with	SUMO1
341	PSMC3	interacts with	EIF2AK4
342	PSMC3	interacts with	CANX
343	PSMC3	interacts with	GARS
344	PSMC3	interacts with	MAPK1
345	PSMC3	interacts with	MAPK6
346	PSMC3	interacts with	HSP90AB1
347	PSMC3	interacts with	GDE1
348	PSMC3	interacts with	TAF1
349	PSMC3	interacts with	YWHAB
350	PSMC3	interacts with	ILK
351	PSMC3	interacts with	VPS4A
352	PSMC3	interacts with	MEA1
353	PSMC3	interacts with	RPL4
354	PSMC3	interacts with	SNU13
355	PSMC3	interacts with	DNAJA3
356	PSMC3	interacts with	HDLBP
357	PSMC3	interacts with	NDUFS3
358	PSMC3	interacts with	OIP5
359	PSMC3	interacts with	SPG7
360	PSMC3	interacts with	H2AFY
361	PSMC3	interacts with	SNRPC
362	PSMC3	interacts with	PEX6
363	PSMC3	interacts with	FUS
364	PSMC3	interacts with	KPNA3
365	PSMC3	interacts with	EHMT2
366	PSMC3	interacts with	EXOSC10
367	PSMC3	interacts with	KAT14
368	PSMC3	interacts with	MRPL2
369	PSMC3	interacts with	HNRNPA3
370	PSMC3	interacts with	CRKL
371	PSMC3	interacts with	KLHDC3
372	PSMC3	interacts with	TSR2
373	PSMC3	interacts with	PPP2R2A
374	PSMC3	interacts with	AXIN1
375	PSMC3	interacts with	EIF3A
376	PSMC3	interacts with	KATNAL1
377	PSMC3	interacts with	CCDC40
378	PSMC3	interacts with	KIF22
379	PSMC3	interacts with	XRCC5
380	PSMC3	interacts with	CCDC22
381	PSMC3	interacts with	DAPK3
382	PSMC3	interacts with	YEATS2
383	PSMC3	interacts with	KPNB1
384	PSMC3	interacts with	SSR4
385	PSMC3	interacts with	ZFAND2B
386	PSMC3	interacts with	CTNNBL1
387	HYOU1	interacts with	MRPL2
388	HYOU1	interacts with	AGPAT1
389	EPS8L1	interacts with	NCOA3
390	EPS8L1	interacts with	SLC6A7
391	EPS8L1	interacts with	ZBTB18
392	EPS8L1	interacts with	DOC2A
393	EPS8L1	interacts with	SPTBN5
394	EPS8L1	interacts with	BCL2
395	EPS8L1	interacts with	KIF13B
396	EPS8L1	interacts with	IQCK
397	EPS8L1	interacts with	NME5
398	EPS8L1	interacts with	CCDC40
399	EPS8L1	interacts with	TRIM66
400	EPS8L1	interacts with	GFI1B
401	RAD51	interacts with	MAP2K1
402	RAD51	interacts with	SUMO1
403	RAD51	interacts with	HSP90AB1
404	RAD51	interacts with	RB1
405	RAD51	interacts with	TAF1
406	RAD51	interacts with	PTCH2
407	RAD51	interacts with	PAPSS1
408	RAD51	interacts with	KNSTRN
409	RAD51	interacts with	DNAJA3
410	RAD51	interacts with	INSR
411	RAD51	interacts with	OIP5
412	RAD51	interacts with	SNRPC
413	RAD51	interacts with	NSD2
414	RAD51	interacts with	RSRC1
415	RAD51	interacts with	MRPL2
416	RAD51	interacts with	SMARCC1
417	RAD51	interacts with	TYRO3
418	RAD51	interacts with	CDIPT
419	RAD51	interacts with	HNRNPA3
420	RAD51	interacts with	NAPRT
421	RAD51	interacts with	RPL39L
422	RAD51	interacts with	AC004223.3
423	RAD51	interacts with	AKT3
424	RAD51	interacts with	SNX32
425	RAD51	interacts with	KPNB1
426	RAD51	interacts with	ABL1
427	RAD51	interacts with	HMGCR
428	RAD51	interacts with	AARS2
429	RAD51	interacts with	CENPF
430	RAD51	interacts with	CTNNBL1
431	RAD51	interacts with	SWI5
432	RAD51	interacts with	KIF22
433	RAD51	interacts with	XRCC5
434	ABCB8	interacts with	YWHAB
435	ABCB8	interacts with	MMP11
436	ABCB8	interacts with	TMEM214
437	ABCB8	interacts with	DNAJA3
438	ABCB8	interacts with	ABL1
439	ABCB8	interacts with	PLEC
440	ABCB8	interacts with	LDB2
441	ABCB8	interacts with	DNAJC4
442	NPEPPS	interacts with	SUMO1
443	NPEPPS	interacts with	SP3
444	NPEPPS	interacts with	PRKAR1A
445	NPEPPS	interacts with	KDM3B
446	NPEPPS	interacts with	DTD1
447	NPEPPS	interacts with	CANX
448	NPEPPS	interacts with	GARS
449	NPEPPS	interacts with	MAPK1
450	NPEPPS	interacts with	MAPK6
451	NPEPPS	interacts with	GCLC
452	NPEPPS	interacts with	HSP90AB1
453	NPEPPS	interacts with	RSRC2
454	NPEPPS	interacts with	GDE1
455	NPEPPS	interacts with	C2CD5
456	NPEPPS	interacts with	UFSP2
457	NPEPPS	interacts with	NBR1
458	NPEPPS	interacts with	ADD3
459	NPEPPS	interacts with	YWHAB
460	NPEPPS	interacts with	ZBTB18
461	NPEPPS	interacts with	IPO4
462	NPEPPS	interacts with	TUBA4A
463	NPEPPS	interacts with	KPNA3
464	NPEPPS	interacts with	VPS8
465	NPEPPS	interacts with	STAU1
466	NPEPPS	interacts with	VPS33A
467	NPEPPS	interacts with	ZNF106
468	NPEPPS	interacts with	PSMC3
469	NPEPPS	interacts with	EIF3A
470	NPEPPS	interacts with	HELZ
471	NPEPPS	interacts with	VPS18
472	NPEPPS	interacts with	CLN3
473	NPEPPS	interacts with	PPP2R2A
474	NPEPPS	interacts with	ZFC3H1
475	NPEPPS	interacts with	KPNB1
476	NPEPPS	interacts with	VPS11
477	NPEPPS	interacts with	XRCC5
478	MYH2	interacts with	MAPK1
479	MYH2	interacts with	HSP90AB1
480	MYH2	interacts with	TAF1
481	MYH2	interacts with	CACNA1C
482	MYH2	interacts with	DMD
483	MYH2	interacts with	AKAP6
484	MYH2	interacts with	MYF5
485	MYH2	interacts with	CASQ2
486	MYH2	interacts with	KPNA3
487	MYH2	interacts with	HDLBP
488	MYH2	interacts with	SCN4A
489	MYH2	interacts with	FOXO1
490	MYH2	interacts with	TUB
491	MYH2	interacts with	CACNB1
492	MYH2	interacts with	PRKCA
493	MYH2	interacts with	GRIA3
494	MYH2	interacts with	MYOZ2
495	MYH2	interacts with	PDLIM3
496	MYH2	interacts with	BAIAP2
497	MYH2	interacts with	PCSK2
498	MYH2	interacts with	SLIT3
499	MYH2	interacts with	POU1F1
500	MYH2	interacts with	MYH4
501	MYH2	interacts with	SLC6A7
502	MYH2	interacts with	MYO5C
503	MAPK1	interacts with	MAP2K1
504	MAPK1	interacts with	SUMO1
505	MAPK1	interacts with	RAP1A
506	MAPK1	interacts with	CANX
507	MAPK1	interacts with	GARS
508	MAPK1	interacts with	IGF2R
509	MAPK1	interacts with	UTRN
510	MAPK1	interacts with	NSD2
511	MAPK1	interacts with	BCL2
512	MAPK1	interacts with	DUSP6
513	MAPK1	interacts with	KPNA3
514	MAPK1	interacts with	FOXO1
515	MAPK1	interacts with	MRPL2
516	MAPK1	interacts with	NCOA3
517	MAPK1	interacts with	CCL14
518	MAPK1	interacts with	PRKCA
519	MAPK1	interacts with	LIN7C
520	MAPK1	interacts with	CRKL
521	MAPK1	interacts with	NDE1
522	MAPK1	interacts with	NAV1
523	MAPK1	interacts with	KLHDC3
524	MAPK1	interacts with	HIST1H4E
525	MAPK1	interacts with	PRPH
526	MAPK1	interacts with	EIF3A
527	MAPK1	interacts with	TTBK2
528	MAPK1	interacts with	PPP2R2A
529	MAPK1	interacts with	PPP2R2C
530	MAPK1	interacts with	MTIF3
531	MAPK1	interacts with	CAMK2G
532	MAPK1	interacts with	SDC1
533	MAPK1	interacts with	ZNF768
534	MAPK1	interacts with	AKT3
535	MAPK1	interacts with	MAP2K5
536	MAPK1	interacts with	NEK5
537	MAPK1	interacts with	NBR1
538	MAPK1	interacts with	XRCC5
539	MAPK1	interacts with	EPHB2
540	MAPK1	interacts with	PAPSS1
541	MAPK1	interacts with	DAPK3
542	MAPK1	interacts with	DAPK2
543	MAPK1	interacts with	MAP2K3
544	MAPK1	interacts with	MAP2K6
545	MAPK1	interacts with	ABL1
546	TAF1	interacts with	MAP2K1
547	TAF1	interacts with	SUMO1
548	TAF1	interacts with	ZNF263
549	TAF1	interacts with	KDM3B
550	TAF1	interacts with	DTD1
551	TAF1	interacts with	GARS
552	TAF1	interacts with	MAPK1
553	TAF1	interacts with	GCLC
554	TAF1	interacts with	STX4
555	TAF1	interacts with	CHST3
556	TAF1	interacts with	IGF2R
557	TAF1	interacts with	SOX6
558	TAF1	interacts with	DNAJA3
559	TAF1	interacts with	UTRN
560	TAF1	interacts with	TIMM17A
561	TAF1	interacts with	ENDOV
562	TAF1	interacts with	GFI1B
563	TAF1	interacts with	INSR
564	TAF1	interacts with	NDUFS3
565	TAF1	interacts with	FAM53C
566	TAF1	interacts with	NKTR
567	TAF1	interacts with	BCL2
568	TAF1	interacts with	PEX6
569	TAF1	interacts with	CCDC34
570	TAF1	interacts with	FUS
571	TAF1	interacts with	TRIM66
572	TAF1	interacts with	KPNA3
573	TAF1	interacts with	POLR2J4
574	TAF1	interacts with	ZKSCAN2
575	TAF1	interacts with	ZKSCAN5
576	TAF1	interacts with	TAF4
577	TAF1	interacts with	HIST1H4E
578	TAF1	interacts with	ERI2
579	TAF1	interacts with	GTF3C2
580	TAF1	interacts with	CMC4
581	TAF1	interacts with	METTL2A
582	TAF1	interacts with	GDAP2
583	TAF1	interacts with	BCL11B
584	TAF1	interacts with	TMEM214
585	TAF1	interacts with	SEPHS2
586	TAF1	interacts with	MON1B
587	TAF1	interacts with	POLR3A
588	TAF1	interacts with	DNAJC28
589	TAF1	interacts with	LDB2
590	TAF1	interacts with	RPL28
591	TAF1	interacts with	RPL4
592	TAF1	interacts with	KDM8
593	TAF1	interacts with	CACNB1
594	TAF1	interacts with	STK4
595	TAF1	interacts with	NCOA3
596	TAF1	interacts with	NCOA5
597	TAF1	interacts with	ERC1
598	TAF1	interacts with	LIN7C
599	TAF1	interacts with	BTN3A2
600	TAF1	interacts with	EIF3A
601	TAF1	interacts with	ASIC2
602	TAF1	interacts with	HIST1H3C
603	TAF1	interacts with	HIST1H3A
604	TAF1	interacts with	ILK
605	TAF1	interacts with	RABEP2
606	TAF1	interacts with	KIF22
607	TAF1	interacts with	CENPF
608	TAF1	interacts with	ZNF142
609	TAF1	interacts with	PKIA
610	TAF1	interacts with	TPGS1
611	TAF1	interacts with	KCTD3
612	TAF1	interacts with	HCFC1
613	TAF1	interacts with	ZBTB40
614	TAF1	interacts with	CRKL
615	TAF1	interacts with	IQCK
616	TAF1	interacts with	SKIDA1
617	TAF1	interacts with	TNRC6A
618	TAF1	interacts with	MYH4
619	TAF1	interacts with	TRIO
620	TAF1	interacts with	NBR1
621	TAF1	interacts with	CLN3
622	TAF1	interacts with	RRP8
623	TAF1	interacts with	XRCC5
624	TAF1	interacts with	VPS33B
625	TAF1	interacts with	TIMM10B
626	TAF1	interacts with	HSPA12A
627	TAF1	interacts with	KDM6B
628	TAF1	interacts with	DAPK3
629	TAF1	interacts with	MYO5C
630	TAF1	interacts with	CCDC40
631	TAF1	interacts with	ZIK1
632	TAF1	interacts with	PBLD
633	TAF1	interacts with	C17orf58
634	TAF1	interacts with	KDM5A
635	TAF1	interacts with	LZTFL1
636	CACNA1C	interacts with	CACNB1
637	CACNA1C	interacts with	PRKCA
638	CACNA1C	interacts with	GRIA3
639	CACNA1C	interacts with	CAMK2G
640	CACNA1C	interacts with	PPP2R2A
641	CACNA1C	interacts with	TRPC4
642	DMD	interacts with	CANX
643	DMD	interacts with	NCOA3
644	DMD	interacts with	CACNA1C
645	DMD	interacts with	LGR5
646	DMD	interacts with	TMEM214
647	DMD	interacts with	SLIT3
648	DMD	interacts with	SGCB
649	DMD	interacts with	CAMK2G
650	DMD	interacts with	MYO5C
651	DMD	interacts with	ZBTB20
652	DMD	interacts with	HMGCR
653	DMD	interacts with	UTRN
654	DMD	interacts with	TIAM1
655	DMD	interacts with	SPTBN1
656	DMD	interacts with	CRKL
657	DMD	interacts with	BCL2
658	DMD	interacts with	FOXO1
659	DMD	interacts with	PDLIM3
660	DMD	interacts with	MYF5
661	DMD	interacts with	GAS2
662	DMD	interacts with	CASQ2
663	DMD	interacts with	CADPS
664	DMD	interacts with	RAPSN
665	DMD	interacts with	PPP2R3A
666	DMD	interacts with	DAG1
667	AKAP6	interacts with	PTCH2
668	AKAP6	interacts with	CACNA1C
669	AKAP6	interacts with	SLC6A7
670	AKAP6	interacts with	CACNB1
671	AKAP6	interacts with	ABL1
672	AKAP6	interacts with	UTRN
673	AKAP6	interacts with	SPTBN5
674	AKAP6	interacts with	SPTBN1
675	AKAP6	interacts with	DMD
676	AKAP6	interacts with	ASIC2
677	AKAP6	interacts with	CASQ2
678	AKAP6	interacts with	NRCAM
679	AKAP6	interacts with	STMN4
680	AKAP6	interacts with	CADPS
681	MYF5	interacts with	NCOA3
682	MYF5	interacts with	SLC6A7
683	MYF5	interacts with	UTRN
684	MYF5	interacts with	RAPSN
685	MYF5	interacts with	MYOZ2
686	CASQ2	interacts with	CACNA1C
687	CASQ2	interacts with	CACNB1
688	CASQ2	interacts with	GTF3C1
689	CASQ2	interacts with	MYOZ2
690	KPNA3	interacts with	SUMO1
691	KPNA3	interacts with	GARS
692	KPNA3	interacts with	ZBTB18
693	KPNA3	interacts with	MYO5C
694	KPNA3	interacts with	PPP2R2A
695	KPNA3	interacts with	EIF3A
696	KPNA3	interacts with	PPP2R3A
697	KPNA3	interacts with	LIN7C
698	KPNA3	interacts with	XRCC5
699	KPNA3	interacts with	BCL11B
700	KPNA3	interacts with	KIF22
701	HDLBP	interacts with	CANX
702	HDLBP	interacts with	GARS
703	HDLBP	interacts with	SH3BP4
704	HDLBP	interacts with	PTCH2
705	HDLBP	interacts with	RPL4
706	HDLBP	interacts with	TMEM214
707	HDLBP	interacts with	NOVA1
708	HDLBP	interacts with	STK4
709	HDLBP	interacts with	GTF3C1
710	HDLBP	interacts with	TYRO3
711	HDLBP	interacts with	HYOU1
712	HDLBP	interacts with	EIF3A
713	HDLBP	interacts with	MYH4
714	HDLBP	interacts with	XRCC5
715	HDLBP	interacts with	AGPAT1
716	HDLBP	interacts with	DAG1
717	HDLBP	interacts with	SLC38A10
718	SCN4A	interacts with	CACNA1C
719	SCN4A	interacts with	SLC6A7
720	SCN4A	interacts with	MMP11
721	SCN4A	interacts with	CACNB1
722	SCN4A	interacts with	INSR
723	SCN4A	interacts with	RAPSN
724	SCN4A	interacts with	DNAJC4
725	SCN4A	interacts with	SPTBN5
726	SCN4A	interacts with	SPTBN1
727	SCN4A	interacts with	CLCN2
728	SCN4A	interacts with	TFAP4
729	SCN4A	interacts with	PRPH
730	SCN4A	interacts with	AATK
731	SCN4A	interacts with	CACNA1D
732	SCN4A	interacts with	GP2
733	SCN4A	interacts with	TRPM3
