description	name	p_value	precision	recall	query_size	effective_domain_size	intersection_size	native	source	term_size	intersections	community
"""Generation of cells within the nervous system."" [GO_REF:0000021, GOC:cls, GOC:curators, GOC:dgh, GOC:dph, GOC:jid]"	neurogenesis	2.8972348675157947e-06	0.1681109185441941	0.05712603062426384	577	18123	97	GO:0022008	GO:BP	1698	['EMX2', 'SYT17', 'SOX5', 'TIAM1', 'PRKD1', 'GATA3', 'GPC2', 'RB1', 'BAIAP2', 'PTK7', 'SOX8', 'SPOCK1', 'PRPH2', 'EPHB2', 'SLC45A3', 'NLGN1', 'SOX3', 'DAG1', 'PIK3R1', 'NR2F1', 'SPTBN5', 'TRIO', 'PRKCA', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'TRPC4', 'SYT2', 'SYT1', 'WNK1', 'NIN', 'XRCC5', 'CSPG4', 'PTPRK', 'MAPK1', 'HSP90AB1', 'MAPK6', 'LINGO1', 'EHMT2', 'BACE2', 'EIF2AK4', 'RIT2', 'TBCD', 'SKIL', 'SYT4', 'NAV1', 'SPINT1', 'GBA', 'CRB2', 'ELAVL4', 'CLMN', 'BDNF', 'NUMBL', 'KIF13B', 'RAP1A', 'PPP2R3A', 'BCL2', 'DMD', 'MMP24', 'SLIT3', 'TULP1', 'TNIK', 'ILK', 'RASAL1', 'AKNA', 'GPC1', 'FSCN2', 'TPBG', 'RIMS2', 'UNK', 'PTPRD', 'CAMK2G', 'CASZ1', 'GPRC5B', 'NRCAM', 'DCHS1', 'RASGRF1', 'VSTM2L', 'SPTBN1', 'NDE1', 'CSPG5', 'PPP3CA', 'CPNE6', 'DAPK3', 'MACF1', 'CRKL', 'NRXN1', 'VSX1', 'THY1', 'JAM3', 'BCL11B', 'FEZ2', 'LMTK2', 'SOX6', 'GNAO1']	C877
"""A biological process in which synaptic vesicles are loaded with neurotransmitters, move to the active zone, exocytose and are then recycled via endocytosis, ultimately leading to reloading with neurotransmitters."" [GOC:aruk, GOC:bc, PMID:15217342]"	synaptic vesicle cycle	3.049537878341103e-06	0.0415944540727903	0.12631578947368421	577	18123	24	GO:0099504	GO:BP	190	['SYT12', 'CASK', 'CANX', 'RIMS4', 'NLGN1', 'CADPS', 'STX4', 'SYT2', 'SYT1', 'UNC13B', 'SYT7', 'SYT9', 'PLD2', 'RAP1A', 'STXBP5', 'RIMS2', 'RAB27B', 'SYT6', 'DOC2A', 'CSPG5', 'VPS18', 'NRXN1', 'FCHO2', 'DENND1A']	C877
"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a calcium ion stimulus."" [GOC:mah]"	cellular response to calcium ion	3.5167815608790397e-06	0.02772963604852686	0.18604651162790697	577	18123	16	GO:0071277	GO:BP	86	['SYT12', 'SYT17', 'NLGN1', 'SYT2', 'SYT1', 'WNK1', 'SYT7', 'SYT4', 'SYT9', 'FUS', 'RASAL1', 'RASA4', 'SYT6', 'CPNE4', 'CPNE6', 'NRXN1']	C877
"""Fusion of intracellular membrane-bounded vesicles with the pre-synaptic membrane of the neuronal cell resulting in release of neurotransmitter into the synaptic cleft."" [GOC:jid, GOC:lmg]"	synaptic vesicle exocytosis	3.925036835070082e-06	0.03119584055459272	0.16216216216216217	577	18123	18	GO:0016079	GO:BP	111	['SYT12', 'CASK', 'RIMS4', 'NLGN1', 'CADPS', 'STX4', 'SYT2', 'SYT1', 'UNC13B', 'SYT7', 'SYT9', 'RAP1A', 'STXBP5', 'RIMS2', 'SYT6', 'DOC2A', 'CSPG5', 'VPS18']	C877
"""The process whose specific outcome is the progression of a neuron projection over time, from its formation to the mature structure. A neuron projection is any process extending from a neural cell, such as axons or dendrites (collectively called neurites)."" [GOC:mah]"	neuron projection development	3.925036835070082e-06	0.11611785095320624	0.06562193927522038	577	18123	67	GO:0031175	GO:BP	1021	['SYT17', 'TIAM1', 'PRKD1', 'GATA3', 'GPC2', 'RB1', 'BAIAP2', 'PTK7', 'SPOCK1', 'EPHB2', 'NLGN1', 'DAG1', 'PIK3R1', 'NR2F1', 'SPTBN5', 'TRIO', 'PRKCA', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'PTPRK', 'MAPK1', 'HSP90AB1', 'MAPK6', 'LINGO1', 'EIF2AK4', 'RIT2', 'SKIL', 'SYT4', 'ELAVL4', 'CLMN', 'BDNF', 'NUMBL', 'KIF13B', 'RAP1A', 'BCL2', 'DMD', 'SLIT3', 'TULP1', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'TPBG', 'RIMS2', 'PTPRD', 'CAMK2G', 'NRCAM', 'RASGRF1', 'VSTM2L', 'SPTBN1', 'PPP3CA', 'CPNE6', 'MACF1', 'CRKL', 'NRXN1', 'THY1', 'JAM3', 'BCL11B', 'FEZ2', 'LMTK2', 'GNAO1']	C877
"""Any vesicle-mediated transport that occurs in a synapse."" [GOC:dos]"	vesicle-mediated transport in synapse	4.501911442016231e-06	0.043327556325823226	0.11848341232227488	577	18123	25	GO:0099003	GO:BP	211	['SYT12', 'CASK', 'CANX', 'RIMS4', 'NLGN1', 'CADPS', 'STX4', 'SYT2', 'SYT1', 'UNC13B', 'SYT7', 'SYT9', 'PLD2', 'RAP1A', 'CALY', 'STXBP5', 'RIMS2', 'RAB27B', 'SYT6', 'DOC2A', 'CSPG5', 'VPS18', 'NRXN1', 'FCHO2', 'DENND1A']	C877
"""The process in which the anatomical structures of a neuron projection are generated and organized. A neuron projection is any process extending from a neural cell, such as axons or dendrites."" [GOC:mah]"	neuron projection morphogenesis	5.48292699042834e-06	0.08665511265164645	0.07462686567164178	577	18123	50	GO:0048812	GO:BP	670	['SYT17', 'TIAM1', 'GATA3', 'BAIAP2', 'PTK7', 'EPHB2', 'NLGN1', 'DAG1', 'PIK3R1', 'SPTBN5', 'TRIO', 'PRKCA', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'MAPK1', 'HSP90AB1', 'LINGO1', 'EIF2AK4', 'SKIL', 'SYT4', 'ELAVL4', 'BDNF', 'NUMBL', 'KIF13B', 'BCL2', 'DMD', 'SLIT3', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'TPBG', 'RIMS2', 'PTPRD', 'NRCAM', 'VSTM2L', 'SPTBN1', 'PPP3CA', 'CPNE6', 'MACF1', 'NRXN1', 'THY1', 'BCL11B', 'FEZ2', 'LMTK2']	C877
"""The developmental process in which the size or shape of a cell is generated and organized."" [GOC:clt, GOC:dph, GOC:go_curators, GOC:tb]"	cell morphogenesis	8.404272607538493e-06	0.11611785095320624	0.06411483253588517	577	18123	67	GO:0000902	GO:BP	1045	['SYT17', 'TIAM1', 'GATA3', 'RB1', 'BAIAP2', 'PTK7', 'EPHB2', 'NLGN1', 'PACSIN2', 'DAG1', 'PIK3R1', 'VPS33A', 'UNC13D', 'SPTBN5', 'TRIO', 'PRKCA', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'NES', 'MAPK1', 'HSP90AB1', 'LINGO1', 'EIF2AK4', 'TBCD', 'SKIL', 'SYT4', 'ELAVL4', 'BDNF', 'NUMBL', 'KIF13B', 'TYRO3', 'BCL2', 'DMD', 'GAS2', 'SLIT3', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'TPBG', 'RIMS2', 'UNK', 'TBCC', 'PTPRD', 'ARHGEF26', 'NRCAM', 'DCHS1', 'STK4', 'VSTM2L', 'SPTBN1', 'CSPG5', 'PPP3CA', 'CPNE6', 'DAPK3', 'MACF1', 'CRKL', 'NRXN1', 'THY1', 'BCL11B', 'FEZ2', 'ARHGEF18', 'LMTK2']	C877
"""The process in which the anatomical structures of a plasma membrane bounded cell projection are generated and organized."" [GOC:krc]"	plasma membrane bounded cell projection morphogenesis	9.702384365832373e-06	0.08665511265164645	0.07309941520467836	577	18123	50	GO:0120039	GO:BP	684	['SYT17', 'TIAM1', 'GATA3', 'BAIAP2', 'PTK7', 'EPHB2', 'NLGN1', 'DAG1', 'PIK3R1', 'SPTBN5', 'TRIO', 'PRKCA', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'MAPK1', 'HSP90AB1', 'LINGO1', 'EIF2AK4', 'SKIL', 'SYT4', 'ELAVL4', 'BDNF', 'NUMBL', 'KIF13B', 'BCL2', 'DMD', 'SLIT3', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'TPBG', 'RIMS2', 'PTPRD', 'NRCAM', 'VSTM2L', 'SPTBN1', 'PPP3CA', 'CPNE6', 'MACF1', 'NRXN1', 'THY1', 'BCL11B', 'FEZ2', 'LMTK2']	C877
"""The process in which a relatively unspecialized cell acquires specialized features of a neuron."" [GOC:mah]"	neuron differentiation	1.2289077412769255e-05	0.1438474870017331	0.05816398037841626	577	18123	83	GO:0030182	GO:BP	1427	['EMX2', 'SYT17', 'TIAM1', 'PRKD1', 'GATA3', 'GPC2', 'RB1', 'BAIAP2', 'PTK7', 'SOX8', 'SPOCK1', 'PRPH2', 'EPHB2', 'NLGN1', 'SOX3', 'DAG1', 'PIK3R1', 'NR2F1', 'SPTBN5', 'TRIO', 'PRKCA', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'WNK1', 'NIN', 'PTPRK', 'MAPK1', 'HSP90AB1', 'MAPK6', 'LINGO1', 'EHMT2', 'EIF2AK4', 'RIT2', 'TBCD', 'SKIL', 'SYT4', 'GBA', 'CRB2', 'ELAVL4', 'CLMN', 'BDNF', 'NUMBL', 'KIF13B', 'RAP1A', 'PPP2R3A', 'BCL2', 'DMD', 'SLIT3', 'TULP1', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'FSCN2', 'TPBG', 'RIMS2', 'UNK', 'PTPRD', 'CAMK2G', 'CASZ1', 'GPRC5B', 'NRCAM', 'RASGRF1', 'VSTM2L', 'SPTBN1', 'PPP3CA', 'CPNE6', 'DAPK3', 'MACF1', 'CRKL', 'NRXN1', 'VSX1', 'THY1', 'JAM3', 'BCL11B', 'FEZ2', 'LMTK2', 'GNAO1']	C877
"""The process in which cellular structures, including whole cells or cell parts, are generated and organized."" [GOC:dph, GOC:mah, GOC:tb]"	cellular component morphogenesis	1.28264986123737e-05	0.09532062391681109	0.06900878293601004	577	18123	55	GO:0032989	GO:BP	797	['SYT17', 'TIAM1', 'GATA3', 'PRKAR1A', 'BAIAP2', 'PTK7', 'EPHB2', 'NLGN1', 'PACSIN2', 'DAG1', 'PIK3R1', 'SPTBN5', 'TRIO', 'PRKCA', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'NIN', 'NES', 'MAPK1', 'HSP90AB1', 'LINGO1', 'EIF2AK4', 'SKIL', 'SYT4', 'ELAVL4', 'BDNF', 'NUMBL', 'KIF13B', 'BCL2', 'DMD', 'SLIT3', 'TNIK', 'ILK', 'RASAL1', 'GPC1', 'TPBG', 'MYOZ2', 'RIMS2', 'PTPRD', 'NRCAM', 'VSTM2L', 'SPTBN1', 'CSPG5', 'PPP3CA', 'CPNE6', 'MACF1', 'NRXN1', 'THY1', 'BCL11B', 'FEZ2', 'LMTK2']	C877
"""The process in which nerve cells are generated. This includes the production of neuroblasts and their differentiation into neurons."" [GOC:nln]"	generation of neurons	1.3519987450447987e-05	0.15424610051993068	0.056472081218274114	577	18123	89	GO:0048699	GO:BP	1576	['EMX2', 'SYT17', 'SOX5', 'TIAM1', 'PRKD1', 'GATA3', 'GPC2', 'RB1', 'BAIAP2', 'PTK7', 'SOX8', 'SPOCK1', 'PRPH2', 'EPHB2', 'NLGN1', 'SOX3', 'DAG1', 'PIK3R1', 'NR2F1', 'SPTBN5', 'TRIO', 'PRKCA', 'STMN4', 'SLITRK6', 'ZSWIM6', 'MAP2K1', 'ABL1', 'SYT2', 'SYT1', 'WNK1', 'NIN', 'XRCC5', 'PTPRK', 'MAPK1', 'HSP90AB1', 'MAPK6', 'LINGO1', 'EHMT2', 'EIF2AK4', 'RIT2', 'TBCD', 'SKIL', 'SYT4', 'NAV1', 'SPINT1', 'GBA', 'CRB2', 'ELAVL4', 'CLMN', 'BDNF', 'NUMBL', 'KIF13B', 'RAP1A', 'PPP2R3A', 'BCL2', 'DMD', 'SLIT3', 'TULP1', 'TNIK', 'ILK', 'RASAL1', 'AKNA', 'GPC1', 'FSCN2', 'TPBG', 'RIMS2', 'UNK', 'PTPRD', 'CAMK2G', 'CASZ1', 'GPRC5B', 'NRCAM', 'RASGRF1', 'VSTM2L', 'SPTBN1', 'NDE1', 'PPP3CA', 'CPNE6', 'DAPK3', 'MACF1', 'CRKL', 'NRXN1', 'VSX1', 'THY1', 'JAM3', 'BCL11B', 'FEZ2', 'LMTK2', 'GNAO1']	C877
"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a calcium ion stimulus."" [GOC:ai]"	response to calcium ion	1.6129821852368794e-05	0.03466204506065858	0.13157894736842105	577	18123	20	GO:0051592	GO:BP	152	['SYT12', 'SYT17', 'NLGN1', 'SYT2', 'SYT1', 'WNK1', 'SYT7', 'SYT4', 'SYT9', 'SLC25A12', 'SDC1', 'FUS', 'RASAL1', 'RASA4', 'SYT6', 'CPNE4', 'CASQ2', 'PPP3CA', 'CPNE6', 'NRXN1']	C877
"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]"	trans-synaptic signaling	1.6613614227794073e-05	0.08838821490467938	0.07073509015256588	577	18123	51	GO:0099537	GO:BP	721	['SYT12', 'ERC1', 'CASK', 'GNAI2', 'RAPSN', 'GRIA3', 'PRKAR1A', 'BAIAP2', 'RIMS4', 'EPHB2', 'NLGN1', 'PACSIN2', 'DAG1', 'CADPS', 'STX4', 'ABL1', 'SYT2', 'SYT1', 'CAMK4', 'MAPK1', 'UNC13B', 'LIN7C', 'SYT7', 'EIF2AK4', 'RIT2', 'SYT4', 'SYT9', 'RPH3A', 'ELAVL4', 'COLQ', 'BDNF', 'RAP1A', 'CLSTN2', 'TPGS1', 'STXBP5', 'NOVA1', 'TPBG', 'RIMS2', 'STAU1', 'PTPRD', 'ASIC2', 'SYT6', 'RASGRF1', 'DOC2A', 'CSPG5', 'PPP3CA', 'VPS18', 'CPNE6', 'NRXN1', 'ABR', 'CACNB1']	C877
