phenotype	description	h2_liability	h2_liability_se	h2_observed	h2_observed_se	h2_z	h2_p	h2_sig	confidence	notes	intercept	intercept_se	intercept_z	intercept_p	lambdaGC	mean_chi2	ratio	ratio_se	n	Neff	variable_type	isBinary	n_cases	n_controls	prevalence	source	sex	isNotPrimary	isBadPower	isLowNeff	isMidNeff	isExtremeSE	isHighSE	isSexBias	isBadOrdinal	isNumericOrdinal
100011_irnt	Iron	0.067159046	0.015213079	0.067159046	0.015213079	4.414559883	5.06E-06	z4	high		0.996687837	0.008822405	-0.375426361	0.646328298	1.058376735	1.052003027	-0.063691744	0.169651763	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100012_irnt	Vitamin B6	0.047154695	0.015064639	0.047154695	0.015064639	3.130157717	0.000873562	nominal	high		0.997291176	0.008608597	-0.314664945	0.623491968	1.03722051	1.036490599	-0.074233465	0.235912727	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100013_irnt	Vitamin B12	0.00952838	0.014299489	0.00952838	0.014299489	0.666344121	0.252595585	nonsig	high		1.00849739	0.00839412	1.012302671	0.155696679	1.008133304	1.015750704	0.539492684	0.532936146	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100014_irnt	Folate	0.047446396	0.016371753	0.047446396	0.016371753	2.898064469	0.001877367	nominal	high		0.997894001	0.009102433	-0.231366657	0.591485017	1.050490302	1.041713968	-0.050486673	0.218210667	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100015_irnt	Vitamin C	0.02939881	0.015169519	0.02939881	0.015169519	1.938018526	0.026310481	nominal	high		1.013014106	0.009067713	1.43521375	0.075613098	1.049001592	1.052612525	0.247357559	0.172348934	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100016_irnt	Potassium	0.062662767	0.015432825	0.062662767	0.015432825	4.060356236	2.45E-05	z4	high		0.999028989	0.009104894	-0.106647129	0.542465536	1.057400753	1.056426255	-0.017208494	0.161359184	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100017_irnt	Magnesium	0.073452388	0.016681621	0.073452388	0.016681621	4.403192466	5.33E-06	z4	high		0.997293496	0.009289145	-0.291362008	0.614612766	1.056029039	1.060855331	-0.044474395	0.152643081	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100018_irnt	Retinol	0.009734005	0.016019167	0.009734005	0.016019167	0.607647368	0.271710689	nonsig	high		1.020879365	0.008411348	2.482285186	0.006527138	1.028661428	1.031827316	0.656020299	0.264280794	49890	49890	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100019_irnt	Carotene	0.017210307	0.014881691	0.017210307	0.014881691	1.156475228	0.123743413	nonsig	high		1.004694889	0.00850923	0.551740816	0.290562971	1.02475537	1.025486885	0.184208055	0.333867007	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100021_irnt	Vitamin D	-6.69E-05	0.015501096	-6.69E-05	0.015501096	-0.004315818	0.501721757	nonsig	high		1.007547557	0.008946595	0.843623404	0.199439941	1.010546406	1.010528985	0.71683609	0.849711005	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100022	Alcohol	0.036041346	0.015174078	0.036041346	0.015174078	2.375191854	0.008769915	nominal	high		1.013960119	0.008481918	1.645868156	0.049895453	1.032755719	1.042709619	0.32686124	0.198595032	51453	51453	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100023_irnt	Starch	0.041464106	0.015312858	0.041464106	0.015312858	2.707796658	0.003386575	nominal	high		1.001546515	0.00821894	0.188164773	0.425373743	1.032394131	1.032681917	0.047320205	0.251482803	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100024_irnt	Calcium	0.042674904	0.015538729	0.042674904	0.015538729	2.746357545	0.003013052	nominal	high		0.999620356	0.008864614	-0.042826852	0.517080221	1.042451697	1.039939494	-0.009505467	0.221951093	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100025_irnt	Vitamin E	0.046796991	0.014639682	0.046796991	0.014639682	3.196585285	0.000695324	nominal	high		0.997124696	0.008393544	-0.342561331	0.634035752	1.037824599	1.034824843	-0.082564723	0.241021726	51453	51453	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1001	Duration of strenuous sports	0.056435586	0.021720029	0.056435586	0.021720029	2.59831995	0.004684058	nominal	medium	isMidNeff;isNumericOrdinal;	0.983281769	0.009438735	-1.771236374	0.961739299	1.019538889	1.01460603	-1.144611556	0.646221799	36919	36919	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
100150	Drinking water intake	0.051575498	0.01554214	0.051575498	0.01554214	3.318429606	0.000452626	nominal	medium	isNumericOrdinal;	1.012728567	0.0084836	1.50037332	0.066758863	1.060330051	1.063573142	0.200219258	0.133446293	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100160	Low calorie drink intake	0.048271243	0.014584941	0.048271243	0.014584941	3.309663339	0.000467041	nominal	medium	isNumericOrdinal;	0.992721122	0.008457713	-0.860620115	0.805276348	1.02475537	1.025228883	-0.288513683	0.335239298	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100170	Fizzy drink intake	0.002507993	0.014878592	0.002507993	0.014878592	0.168563875	0.433069849	nonsig	medium	isNumericOrdinal;	1.013118344	0.008839714	1.484023611	0.068901328	1.015949071	1.017943298	0.731099927	0.492647099	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100190	Orange juice intake	0.013386113	0.014639413	0.013386113	0.014639413	0.914388583	0.180256349	nonsig	medium	isNumericOrdinal;	1.002471445	0.008402338	0.294137784	0.38432631	1.020077907	1.016020996	0.154262887	0.524457907	51414	51414	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100240	Coffee consumed	0.09356623	0.028121648	0.053484484	0.016074943	3.327195822	0.000438624	nominal	high		0.994449124	0.008447882	-0.657073092	0.74443304	1.034413807	1.036927169	-0.15031957	0.22877146	51427	42680.2	binary	TRUE	36318	15109	0.706204912	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100250	Instant coffee intake	0.022904955	0.015825021	0.022904955	0.015825021	1.447388566	0.073894063	nonsig	medium	isNumericOrdinal;	1.015237551	0.008437138	1.806009442	0.035458432	1.038579957	1.036922949	0.412685091	0.228506608	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100260	Added milk to instant coffee	0.039733995	0.022760695	0.02483254	0.014224744	1.745728509	0.040429069	nominal	high		1.004277354	0.00785987	0.544201664	0.293151353	1.026316901	1.023215054	0.184249151	0.338567783	51427	49792.96	binary	TRUE	30297	21130	0.589126334	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100270	Filtered coffee intake	0.053148349	0.015271122	0.053148349	0.015271122	3.48031714	0.00025041	nominal	medium	isNumericOrdinal;	1.004469694	0.008549573	0.522797349	0.300557642	1.047878163	1.053523931	0.083508329	0.159733651	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100280	Added milk to filtered coffee	0.10625058	0.038601849	0.042283499	0.015361998	2.752473873	0.002957343	nominal	medium	isMidNeff;	1.00001027	0.008898977	0.001154043	0.499539603	1.041452825	1.039106003	0.000262615	0.227560392	51427	23479.74	binary	TRUE	44669	6758	0.868590429	phesant	both_sexes	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
100360	Decaffeinated coffee	0.050301623	0.038419454	0.01855982	0.014175649	1.309274826	0.095220637	nonsig	medium	isMidNeff;	0.995383337	0.007708921	-0.59887277	0.725371135	1.005723087	1.015405931	-0.2996679	0.500386584	51427	20827.71	binary	TRUE	45548	5879	0.885682618	phesant	both_sexes	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
100370	Intake of sugar added to coffee	0.05019688	0.015037617	0.05019688	0.015037617	3.338087407	0.000421786	nominal	medium	isNumericOrdinal;	0.993171052	0.008767082	-0.778930577	0.781989695	1.033026951	1.037701178	-0.18113355	0.232541327	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100390	Tea consumed	0.023002285	0.032679339	0.011299479	0.016053166	0.703878514	0.240754217	nonsig	medium	isMidNeff;	1.012680166	0.008941325	1.418152913	0.078073063	1.038851953	1.041038262	0.308983981	0.217877761	51427	33065.61	binary	TRUE	41078	10349	0.798763296	phesant	both_sexes	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
100400	Standard tea intake	0.036784004	0.013739971	0.036784004	0.013739971	2.677152887	0.003712537	NA	low	isBadOrdinal;	0.992548952	0.007804274	-0.954739463	0.830145266	1.018790488	1.028375067	-0.262591382	0.275039833	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
100460	Added milk to standard tea	-0.020436317	0.029014623	-0.012265734	0.017414374	-0.70434542	0.759391156	nonsig	high		1.022359809	0.009088282	2.460289959	0.00694124	1.040393938	1.043710899	0.511538527	0.207917983	51427	46414.79	binary	TRUE	17686	33741	0.343904953	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100520	Milk intake	0.014719514	0.015173405	0.014719514	0.015173405	0.970086402	0.166001713	nonsig	medium	isNumericOrdinal;	0.989982075	0.009022651	-1.110308412	0.866566925	0.999576747	1.001574149	-6.364025731	5.731763954	51413	51413	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100580	Alcohol consumed	0.02760963	0.025454799	0.017575668	0.016203951	1.084653203	0.139037641	nonsig	high		1.01537795	0.008165142	1.883365954	0.029825395	1.028270488	1.034465405	0.446185106	0.236908342	51427	51421.01	binary	TRUE	25436	25991	0.494604002	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100590	Red wine intake	0.018230463	0.014844234	0.018230463	0.014844234	1.228117457	0.109701439	nonsig	medium	isNumericOrdinal;	1.002998375	0.008353004	0.358957669	0.359813378	1.024725352	1.022179797	0.135184949	0.376604153	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100630	Rose wine intake	0.00651798	0.013425649	0.00651798	0.013425649	0.485487174	0.313665404	nonsig	medium	isNumericOrdinal;	0.999830145	0.008130816	-0.02089024	0.508333394	1.01394751	1.010637553	-0.01596746	0.764350248	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100670	White wine intake	0.022658272	0.014535798	0.022658272	0.014535798	1.55879105	0.059522922	nonsig	medium	isNumericOrdinal;	0.999407252	0.008003721	-0.074059073	0.52951831	1.021486016	1.017401005	-0.034064019	0.459957406	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100710	Beer/cider intake	0.004797926	0.015726748	0.004797926	0.015726748	0.305080598	0.380152384	nonsig	medium	isNumericOrdinal;	1.01097326	0.008423394	1.302712382	0.096336487	1.009026709	1.013757558	0.797616869	0.61227396	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100720	Fortified wine intake	-0.008118459	0.016623005	-0.008118459	0.016623005	-0.488386983	0.68736212	nonsig	medium	isNumericOrdinal;	1.004759922	0.009203233	0.517201084	0.302507898	1.004741973	1.005775523	0.824154304	1.593489127	51416	51416	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100730	Spirits intake	-0.000782039	0.014009092	-0.000782039	0.014009092	-0.055823699	0.522258872	nonsig	medium	isNumericOrdinal;	1.000329025	0.00831539	0.039568251	0.48421867	1.012305913	1.01236382	0.026611958	0.672558348	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
100760	Breakfast cereal consumed	0.067790913	0.025208237	0.040475197	0.015050813	2.689236569	0.003580782	nominal	high		1.012589363	0.008283732	1.519769554	0.064284452	1.046664323	1.046161755	0.272722801	0.179450102	51427	45996.83	binary	TRUE	34069	17358	0.66247302	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100890	Milk added to cereal	0.057049693	0.022293268	0.03599579	0.014066049	2.559054709	0.005247861	nominal	high		1.004322245	0.008252739	0.523734637	0.30023156	1.034082083	1.030836388	0.140167039	0.267629882	51427	50628.79	binary	TRUE	22510	28917	0.437707819	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_0	Type milk consumed: did not have milk	-0.00671606	0.062922238	-0.001487864	0.013939679	-0.106735871	0.542500738	NA	low	isLowNeff;	1.001151006	0.008983864	0.128119257	0.449027298	1.013290712	1.011731018	0.098116464	0.765821362	51427	9618.53	binary	TRUE	2529	48898	0.049176503	phesant	both_sexes	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2102	Type milk consumed: semiskimmed	0.008136691	0.024440412	0.005004262	0.015031446	0.332919558	0.369597503	nonsig	high		1.002675488	0.008812002	0.303618594	0.380709242	1.014514917	1.018341084	0.145874026	0.480451558	51427	48421.2	binary	TRUE	31930	19497	0.620880082	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2103	Type milk consumed: skimmed	-0.003383588	0.030287489	-0.001675335	0.014996414	-0.111715708	0.544475588	nonsig	medium	isMidNeff;	1.011496906	0.00832115	1.381648723	0.083539793	0.999250658	1.00325013	3.537368351	2.560251598	51427	33502.75	binary	TRUE	10533	40894	0.204814592	phesant	both_sexes	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2104	Type milk consumed: wholemilk	0.070787986	0.065676877	0.017251621	0.016006001	1.077822034	0.140556592	NA	low	isLowNeff;	1.004940022	0.008907052	0.55461917	0.289577587	1.02136614	1.024689177	0.200088564	0.360767487	51427	11066.44	binary	TRUE	2934	48493	0.057051743	phesant	both_sexes	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2105	Type milk consumed: soya with calcium	0.06099217	0.095519103	0.009717465	0.015218405	0.638533742	0.261563148	NA	low	isLowNeff;	1.0046578	0.008920706	0.522133627	0.300788647	1.023645004	1.009152926	0.50888648	0.974628819	51427	5998.1	binary	TRUE	1546	49881	0.03006203	phesant	both_sexes	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2106	Type milk consumed: soya without calcium	-0.327377461	0.142631538	-0.028446861	0.012393705	-2.295266994	0.989141086	NA	none	isBadPower;	1.019183886	0.007997844	2.398632181	0.008228218	1.007776053	1.004836104	3.966806193	1.653778443	51427	2621.71	binary	TRUE	664	50763	0.012911506	phesant	both_sexes	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2107	Type milk consumed: goat/sheep milk	0.197684619	0.28432253	0.010143786	0.014589435	0.69528299	0.243438986	NA	none	isBadPower;	0.988833106	0.008812947	-1.267101023	0.897440415	0.993626591	0.996470381	NA	NA	51427	1319.43	binary	TRUE	332	51095	0.006455753	phesant	both_sexes	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2108	Type milk consumed: rice/oat/vegetable milk	0.206946715	0.317902654	0.009788279	0.015036334	0.650975109	0.257531277	NA	none	isBadPower;isSexBias;	1.002750604	0.009150867	0.300584014	0.381865862	1.006139461	1.002325455	1.182823981	3.935086121	51427	1189.05	binary	TRUE	299	51128	0.005814067	phesant	both_sexes	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
100920_2109	Type milk consumed: powdered milk	0.642586616	0.365253874	0.024476897	0.013912959	1.759287613	0.039264335	NA	none	isBadPower;	0.98583408	0.007882017	-1.797245507	0.963851673	1.009205438	1.000425248	-33.3120989	18.53508537	51427	903.99	binary	TRUE	227	51200	0.004414024	phesant	both_sexes	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2110	Type milk consumed: cholesterol lowering milk	-0.314794482	0.698669235	-0.006246098	0.013862874	-0.450562965	0.673847718	NA	none	isBadPower;	0.999714651	0.008460094	-0.033728796	0.513453292	0.996318242	0.992307542	NA	NA	51427	403.21	binary	TRUE	101	51326	0.001963949	phesant	both_sexes	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100920_2199	Type milk consumed: other type of milk	-0.029232412	0.436375238	-0.001132849	0.016910929	-0.066989164	0.526704835	NA	none	isBadPower;	1.007123878	0.009330369	0.76351516	0.222578112	0.995844721	1.004396732	1.620266472	2.122114341	51427	923.81	binary	TRUE	232	51195	0.004511249	phesant	both_sexes	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
100940	Bread consumed	-0.0343374	0.034359308	-0.014245879	0.014254968	-0.999362412	0.841190419	nonsig	medium	isMidNeff;	1.011042433	0.007923457	1.393638208	0.081713442	1.013141469	1.011861399	0.9309553	0.668003572	51427	25098.04	binary	TRUE	44112	7315	0.857759543	phesant	both_sexes	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
1011	Frequency of light DIY in last 4 weeks	0.021147424	0.004784142	0.021147424	0.004784142	4.420317433	4.93E-06	z4	medium	isNumericOrdinal;	1.004204659	0.009593479	0.438282993	0.330590576	1.075806097	1.081120249	0.05183242	0.118262449	180494	180494	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
102_irnt	"Pulse rate, automated reading"	0.157094854	0.010317281	0.157094854	0.010317281	15.22638058	1.18E-52	z7	high		1.067925939	0.027657907	2.455932043	0.007025986	1.615922877	2.086680915	0.062507713	0.025451727	340162	340162	continuous_irnt	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
102080	Yogurt/ice-cream consumers	0.06716887	0.024557557	0.04186166	0.015305008	2.73516088	0.00311749	nominal	high		0.995733586	0.008761905	-0.486927716	0.686845222	1.027969815	1.034189236	-0.124788231	0.256276705	51427	49551.49	binary	TRUE	20803	30624	0.404515138	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
1021	Duration of light DIY	0.037991454	0.005005751	0.037991454	0.005005751	7.589560738	1.60E-14	z7	medium	isNumericOrdinal;	0.99887989	0.009148889	-0.122431243	0.548721252	1.10878004	1.126574588	-0.008849405	0.072280612	179548	179548	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
102130	Dessert consumers	-0.005698987	0.022982372	-0.003359349	0.013547286	-0.24797208	0.597921995	nonsig	high		1.008684495	0.007637577	1.137074602	0.12775355	1.009801314	1.012178136	0.713121868	0.627154865	51427	44992.39	binary	TRUE	16618	34809	0.323137651	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
102190	Cake intake	-0.003447921	0.014896083	-0.003447921	0.014896083	-0.231464949	0.591523194	nonsig	medium	isNumericOrdinal;	0.998144713	0.00855558	-0.216851122	0.585837815	1.002217068	1.005761423	-0.322018903	1.484976884	51427	51427	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
102250	Sweet snack consumers	0.044755247	0.025950212	0.028373919	0.016451908	1.724658254	0.042294539	nominal	high		1.008311832	0.009707003	0.856271724	0.195923749	1.031671144	1.03399578	0.244495994	0.285535522	51427	51054.13	binary	TRUE	27903	23524	0.542574912	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
102280	Milk chocolate intake	0.010219463	0.014403058	0.010219463	0.014403058	0.709534253	0.238996502	nonsig	medium	isNumericOrdinal;	0.994088663	0.007889189	-0.749295981	0.773160585	1.000110464	0.999799213	NA	NA	51425	51425	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
102290	Dark chocolate intake	0.017203599	0.025636611	0.017203599	0.025636611	0.671055894	0.251092462	nonsig	medium	isNumericOrdinal;	0.993005962	0.01271099	-0.55023553	0.708921081	1.003523681	1.001270374	-5.505496202	10.0057083	51416	51416	ordinal	FALSE	NA	NA	NA	phesant	both_sexes	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
